Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RENT3,02/01/2019,29.75,31.08,29.24,30.87,LOCALIZA
RENT3,03/01/2019,30.71,30.74,29.99,30.36,LOCALIZA
RENT3,04/01/2019,30.37,30.56,29.66,30.05,LOCALIZA
RENT3,07/01/2019,29.76,30.09,29.06,29.49,LOCALIZA
RENT3,08/01/2019,29.63,29.95,29.08,29.51,LOCALIZA
RENT3,09/01/2019,29.49,30.43,29.43,30.20,LOCALIZA
RENT3,10/01/2019,30.20,30.65,30.00,30.05,LOCALIZA
RENT3,11/01/2019,30.05,30.29,29.26,29.48,LOCALIZA
RENT3,14/01/2019,29.50,29.99,29.08,29.37,LOCALIZA
RENT3,15/01/2019,29.16,29.35,28.45,28.83,LOCALIZA
RENT3,16/01/2019,29.07,29.49,28.55,29.04,LOCALIZA
RENT3,17/01/2019,28.79,31.15,28.66,30.86,LOCALIZA
RENT3,18/01/2019,30.86,31.73,30.76,31.18,LOCALIZA
RENT3,21/01/2019,31.81,32.83,31.67,32.30,LOCALIZA
RENT3,22/01/2019,32.30,32.44,31.21,31.80,LOCALIZA
RENT3,23/01/2019,31.79,32.20,31.59,32.08,LOCALIZA
RENT3,24/01/2019,32.09,32.59,31.96,32.22,LOCALIZA
RENT3,28/01/2019,32.31,32.95,31.77,32.01,LOCALIZA
RENT3,29/01/2019,32.15,33.22,31.90,31.90,LOCALIZA
RENT3,30/01/2019,32.16,33.45,32.08,33.20,LOCALIZA
RENT3,31/01/2019,33.50,34.00,32.96,33.30,LOCALIZA
RENT3,01/02/2019,33.50,33.76,32.01,32.80,LOCALIZA
RENT3,04/02/2019,32.80,33.08,31.85,32.85,LOCALIZA
RENT3,05/02/2019,32.83,33.05,31.78,32.20,LOCALIZA
RENT3,06/02/2019,31.83,32.04,31.32,31.36,LOCALIZA
RENT3,07/02/2019,31.40,32.16,31.02,31.76,LOCALIZA
RENT3,08/02/2019,31.46,33.28,31.45,33.28,LOCALIZA
RENT3,11/02/2019,33.14,33.21,32.25,32.71,LOCALIZA
RENT3,12/02/2019,32.94,33.29,32.52,33.27,LOCALIZA
RENT3,13/02/2019,33.35,33.80,33.06,33.46,LOCALIZA
RENT3,14/02/2019,33.56,34.50,32.70,34.39,LOCALIZA
RENT3,15/02/2019,34.30,34.30,33.48,34.18,LOCALIZA
RENT3,18/02/2019,34.20,34.29,33.66,34.29,LOCALIZA
RENT3,19/02/2019,34.25,34.69,33.81,34.17,LOCALIZA
RENT3,20/02/2019,34.17,34.39,33.18,33.57,LOCALIZA
RENT3,21/02/2019,33.70,34.00,33.28,34.00,LOCALIZA
RENT3,22/02/2019,34.63,34.92,33.22,34.67,LOCALIZA
RENT3,25/02/2019,34.86,35.67,34.44,34.84,LOCALIZA
RENT3,26/02/2019,34.77,35.31,34.60,35.10,LOCALIZA
RENT3,27/02/2019,35.12,35.25,34.26,34.61,LOCALIZA
RENT3,28/02/2019,34.67,34.68,33.80,34.55,LOCALIZA
RENT3,01/03/2019,34.50,34.76,33.57,33.60,LOCALIZA
RENT3,06/03/2019,33.77,34.13,33.39,33.75,LOCALIZA
RENT3,07/03/2019,33.92,33.92,32.85,33.12,LOCALIZA
RENT3,08/03/2019,33.08,34.07,32.75,33.85,LOCALIZA
RENT3,11/03/2019,34.08,35.40,34.04,35.19,LOCALIZA
RENT3,12/03/2019,35.20,35.25,34.32,34.98,LOCALIZA
RENT3,13/03/2019,34.89,34.89,33.67,34.35,LOCALIZA
RENT3,14/03/2019,34.49,34.66,33.92,34.66,LOCALIZA
RENT3,15/03/2019,34.48,35.00,34.14,34.40,LOCALIZA
RENT3,18/03/2019,34.56,34.60,34.18,34.60,LOCALIZA
RENT3,19/03/2019,34.37,34.66,34.13,34.25,LOCALIZA
RENT3,20/03/2019,34.25,34.43,33.49,33.60,LOCALIZA
RENT3,21/03/2019,33.61,33.68,32.57,33.14,LOCALIZA
RENT3,22/03/2019,32.35,33.10,31.85,32.23,LOCALIZA
RENT3,25/03/2019,31.95,32.93,31.79,32.37,LOCALIZA
RENT3,26/03/2019,32.30,32.96,32.26,32.62,LOCALIZA
RENT3,27/03/2019,32.06,32.39,31.07,31.39,LOCALIZA
RENT3,28/03/2019,31.05,32.62,30.82,32.39,LOCALIZA
RENT3,29/03/2019,32.53,33.29,32.33,33.06,LOCALIZA
RENT3,01/04/2019,33.33,33.47,32.82,33.04,LOCALIZA
RENT3,02/04/2019,33.35,33.35,32.48,33.15,LOCALIZA
RENT3,03/04/2019,33.44,33.56,31.67,31.94,LOCALIZA
RENT3,04/04/2019,31.86,32.28,31.50,31.90,LOCALIZA
RENT3,05/04/2019,31.87,32.08,31.15,31.88,LOCALIZA
RENT3,08/04/2019,31.92,32.15,31.10,31.36,LOCALIZA
RENT3,09/04/2019,31.36,31.55,30.50,30.60,LOCALIZA
RENT3,10/04/2019,30.95,31.58,30.35,31.58,LOCALIZA
RENT3,11/04/2019,31.31,31.92,30.87,31.80,LOCALIZA
RENT3,12/04/2019,31.37,32.24,31.07,31.75,LOCALIZA
RENT3,15/04/2019,32.00,33.10,31.82,32.50,LOCALIZA
RENT3,16/04/2019,32.31,33.30,32.20,32.68,LOCALIZA
RENT3,17/04/2019,32.88,32.91,32.26,32.48,LOCALIZA
RENT3,18/04/2019,32.41,32.99,32.27,32.76,LOCALIZA
RENT3,22/04/2019,32.47,33.27,32.36,33.02,LOCALIZA
RENT3,23/04/2019,33.19,34.25,33.07,34.07,LOCALIZA
RENT3,24/04/2019,33.93,33.93,33.09,33.52,LOCALIZA
RENT3,25/04/2019,33.44,34.88,33.18,34.30,LOCALIZA
RENT3,26/04/2019,34.55,36.14,34.55,35.87,LOCALIZA
RENT3,29/04/2019,35.87,36.96,35.60,36.25,LOCALIZA
RENT3,30/04/2019,36.40,36.78,35.92,36.20,LOCALIZA
RENT3,02/05/2019,36.29,36.74,35.92,35.96,LOCALIZA
RENT3,03/05/2019,35.93,36.27,35.65,35.85,LOCALIZA
RENT3,06/05/2019,35.30,36.04,35.12,35.30,LOCALIZA
RENT3,07/05/2019,35.02,35.39,34.46,35.03,LOCALIZA
RENT3,08/05/2019,35.28,36.78,35.25,36.70,LOCALIZA
RENT3,09/05/2019,36.30,36.69,35.52,36.32,LOCALIZA
RENT3,10/05/2019,36.10,36.74,35.63,36.74,LOCALIZA
RENT3,13/05/2019,35.60,36.10,34.95,35.00,LOCALIZA
RENT3,14/05/2019,35.49,35.97,35.12,35.97,LOCALIZA
RENT3,15/05/2019,35.14,36.05,34.81,35.99,LOCALIZA
RENT3,16/05/2019,35.38,36.32,35.19,35.70,LOCALIZA
RENT3,17/05/2019,35.36,35.91,34.71,34.86,LOCALIZA
RENT3,20/05/2019,34.85,36.71,34.76,36.40,LOCALIZA
RENT3,21/05/2019,36.40,36.70,35.98,36.31,LOCALIZA
RENT3,22/05/2019,36.40,36.49,35.77,36.00,LOCALIZA
RENT3,23/05/2019,36.00,36.55,35.59,36.36,LOCALIZA
RENT3,24/05/2019,36.36,37.00,35.96,36.35,LOCALIZA
RENT3,27/05/2019,36.35,37.77,36.31,37.22,LOCALIZA
RENT3,28/05/2019,37.51,37.83,36.81,37.83,LOCALIZA
RENT3,29/05/2019,37.59,38.25,37.32,38.13,LOCALIZA
RENT3,30/05/2019,38.07,38.40,37.58,38.16,LOCALIZA
RENT3,31/05/2019,37.99,38.36,37.46,38.04,LOCALIZA
RENT3,03/06/2019,38.14,38.95,38.14,38.28,LOCALIZA
RENT3,04/06/2019,38.59,38.65,37.61,38.00,LOCALIZA
RENT3,05/06/2019,38.24,38.65,37.24,37.55,LOCALIZA
RENT3,06/06/2019,37.60,38.95,37.56,38.30,LOCALIZA
RENT3,07/06/2019,38.45,38.85,37.94,38.80,LOCALIZA
RENT3,10/06/2019,38.33,38.92,38.16,38.73,LOCALIZA
RENT3,11/06/2019,38.95,39.70,38.92,39.30,LOCALIZA
RENT3,12/06/2019,39.32,39.98,38.55,38.99,LOCALIZA
RENT3,13/06/2019,39.25,39.72,38.99,39.42,LOCALIZA
RENT3,14/06/2019,39.41,39.80,39.07,39.38,LOCALIZA
RENT3,17/06/2019,39.41,40.44,39.18,39.75,LOCALIZA
RENT3,18/06/2019,40.12,40.55,39.83,40.12,LOCALIZA
RENT3,19/06/2019,40.12,41.22,39.92,40.96,LOCALIZA
RENT3,21/06/2019,40.84,41.48,40.63,40.90,LOCALIZA
RENT3,24/06/2019,41.10,41.57,40.73,41.57,LOCALIZA
RENT3,25/06/2019,41.20,41.20,39.95,40.29,LOCALIZA
RENT3,26/06/2019,40.42,40.72,39.72,40.34,LOCALIZA
RENT3,27/06/2019,39.91,40.58,39.62,40.27,LOCALIZA
RENT3,28/06/2019,40.67,40.98,40.32,40.98,LOCALIZA
RENT3,01/07/2019,40.98,41.05,40.49,40.80,LOCALIZA
RENT3,02/07/2019,40.90,41.09,40.43,41.09,LOCALIZA
RENT3,03/07/2019,40.62,42.11,40.53,41.81,LOCALIZA
RENT3,04/07/2019,42.39,43.00,42.10,42.65,LOCALIZA
RENT3,05/07/2019,42.28,43.40,41.83,42.88,LOCALIZA
RENT3,08/07/2019,42.90,44.16,42.90,43.50,LOCALIZA
RENT3,10/07/2019,43.50,44.34,42.83,44.13,LOCALIZA
RENT3,11/07/2019,44.18,44.19,42.78,43.11,LOCALIZA
RENT3,12/07/2019,43.11,43.57,41.75,42.25,LOCALIZA
RENT3,15/07/2019,42.30,42.65,41.71,41.98,LOCALIZA
RENT3,16/07/2019,42.03,43.12,41.95,43.00,LOCALIZA
RENT3,17/07/2019,43.17,43.85,43.03,43.19,LOCALIZA
RENT3,18/07/2019,43.50,43.80,42.93,43.60,LOCALIZA
RENT3,19/07/2019,43.30,43.53,42.66,42.86,LOCALIZA
RENT3,22/07/2019,43.19,43.97,42.70,43.07,LOCALIZA
RENT3,23/07/2019,43.21,43.21,42.30,42.50,LOCALIZA
RENT3,24/07/2019,42.45,43.52,42.45,43.22,LOCALIZA
RENT3,25/07/2019,43.25,43.43,42.55,43.30,LOCALIZA
RENT3,26/07/2019,43.21,43.55,42.86,43.23,LOCALIZA
RENT3,29/07/2019,43.10,43.80,42.87,43.80,LOCALIZA
RENT3,30/07/2019,43.87,44.44,43.40,44.00,LOCALIZA
RENT3,31/07/2019,44.34,44.38,43.21,44.00,LOCALIZA
RENT3,01/08/2019,44.50,44.93,43.59,44.88,LOCALIZA
RENT3,02/08/2019,45.42,45.90,43.61,45.71,LOCALIZA
RENT3,05/08/2019,44.79,45.07,43.40,44.10,LOCALIZA
RENT3,06/08/2019,44.39,44.99,44.00,44.90,LOCALIZA
RENT3,07/08/2019,44.09,44.45,43.40,43.49,LOCALIZA
RENT3,08/08/2019,43.81,45.00,43.68,45.00,LOCALIZA
RENT3,09/08/2019,45.15,45.73,44.22,44.60,LOCALIZA
