Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
RSID3,02/01/2019,5.31,5.44,5.13,5.35,ROSSI RESID
RSID3,03/01/2019,5.35,5.88,5.31,5.79,ROSSI RESID
RSID3,04/01/2019,5.90,6.15,5.71,5.81,ROSSI RESID
RSID3,07/01/2019,5.82,6.07,5.56,5.57,ROSSI RESID
RSID3,08/01/2019,5.65,5.69,5.44,5.49,ROSSI RESID
RSID3,09/01/2019,5.65,5.79,5.58,5.60,ROSSI RESID
RSID3,10/01/2019,5.66,5.69,5.58,5.69,ROSSI RESID
RSID3,11/01/2019,5.77,5.77,5.54,5.59,ROSSI RESID
RSID3,14/01/2019,5.60,5.60,5.45,5.46,ROSSI RESID
RSID3,15/01/2019,5.52,5.55,5.34,5.36,ROSSI RESID
RSID3,16/01/2019,5.50,5.88,5.42,5.68,ROSSI RESID
RSID3,17/01/2019,5.75,5.88,5.54,5.88,ROSSI RESID
RSID3,18/01/2019,5.90,6.05,5.71,5.72,ROSSI RESID
RSID3,21/01/2019,5.78,5.78,5.53,5.60,ROSSI RESID
RSID3,22/01/2019,5.61,5.65,5.48,5.60,ROSSI RESID
RSID3,23/01/2019,5.62,5.75,5.54,5.67,ROSSI RESID
RSID3,24/01/2019,5.60,5.73,5.59,5.73,ROSSI RESID
RSID3,28/01/2019,5.68,5.70,5.45,5.47,ROSSI RESID
RSID3,29/01/2019,5.57,5.60,5.50,5.50,ROSSI RESID
RSID3,30/01/2019,5.50,5.55,5.46,5.49,ROSSI RESID
RSID3,31/01/2019,5.51,5.55,5.48,5.52,ROSSI RESID
RSID3,01/02/2019,5.50,5.53,5.46,5.50,ROSSI RESID
RSID3,04/02/2019,5.48,5.52,5.42,5.46,ROSSI RESID
RSID3,05/02/2019,5.46,5.47,5.42,5.42,ROSSI RESID
RSID3,06/02/2019,5.43,5.43,5.15,5.17,ROSSI RESID
RSID3,07/02/2019,5.20,5.24,5.08,5.09,ROSSI RESID
RSID3,08/02/2019,5.20,5.32,5.05,5.06,ROSSI RESID
RSID3,11/02/2019,5.20,5.27,5.09,5.27,ROSSI RESID
RSID3,12/02/2019,5.21,5.29,5.14,5.16,ROSSI RESID
RSID3,13/02/2019,5.25,5.27,5.11,5.11,ROSSI RESID
RSID3,14/02/2019,5.05,5.23,5.02,5.21,ROSSI RESID
RSID3,15/02/2019,5.14,5.25,5.11,5.13,ROSSI RESID
RSID3,18/02/2019,5.14,5.17,5.07,5.10,ROSSI RESID
RSID3,19/02/2019,5.10,5.19,5.09,5.09,ROSSI RESID
RSID3,20/02/2019,5.21,5.21,5.04,5.04,ROSSI RESID
RSID3,21/02/2019,5.19,5.19,4.97,5.05,ROSSI RESID
RSID3,22/02/2019,5.18,5.19,4.97,5.05,ROSSI RESID
RSID3,25/02/2019,5.04,5.15,5.03,5.10,ROSSI RESID
RSID3,26/02/2019,5.07,5.07,4.97,4.97,ROSSI RESID
RSID3,27/02/2019,5.14,5.14,4.94,5.02,ROSSI RESID
RSID3,28/02/2019,4.94,5.09,4.91,4.98,ROSSI RESID
RSID3,01/03/2019,5.04,5.04,4.90,4.90,ROSSI RESID
RSID3,06/03/2019,5.01,5.01,4.71,4.87,ROSSI RESID
RSID3,07/03/2019,4.86,5.09,4.79,4.99,ROSSI RESID
RSID3,08/03/2019,5.05,5.09,4.85,4.98,ROSSI RESID
RSID3,11/03/2019,5.03,5.09,4.93,5.02,ROSSI RESID
RSID3,12/03/2019,4.98,5.05,4.95,4.97,ROSSI RESID
RSID3,13/03/2019,4.93,5.04,4.92,5.04,ROSSI RESID
RSID3,14/03/2019,5.04,5.05,5.00,5.00,ROSSI RESID
RSID3,15/03/2019,5.04,5.05,4.96,5.00,ROSSI RESID
RSID3,18/03/2019,4.97,5.12,4.97,5.03,ROSSI RESID
RSID3,19/03/2019,5.09,5.14,4.99,5.10,ROSSI RESID
RSID3,20/03/2019,5.05,5.09,5.02,5.03,ROSSI RESID
RSID3,21/03/2019,5.05,5.05,4.80,4.80,ROSSI RESID
RSID3,22/03/2019,4.82,4.87,4.71,4.72,ROSSI RESID
RSID3,25/03/2019,4.73,5.04,4.73,4.84,ROSSI RESID
RSID3,26/03/2019,4.77,4.97,4.76,4.89,ROSSI RESID
RSID3,27/03/2019,4.93,4.93,4.72,4.72,ROSSI RESID
RSID3,28/03/2019,4.75,4.81,4.71,4.72,ROSSI RESID
RSID3,29/03/2019,4.73,4.74,4.69,4.69,ROSSI RESID
RSID3,01/04/2019,4.68,4.69,4.51,4.52,ROSSI RESID
RSID3,02/04/2019,4.52,4.55,4.31,4.36,ROSSI RESID
RSID3,03/04/2019,4.36,4.65,4.36,4.58,ROSSI RESID
RSID3,04/04/2019,4.58,4.58,4.41,4.41,ROSSI RESID
RSID3,05/04/2019,4.46,4.47,4.36,4.43,ROSSI RESID
RSID3,08/04/2019,4.52,4.67,4.42,4.43,ROSSI RESID
RSID3,09/04/2019,4.44,4.56,4.38,4.44,ROSSI RESID
RSID3,10/04/2019,4.48,4.56,4.32,4.48,ROSSI RESID
RSID3,11/04/2019,4.43,4.50,4.30,4.30,ROSSI RESID
RSID3,12/04/2019,4.34,4.35,4.25,4.25,ROSSI RESID
RSID3,15/04/2019,4.38,4.39,4.25,4.27,ROSSI RESID
