Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SANB3,02/01/2019,22.41,23.90,22.41,23.90,SANTANDER BR
SANB3,03/01/2019,23.90,25.00,23.32,24.71,SANTANDER BR
SANB3,04/01/2019,24.71,24.96,23.51,24.84,SANTANDER BR
SANB3,07/01/2019,24.84,24.84,24.37,24.56,SANTANDER BR
SANB3,08/01/2019,23.81,24.20,23.51,23.58,SANTANDER BR
SANB3,09/01/2019,24.00,24.69,23.55,24.57,SANTANDER BR
SANB3,10/01/2019,24.39,24.80,24.24,24.40,SANTANDER BR
SANB3,11/01/2019,24.40,24.75,24.40,24.75,SANTANDER BR
SANB3,14/01/2019,24.75,25.57,24.50,25.57,SANTANDER BR
SANB3,15/01/2019,25.58,25.58,24.20,24.37,SANTANDER BR
SANB3,16/01/2019,24.41,24.70,24.37,24.40,SANTANDER BR
SANB3,17/01/2019,24.40,24.52,24.25,24.32,SANTANDER BR
SANB3,18/01/2019,24.81,25.33,24.10,25.30,SANTANDER BR
SANB3,21/01/2019,25.30,25.30,24.52,24.98,SANTANDER BR
SANB3,22/01/2019,25.33,25.40,24.81,25.11,SANTANDER BR
SANB3,23/01/2019,25.22,26.08,25.05,26.08,SANTANDER BR
SANB3,24/01/2019,26.02,26.26,25.52,25.80,SANTANDER BR
SANB3,28/01/2019,26.02,26.50,25.85,26.00,SANTANDER BR
SANB3,29/01/2019,26.50,26.65,25.50,25.50,SANTANDER BR
SANB3,30/01/2019,25.70,25.70,23.58,24.61,SANTANDER BR
SANB3,31/01/2019,24.90,25.10,24.62,24.80,SANTANDER BR
SANB3,01/02/2019,24.80,25.25,24.11,24.70,SANTANDER BR
SANB3,04/02/2019,25.00,25.60,24.85,25.58,SANTANDER BR
SANB3,05/02/2019,25.70,25.75,25.00,25.75,SANTANDER BR
SANB3,06/02/2019,25.30,25.74,24.38,25.74,SANTANDER BR
SANB3,07/02/2019,25.12,25.29,24.70,24.97,SANTANDER BR
SANB3,08/02/2019,25.30,25.49,24.50,24.91,SANTANDER BR
