Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SAPR11,02/01/2019,60.40,60.90,59.22,60.85,SANEPAR
SAPR11,03/01/2019,60.80,65.00,60.53,65.00,SANEPAR
SAPR11,04/01/2019,65.50,65.95,64.00,64.79,SANEPAR
SAPR11,07/01/2019,64.80,65.50,63.50,63.76,SANEPAR
SAPR11,08/01/2019,64.18,64.34,63.06,63.50,SANEPAR
SAPR11,09/01/2019,63.51,64.68,63.51,64.62,SANEPAR
SAPR11,10/01/2019,64.86,65.40,64.47,65.40,SANEPAR
SAPR11,11/01/2019,65.40,68.68,65.00,68.00,SANEPAR
SAPR11,14/01/2019,67.61,72.00,67.55,72.00,SANEPAR
SAPR11,15/01/2019,71.80,73.27,71.11,72.99,SANEPAR
SAPR11,16/01/2019,72.52,73.00,71.55,72.00,SANEPAR
SAPR11,17/01/2019,71.95,74.97,71.38,74.62,SANEPAR
SAPR11,18/01/2019,74.61,74.99,71.24,73.49,SANEPAR
SAPR11,21/01/2019,72.65,72.93,71.32,72.00,SANEPAR
SAPR11,22/01/2019,71.95,72.20,71.16,71.55,SANEPAR
SAPR11,23/01/2019,71.70,73.30,71.68,72.45,SANEPAR
SAPR11,24/01/2019,72.45,74.17,72.44,74.17,SANEPAR
SAPR11,28/01/2019,74.04,74.04,72.32,73.05,SANEPAR
SAPR11,29/01/2019,73.05,73.96,72.81,73.96,SANEPAR
SAPR11,30/01/2019,73.96,74.66,72.39,73.98,SANEPAR
SAPR11,31/01/2019,73.98,74.29,73.11,74.01,SANEPAR
SAPR11,01/02/2019,73.99,79.31,73.64,77.50,SANEPAR
SAPR11,04/02/2019,77.39,78.85,76.00,78.85,SANEPAR
SAPR11,05/02/2019,78.51,78.51,73.55,76.00,SANEPAR
SAPR11,06/02/2019,77.26,77.99,74.56,75.00,SANEPAR
SAPR11,07/02/2019,75.49,75.67,70.78,73.70,SANEPAR
SAPR11,08/02/2019,73.92,75.53,72.71,74.72,SANEPAR
SAPR11,11/02/2019,74.72,75.88,71.54,72.00,SANEPAR
SAPR11,12/02/2019,72.00,73.87,71.62,73.87,SANEPAR
SAPR11,13/02/2019,73.66,73.67,72.35,72.93,SANEPAR
SAPR11,14/02/2019,73.00,73.74,71.56,73.74,SANEPAR
SAPR11,15/02/2019,73.69,74.54,72.66,73.79,SANEPAR
SAPR11,18/02/2019,73.80,75.58,73.13,75.20,SANEPAR
SAPR11,19/02/2019,75.22,75.88,74.55,75.63,SANEPAR
SAPR11,20/02/2019,75.63,75.95,74.82,74.99,SANEPAR
SAPR11,21/02/2019,74.65,76.96,74.34,76.96,SANEPAR
SAPR11,22/02/2019,76.90,79.50,76.25,79.00,SANEPAR
SAPR11,25/02/2019,79.00,80.50,78.41,79.75,SANEPAR
SAPR11,26/02/2019,78.70,79.73,77.99,78.48,SANEPAR
SAPR11,27/02/2019,78.80,79.23,77.70,78.75,SANEPAR
SAPR11,28/02/2019,78.75,79.11,76.24,77.11,SANEPAR
