Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SEER3,02/01/2019,15.55,16.40,15.55,16.10,SER EDUCA
SEER3,03/01/2019,16.09,16.48,15.93,16.45,SER EDUCA
SEER3,04/01/2019,16.50,16.76,16.14,16.25,SER EDUCA
SEER3,07/01/2019,16.26,16.46,16.08,16.10,SER EDUCA
SEER3,08/01/2019,16.12,16.63,16.12,16.41,SER EDUCA
SEER3,09/01/2019,16.57,17.06,16.50,16.87,SER EDUCA
SEER3,10/01/2019,16.88,17.24,16.86,17.03,SER EDUCA
SEER3,11/01/2019,17.09,17.32,16.96,17.28,SER EDUCA
SEER3,14/01/2019,17.23,17.89,17.20,17.84,SER EDUCA
SEER3,15/01/2019,17.84,18.27,17.82,18.27,SER EDUCA
SEER3,16/01/2019,18.26,18.65,18.26,18.61,SER EDUCA
SEER3,17/01/2019,18.63,19.80,18.56,19.63,SER EDUCA
SEER3,18/01/2019,19.77,20.19,19.33,19.85,SER EDUCA
SEER3,21/01/2019,19.77,19.92,19.10,19.74,SER EDUCA
SEER3,22/01/2019,19.52,20.60,19.52,19.95,SER EDUCA
SEER3,23/01/2019,20.25,20.53,19.97,20.00,SER EDUCA
SEER3,24/01/2019,19.99,20.90,19.99,20.80,SER EDUCA
SEER3,28/01/2019,20.71,21.60,20.69,21.50,SER EDUCA
SEER3,29/01/2019,21.58,21.83,21.41,21.60,SER EDUCA
SEER3,30/01/2019,21.53,21.98,21.53,21.98,SER EDUCA
SEER3,31/01/2019,21.96,22.25,21.52,21.80,SER EDUCA
SEER3,01/02/2019,21.90,21.98,21.31,21.92,SER EDUCA
SEER3,04/02/2019,21.91,22.11,21.60,21.94,SER EDUCA
SEER3,05/02/2019,21.97,22.17,21.87,21.87,SER EDUCA
SEER3,06/02/2019,21.78,21.96,20.92,21.00,SER EDUCA
SEER3,07/02/2019,20.87,21.22,20.43,20.57,SER EDUCA
SEER3,08/02/2019,20.54,20.84,20.33,20.50,SER EDUCA
SEER3,11/02/2019,20.59,20.59,19.92,20.27,SER EDUCA
