Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SGPS3,02/01/2019,7.71,8.28,7.30,8.10,SPRINGS
SGPS3,03/01/2019,8.15,9.10,8.04,9.05,SPRINGS
SGPS3,04/01/2019,9.10,9.40,8.68,8.80,SPRINGS
SGPS3,07/01/2019,8.98,8.98,8.40,8.52,SPRINGS
SGPS3,08/01/2019,8.50,8.76,8.19,8.59,SPRINGS
SGPS3,09/01/2019,8.64,8.90,8.40,8.80,SPRINGS
SGPS3,10/01/2019,8.85,9.20,8.65,9.05,SPRINGS
SGPS3,11/01/2019,9.15,9.18,8.81,8.81,SPRINGS
SGPS3,14/01/2019,8.87,9.20,8.87,9.00,SPRINGS
SGPS3,15/01/2019,9.02,9.15,8.87,8.94,SPRINGS
SGPS3,16/01/2019,9.04,9.04,8.87,8.95,SPRINGS
SGPS3,17/01/2019,8.95,9.00,8.60,8.90,SPRINGS
SGPS3,18/01/2019,8.98,8.98,8.78,8.80,SPRINGS
SGPS3,21/01/2019,8.55,9.00,8.55,9.00,SPRINGS
SGPS3,22/01/2019,8.98,8.98,8.80,8.83,SPRINGS
SGPS3,23/01/2019,8.77,9.05,8.74,9.05,SPRINGS
SGPS3,24/01/2019,9.01,9.30,9.00,9.18,SPRINGS
SGPS3,28/01/2019,9.00,9.17,8.81,8.81,SPRINGS
SGPS3,29/01/2019,8.82,9.09,8.82,9.05,SPRINGS
SGPS3,30/01/2019,9.05,9.18,8.92,9.11,SPRINGS
SGPS3,31/01/2019,9.10,9.15,8.97,8.99,SPRINGS
SGPS3,01/02/2019,8.95,8.97,8.77,8.84,SPRINGS
SGPS3,04/02/2019,8.85,9.00,8.85,8.88,SPRINGS
SGPS3,05/02/2019,8.98,8.98,8.71,8.87,SPRINGS
SGPS3,06/02/2019,8.85,8.89,8.73,8.77,SPRINGS
SGPS3,07/02/2019,8.71,8.83,8.50,8.50,SPRINGS
SGPS3,08/02/2019,8.70,8.70,8.50,8.66,SPRINGS
SGPS3,11/02/2019,8.71,8.80,8.53,8.61,SPRINGS
SGPS3,12/02/2019,8.80,8.82,8.74,8.80,SPRINGS
SGPS3,13/02/2019,8.75,8.85,8.73,8.79,SPRINGS
SGPS3,14/02/2019,8.82,9.06,8.75,9.00,SPRINGS
SGPS3,15/02/2019,9.00,9.05,8.98,9.01,SPRINGS
SGPS3,18/02/2019,8.97,8.98,8.79,8.90,SPRINGS
SGPS3,19/02/2019,8.80,8.94,8.75,8.80,SPRINGS
SGPS3,20/02/2019,8.81,8.84,8.72,8.75,SPRINGS
SGPS3,21/02/2019,8.76,8.80,8.53,8.70,SPRINGS
SGPS3,22/02/2019,8.80,8.80,8.57,8.61,SPRINGS
SGPS3,25/02/2019,8.60,8.70,8.59,8.66,SPRINGS
SGPS3,26/02/2019,8.69,8.80,8.64,8.79,SPRINGS
SGPS3,27/02/2019,8.74,8.75,8.58,8.58,SPRINGS
SGPS3,28/02/2019,8.56,8.58,8.22,8.41,SPRINGS
SGPS3,01/03/2019,8.31,8.40,8.14,8.19,SPRINGS
SGPS3,06/03/2019,8.30,8.39,8.11,8.35,SPRINGS
SGPS3,07/03/2019,8.14,8.49,8.14,8.49,SPRINGS
SGPS3,08/03/2019,8.24,8.83,8.22,8.79,SPRINGS
SGPS3,11/03/2019,8.85,8.90,8.75,8.82,SPRINGS
SGPS3,12/03/2019,8.54,9.04,8.54,9.02,SPRINGS
SGPS3,13/03/2019,9.02,9.20,8.87,9.08,SPRINGS
SGPS3,14/03/2019,9.03,9.21,8.92,9.21,SPRINGS
SGPS3,15/03/2019,9.21,9.50,9.14,9.28,SPRINGS
SGPS3,18/03/2019,9.28,9.40,9.28,9.33,SPRINGS
SGPS3,19/03/2019,9.33,9.42,9.25,9.26,SPRINGS
SGPS3,20/03/2019,9.30,9.46,9.26,9.33,SPRINGS
SGPS3,21/03/2019,9.33,9.33,8.90,9.22,SPRINGS
SGPS3,22/03/2019,9.12,9.12,8.81,8.81,SPRINGS
SGPS3,25/03/2019,8.81,8.89,8.62,8.69,SPRINGS
SGPS3,26/03/2019,8.94,9.07,8.60,8.79,SPRINGS
SGPS3,27/03/2019,8.80,8.82,8.38,8.46,SPRINGS
SGPS3,28/03/2019,8.90,8.90,8.40,8.74,SPRINGS
SGPS3,29/03/2019,8.94,8.94,8.68,8.89,SPRINGS
SGPS3,01/04/2019,9.00,9.14,8.82,9.08,SPRINGS
SGPS3,02/04/2019,9.09,9.09,8.88,8.99,SPRINGS
SGPS3,03/04/2019,9.00,9.00,8.72,8.89,SPRINGS
SGPS3,04/04/2019,8.73,8.98,8.64,8.75,SPRINGS
SGPS3,05/04/2019,8.70,8.90,8.70,8.83,SPRINGS
SGPS3,08/04/2019,9.17,9.80,9.17,9.50,SPRINGS
SGPS3,09/04/2019,9.37,9.66,9.28,9.40,SPRINGS
SGPS3,10/04/2019,9.40,9.59,9.33,9.52,SPRINGS
