Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SHOW3,02/01/2019,7.38,7.40,7.19,7.23,TIME FOR FUN
SHOW3,03/01/2019,7.36,7.64,7.28,7.35,TIME FOR FUN
SHOW3,04/01/2019,7.40,7.63,7.37,7.41,TIME FOR FUN
SHOW3,07/01/2019,7.42,7.60,7.31,7.37,TIME FOR FUN
SHOW3,08/01/2019,7.39,7.48,7.33,7.35,TIME FOR FUN
SHOW3,09/01/2019,7.41,7.47,7.08,7.26,TIME FOR FUN
SHOW3,10/01/2019,7.33,7.39,7.23,7.39,TIME FOR FUN
SHOW3,11/01/2019,7.39,7.75,7.39,7.60,TIME FOR FUN
SHOW3,14/01/2019,7.65,7.65,7.41,7.51,TIME FOR FUN
SHOW3,15/01/2019,7.50,7.63,7.35,7.35,TIME FOR FUN
SHOW3,16/01/2019,7.41,7.54,7.26,7.42,TIME FOR FUN
SHOW3,17/01/2019,7.50,7.50,7.31,7.43,TIME FOR FUN
SHOW3,18/01/2019,7.43,7.55,7.43,7.45,TIME FOR FUN
SHOW3,21/01/2019,7.37,7.74,7.37,7.74,TIME FOR FUN
SHOW3,22/01/2019,7.75,8.05,7.65,7.92,TIME FOR FUN
SHOW3,23/01/2019,8.05,8.10,7.84,7.90,TIME FOR FUN
SHOW3,24/01/2019,7.99,7.99,7.80,7.82,TIME FOR FUN
SHOW3,28/01/2019,7.78,7.78,7.50,7.64,TIME FOR FUN
SHOW3,29/01/2019,7.63,7.75,7.43,7.60,TIME FOR FUN
SHOW3,30/01/2019,7.77,7.78,7.64,7.70,TIME FOR FUN
SHOW3,31/01/2019,7.75,7.95,7.70,7.86,TIME FOR FUN
SHOW3,01/02/2019,7.87,7.96,7.70,7.85,TIME FOR FUN
SHOW3,04/02/2019,7.89,7.95,7.77,7.90,TIME FOR FUN
SHOW3,05/02/2019,7.92,7.97,7.84,7.88,TIME FOR FUN
SHOW3,06/02/2019,7.88,7.88,7.80,7.85,TIME FOR FUN
SHOW3,07/02/2019,7.80,7.81,7.63,7.75,TIME FOR FUN
SHOW3,08/02/2019,7.80,8.03,7.70,7.88,TIME FOR FUN
SHOW3,11/02/2019,7.95,8.00,7.81,7.86,TIME FOR FUN
SHOW3,12/02/2019,7.92,8.00,7.86,8.00,TIME FOR FUN
SHOW3,13/02/2019,8.00,8.12,7.97,8.00,TIME FOR FUN
SHOW3,14/02/2019,8.07,8.10,7.86,7.93,TIME FOR FUN
SHOW3,15/02/2019,7.95,7.95,7.81,7.85,TIME FOR FUN
SHOW3,18/02/2019,7.84,7.95,7.55,7.85,TIME FOR FUN
SHOW3,19/02/2019,7.97,7.97,7.80,7.85,TIME FOR FUN
SHOW3,20/02/2019,7.86,7.88,7.67,7.85,TIME FOR FUN
SHOW3,21/02/2019,7.85,7.85,7.63,7.64,TIME FOR FUN
SHOW3,22/02/2019,7.73,7.85,7.62,7.67,TIME FOR FUN
SHOW3,25/02/2019,7.67,7.75,7.66,7.70,TIME FOR FUN
SHOW3,26/02/2019,7.70,7.71,7.63,7.64,TIME FOR FUN
SHOW3,27/02/2019,7.79,7.79,7.39,7.40,TIME FOR FUN
SHOW3,28/02/2019,6.99,7.53,6.80,7.25,TIME FOR FUN
SHOW3,01/03/2019,7.23,7.50,7.23,7.30,TIME FOR FUN
SHOW3,06/03/2019,7.50,7.50,7.02,7.03,TIME FOR FUN
SHOW3,07/03/2019,7.09,7.14,6.85,7.00,TIME FOR FUN
SHOW3,08/03/2019,7.06,7.06,6.80,6.86,TIME FOR FUN
SHOW3,11/03/2019,6.90,7.10,6.90,7.10,TIME FOR FUN
SHOW3,12/03/2019,7.10,7.16,6.97,7.08,TIME FOR FUN
SHOW3,13/03/2019,7.01,7.01,6.88,6.90,TIME FOR FUN
SHOW3,14/03/2019,7.05,7.05,6.60,6.73,TIME FOR FUN
SHOW3,15/03/2019,6.71,6.75,6.30,6.45,TIME FOR FUN
SHOW3,18/03/2019,6.51,6.68,6.46,6.47,TIME FOR FUN
SHOW3,19/03/2019,6.53,6.67,6.08,6.65,TIME FOR FUN
SHOW3,20/03/2019,6.67,6.80,6.65,6.75,TIME FOR FUN
SHOW3,21/03/2019,6.75,6.80,6.50,6.70,TIME FOR FUN
SHOW3,22/03/2019,6.65,6.75,6.50,6.75,TIME FOR FUN
SHOW3,25/03/2019,6.75,6.76,6.47,6.63,TIME FOR FUN
SHOW3,26/03/2019,6.70,6.75,6.60,6.61,TIME FOR FUN
SHOW3,27/03/2019,6.58,6.58,6.33,6.50,TIME FOR FUN
SHOW3,28/03/2019,6.49,6.72,6.38,6.60,TIME FOR FUN
SHOW3,29/03/2019,6.65,6.78,6.63,6.78,TIME FOR FUN
SHOW3,01/04/2019,6.78,6.88,6.51,6.53,TIME FOR FUN
SHOW3,02/04/2019,6.59,6.59,6.44,6.55,TIME FOR FUN
SHOW3,03/04/2019,6.60,6.65,6.45,6.45,TIME FOR FUN
SHOW3,04/04/2019,6.41,6.63,6.41,6.58,TIME FOR FUN
SHOW3,05/04/2019,6.58,6.68,6.55,6.55,TIME FOR FUN
SHOW3,08/04/2019,6.64,6.64,6.41,6.41,TIME FOR FUN
SHOW3,09/04/2019,6.42,6.42,6.25,6.30,TIME FOR FUN
SHOW3,10/04/2019,6.27,6.35,6.16,6.30,TIME FOR FUN
SHOW3,11/04/2019,6.30,6.47,6.19,6.30,TIME FOR FUN
SHOW3,12/04/2019,6.21,6.42,6.20,6.24,TIME FOR FUN
SHOW3,15/04/2019,6.22,6.40,6.21,6.21,TIME FOR FUN
SHOW3,16/04/2019,6.20,6.60,6.18,6.44,TIME FOR FUN
SHOW3,17/04/2019,6.32,6.49,6.26,6.31,TIME FOR FUN
SHOW3,18/04/2019,6.27,6.38,6.27,6.34,TIME FOR FUN
SHOW3,22/04/2019,6.34,6.35,6.15,6.30,TIME FOR FUN
SHOW3,23/04/2019,6.24,6.28,6.06,6.07,TIME FOR FUN
SHOW3,24/04/2019,6.05,6.07,5.90,5.99,TIME FOR FUN
SHOW3,25/04/2019,6.00,6.24,6.00,6.22,TIME FOR FUN
SHOW3,26/04/2019,6.21,6.28,6.02,6.28,TIME FOR FUN
SHOW3,29/04/2019,6.39,6.42,6.01,6.05,TIME FOR FUN
SHOW3,30/04/2019,6.11,6.11,5.94,5.98,TIME FOR FUN
SHOW3,02/05/2019,5.99,6.21,5.93,6.17,TIME FOR FUN
SHOW3,03/05/2019,6.17,6.20,6.02,6.07,TIME FOR FUN
SHOW3,06/05/2019,6.18,6.18,6.00,6.04,TIME FOR FUN
SHOW3,07/05/2019,6.01,6.03,5.85,5.98,TIME FOR FUN
SHOW3,08/05/2019,5.98,6.15,5.85,6.07,TIME FOR FUN
SHOW3,09/05/2019,5.90,6.08,5.90,5.90,TIME FOR FUN
SHOW3,10/05/2019,5.98,6.02,5.92,5.97,TIME FOR FUN
SHOW3,13/05/2019,6.04,6.13,5.95,6.09,TIME FOR FUN
SHOW3,14/05/2019,6.09,6.13,6.00,6.12,TIME FOR FUN
SHOW3,15/05/2019,6.15,6.15,5.91,5.98,TIME FOR FUN
SHOW3,16/05/2019,5.98,5.98,5.62,5.71,TIME FOR FUN
SHOW3,17/05/2019,5.90,5.91,5.75,5.80,TIME FOR FUN
SHOW3,20/05/2019,5.93,6.00,5.81,5.92,TIME FOR FUN
SHOW3,21/05/2019,5.92,5.95,5.73,5.73,TIME FOR FUN
SHOW3,22/05/2019,5.80,5.84,5.71,5.76,TIME FOR FUN
SHOW3,23/05/2019,5.74,5.80,5.61,5.61,TIME FOR FUN
SHOW3,24/05/2019,5.65,5.79,5.59,5.72,TIME FOR FUN
