Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SHUL4,02/01/2019,6.99,7.17,6.90,7.11,SCHULZ
SHUL4,03/01/2019,7.29,7.33,7.14,7.15,SCHULZ
SHUL4,04/01/2019,7.20,7.32,7.14,7.25,SCHULZ
SHUL4,07/01/2019,7.29,7.36,7.21,7.27,SCHULZ
SHUL4,08/01/2019,7.27,7.33,7.15,7.22,SCHULZ
SHUL4,09/01/2019,7.30,7.32,7.19,7.19,SCHULZ
SHUL4,10/01/2019,7.26,7.35,7.17,7.34,SCHULZ
SHUL4,11/01/2019,7.34,7.34,7.28,7.28,SCHULZ
SHUL4,14/01/2019,7.27,7.30,7.16,7.28,SCHULZ
SHUL4,15/01/2019,7.26,7.26,7.10,7.20,SCHULZ
SHUL4,16/01/2019,7.24,7.25,7.12,7.22,SCHULZ
SHUL4,17/01/2019,7.20,7.29,7.13,7.27,SCHULZ
SHUL4,18/01/2019,7.29,7.31,7.15,7.18,SCHULZ
SHUL4,21/01/2019,7.18,7.23,7.05,7.16,SCHULZ
SHUL4,22/01/2019,7.16,7.28,7.08,7.25,SCHULZ
SHUL4,23/01/2019,7.21,7.30,7.21,7.24,SCHULZ
SHUL4,24/01/2019,7.27,7.32,7.26,7.32,SCHULZ
SHUL4,28/01/2019,7.35,7.50,7.28,7.49,SCHULZ
SHUL4,29/01/2019,7.50,7.56,7.42,7.47,SCHULZ
SHUL4,30/01/2019,7.46,7.49,7.40,7.46,SCHULZ
SHUL4,31/01/2019,7.50,7.60,7.44,7.60,SCHULZ
SHUL4,01/02/2019,7.51,7.64,7.51,7.60,SCHULZ
SHUL4,04/02/2019,7.60,7.61,7.53,7.60,SCHULZ
SHUL4,05/02/2019,7.59,7.62,7.45,7.62,SCHULZ
SHUL4,06/02/2019,7.60,7.60,7.45,7.45,SCHULZ
SHUL4,07/02/2019,7.56,7.56,7.40,7.50,SCHULZ
SHUL4,08/02/2019,7.49,7.50,7.14,7.50,SCHULZ
SHUL4,11/02/2019,7.57,7.57,7.41,7.41,SCHULZ
SHUL4,12/02/2019,7.45,7.76,7.44,7.74,SCHULZ
SHUL4,13/02/2019,7.35,7.35,6.81,7.30,SCHULZ
SHUL4,14/02/2019,7.36,7.38,7.25,7.37,SCHULZ
SHUL4,15/02/2019,7.30,7.37,7.29,7.36,SCHULZ
SHUL4,18/02/2019,7.33,7.33,7.20,7.33,SCHULZ
SHUL4,19/02/2019,7.33,7.35,7.27,7.32,SCHULZ
SHUL4,20/02/2019,7.35,7.35,7.22,7.27,SCHULZ
SHUL4,21/02/2019,7.20,7.35,7.20,7.29,SCHULZ
SHUL4,22/02/2019,7.35,7.35,7.21,7.29,SCHULZ
SHUL4,25/02/2019,7.24,7.32,7.23,7.25,SCHULZ
SHUL4,26/02/2019,7.25,7.30,7.20,7.30,SCHULZ
SHUL4,27/02/2019,7.28,7.32,7.22,7.23,SCHULZ
SHUL4,28/02/2019,7.28,7.28,7.03,7.17,SCHULZ
SHUL4,01/03/2019,7.12,7.19,7.11,7.17,SCHULZ
SHUL4,06/03/2019,7.15,7.20,7.05,7.20,SCHULZ
SHUL4,07/03/2019,7.19,7.25,7.11,7.25,SCHULZ
SHUL4,08/03/2019,7.25,7.35,7.18,7.35,SCHULZ
SHUL4,11/03/2019,7.40,7.50,7.35,7.47,SCHULZ
SHUL4,12/03/2019,7.44,7.47,7.34,7.43,SCHULZ
SHUL4,13/03/2019,7.41,7.50,7.33,7.50,SCHULZ
SHUL4,14/03/2019,7.50,7.50,7.35,7.50,SCHULZ
SHUL4,15/03/2019,7.45,7.50,7.42,7.43,SCHULZ
SHUL4,18/03/2019,7.43,7.47,7.35,7.42,SCHULZ
SHUL4,19/03/2019,7.36,7.50,7.36,7.50,SCHULZ
SHUL4,20/03/2019,7.43,7.47,7.37,7.44,SCHULZ
SHUL4,21/03/2019,7.44,7.47,7.24,7.45,SCHULZ
SHUL4,22/03/2019,7.40,7.40,7.23,7.30,SCHULZ
SHUL4,25/03/2019,7.27,7.27,7.15,7.23,SCHULZ
SHUL4,26/03/2019,7.40,7.52,7.40,7.44,SCHULZ
SHUL4,27/03/2019,7.45,7.46,7.24,7.24,SCHULZ
SHUL4,28/03/2019,7.45,7.45,7.17,7.44,SCHULZ
