Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SMTO3,02/01/2019,17.66,18.80,17.52,18.50,SAO MARTINHO
SMTO3,03/01/2019,18.50,18.63,17.92,18.14,SAO MARTINHO
SMTO3,04/01/2019,17.96,18.19,17.80,17.92,SAO MARTINHO
SMTO3,07/01/2019,18.06,18.20,17.42,17.86,SAO MARTINHO
SMTO3,08/01/2019,17.85,18.15,17.66,17.81,SAO MARTINHO
SMTO3,09/01/2019,17.83,18.35,17.72,18.23,SAO MARTINHO
SMTO3,10/01/2019,18.21,18.52,18.02,18.21,SAO MARTINHO
SMTO3,11/01/2019,18.21,18.47,18.10,18.28,SAO MARTINHO
SMTO3,14/01/2019,18.27,18.90,18.26,18.89,SAO MARTINHO
SMTO3,15/01/2019,18.90,19.11,18.81,18.98,SAO MARTINHO
SMTO3,16/01/2019,18.98,19.99,18.74,19.83,SAO MARTINHO
SMTO3,17/01/2019,19.85,20.49,19.68,20.32,SAO MARTINHO
SMTO3,18/01/2019,20.00,20.31,19.83,19.99,SAO MARTINHO
SMTO3,21/01/2019,19.99,20.23,19.91,20.22,SAO MARTINHO
SMTO3,22/01/2019,20.22,20.41,19.63,19.93,SAO MARTINHO
SMTO3,23/01/2019,20.16,20.16,19.62,19.80,SAO MARTINHO
SMTO3,24/01/2019,19.80,19.95,19.65,19.84,SAO MARTINHO
SMTO3,28/01/2019,19.73,20.00,19.56,19.98,SAO MARTINHO
SMTO3,29/01/2019,19.98,20.27,19.50,19.50,SAO MARTINHO
SMTO3,30/01/2019,19.60,19.71,19.10,19.60,SAO MARTINHO
SMTO3,31/01/2019,19.68,19.97,19.24,19.24,SAO MARTINHO
SMTO3,01/02/2019,19.24,19.46,18.83,19.12,SAO MARTINHO
SMTO3,04/02/2019,19.17,19.30,19.03,19.27,SAO MARTINHO
SMTO3,05/02/2019,19.27,19.77,19.19,19.75,SAO MARTINHO
SMTO3,06/02/2019,19.65,19.66,18.93,19.04,SAO MARTINHO
SMTO3,07/02/2019,19.25,19.25,18.56,18.85,SAO MARTINHO
SMTO3,08/02/2019,18.76,18.96,18.22,18.25,SAO MARTINHO
SMTO3,11/02/2019,18.21,18.43,18.04,18.35,SAO MARTINHO
SMTO3,12/02/2019,18.38,18.62,18.00,18.62,SAO MARTINHO
SMTO3,13/02/2019,18.62,18.62,18.26,18.30,SAO MARTINHO
SMTO3,14/02/2019,18.30,18.56,18.30,18.40,SAO MARTINHO
SMTO3,15/02/2019,18.40,18.60,18.15,18.60,SAO MARTINHO
SMTO3,18/02/2019,18.60,19.06,18.28,18.99,SAO MARTINHO
SMTO3,19/02/2019,19.03,19.10,18.81,19.08,SAO MARTINHO
SMTO3,20/02/2019,19.08,19.15,18.59,18.59,SAO MARTINHO
SMTO3,21/02/2019,18.71,18.75,17.86,18.20,SAO MARTINHO
SMTO3,22/02/2019,18.25,18.39,17.91,18.25,SAO MARTINHO
SMTO3,25/02/2019,18.29,18.75,18.22,18.69,SAO MARTINHO
SMTO3,26/02/2019,18.53,18.80,18.44,18.65,SAO MARTINHO
SMTO3,27/02/2019,18.70,18.74,18.54,18.70,SAO MARTINHO
SMTO3,28/02/2019,18.75,18.85,18.42,18.78,SAO MARTINHO
SMTO3,01/03/2019,19.00,19.16,18.69,18.69,SAO MARTINHO
SMTO3,06/03/2019,18.55,18.76,18.10,18.20,SAO MARTINHO
SMTO3,07/03/2019,18.34,18.34,17.82,17.88,SAO MARTINHO
SMTO3,08/03/2019,17.88,18.43,17.70,18.37,SAO MARTINHO
SMTO3,11/03/2019,18.40,18.65,18.34,18.51,SAO MARTINHO
SMTO3,12/03/2019,18.51,18.64,18.41,18.60,SAO MARTINHO
SMTO3,13/03/2019,18.51,18.66,18.47,18.59,SAO MARTINHO
SMTO3,14/03/2019,18.65,18.65,18.17,18.40,SAO MARTINHO
SMTO3,15/03/2019,18.40,18.62,18.36,18.60,SAO MARTINHO
SMTO3,18/03/2019,18.45,18.55,18.18,18.25,SAO MARTINHO
SMTO3,19/03/2019,18.30,18.78,18.26,18.74,SAO MARTINHO
SMTO3,20/03/2019,18.75,18.77,18.28,18.40,SAO MARTINHO
SMTO3,21/03/2019,18.35,18.59,18.19,18.39,SAO MARTINHO
SMTO3,22/03/2019,18.18,18.25,18.00,18.14,SAO MARTINHO
SMTO3,25/03/2019,18.03,18.36,17.94,18.36,SAO MARTINHO
SMTO3,26/03/2019,18.37,18.37,17.95,18.06,SAO MARTINHO
SMTO3,27/03/2019,18.05,18.05,17.60,17.60,SAO MARTINHO
SMTO3,28/03/2019,17.58,17.90,17.43,17.89,SAO MARTINHO
SMTO3,29/03/2019,17.94,18.34,17.77,18.34,SAO MARTINHO
SMTO3,01/04/2019,18.39,18.56,18.25,18.39,SAO MARTINHO
SMTO3,02/04/2019,18.53,18.79,18.34,18.79,SAO MARTINHO
SMTO3,03/04/2019,18.89,19.05,18.39,18.70,SAO MARTINHO
SMTO3,04/04/2019,18.64,19.20,18.52,18.84,SAO MARTINHO
SMTO3,05/04/2019,19.03,19.15,18.70,18.75,SAO MARTINHO
SMTO3,08/04/2019,18.92,19.13,18.84,19.08,SAO MARTINHO
SMTO3,09/04/2019,19.04,19.50,19.04,19.39,SAO MARTINHO
SMTO3,10/04/2019,19.51,19.56,19.32,19.54,SAO MARTINHO
SMTO3,11/04/2019,19.50,19.73,19.34,19.65,SAO MARTINHO
SMTO3,12/04/2019,19.45,19.50,19.06,19.06,SAO MARTINHO
SMTO3,15/04/2019,19.26,19.29,18.86,18.99,SAO MARTINHO
SMTO3,16/04/2019,18.93,19.31,18.90,19.20,SAO MARTINHO
SMTO3,17/04/2019,19.32,19.32,18.82,18.85,SAO MARTINHO
SMTO3,18/04/2019,18.86,19.26,18.86,19.26,SAO MARTINHO
SMTO3,22/04/2019,19.20,19.43,19.09,19.33,SAO MARTINHO
SMTO3,23/04/2019,19.40,19.66,19.40,19.58,SAO MARTINHO
SMTO3,24/04/2019,19.61,19.72,19.43,19.60,SAO MARTINHO
SMTO3,25/04/2019,19.59,19.59,19.25,19.38,SAO MARTINHO
SMTO3,26/04/2019,19.25,19.57,19.22,19.35,SAO MARTINHO
SMTO3,29/04/2019,19.26,19.45,19.23,19.25,SAO MARTINHO
SMTO3,30/04/2019,19.26,19.39,19.02,19.09,SAO MARTINHO
SMTO3,02/05/2019,18.90,19.51,18.90,19.40,SAO MARTINHO
SMTO3,03/05/2019,19.57,19.57,19.34,19.48,SAO MARTINHO
SMTO3,06/05/2019,19.26,19.59,19.24,19.59,SAO MARTINHO
SMTO3,07/05/2019,19.64,19.64,19.15,19.15,SAO MARTINHO
SMTO3,08/05/2019,19.12,19.44,19.12,19.44,SAO MARTINHO
