Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
STBP3,02/01/2019,4.18,4.28,4.12,4.25,SANTOS BRP
STBP3,03/01/2019,4.20,4.38,4.20,4.37,SANTOS BRP
STBP3,04/01/2019,4.39,4.39,4.27,4.28,SANTOS BRP
STBP3,07/01/2019,4.26,4.30,4.22,4.23,SANTOS BRP
STBP3,08/01/2019,4.27,4.34,4.22,4.22,SANTOS BRP
STBP3,09/01/2019,4.24,4.30,4.23,4.23,SANTOS BRP
STBP3,10/01/2019,4.24,4.33,4.19,4.33,SANTOS BRP
STBP3,11/01/2019,4.33,4.37,4.28,4.33,SANTOS BRP
STBP3,14/01/2019,4.33,4.44,4.27,4.40,SANTOS BRP
STBP3,15/01/2019,4.40,4.44,4.31,4.40,SANTOS BRP
STBP3,16/01/2019,4.42,4.43,4.32,4.37,SANTOS BRP
STBP3,17/01/2019,4.35,4.49,4.35,4.49,SANTOS BRP
STBP3,18/01/2019,4.49,4.54,4.42,4.47,SANTOS BRP
STBP3,21/01/2019,4.44,4.72,4.41,4.70,SANTOS BRP
STBP3,22/01/2019,4.69,4.70,4.45,4.50,SANTOS BRP
STBP3,23/01/2019,4.55,4.65,4.51,4.65,SANTOS BRP
STBP3,24/01/2019,4.65,4.68,4.56,4.59,SANTOS BRP
STBP3,28/01/2019,4.59,4.64,4.51,4.63,SANTOS BRP
STBP3,29/01/2019,4.65,4.68,4.53,4.59,SANTOS BRP
STBP3,30/01/2019,4.63,4.63,4.32,4.40,SANTOS BRP
STBP3,31/01/2019,4.41,4.55,4.38,4.48,SANTOS BRP
STBP3,01/02/2019,4.49,4.59,4.41,4.50,SANTOS BRP
STBP3,04/02/2019,4.50,4.54,4.37,4.51,SANTOS BRP
STBP3,05/02/2019,4.49,4.52,4.45,4.47,SANTOS BRP
STBP3,06/02/2019,4.43,4.47,4.33,4.34,SANTOS BRP
STBP3,07/02/2019,4.42,4.42,4.20,4.35,SANTOS BRP
STBP3,08/02/2019,4.32,4.35,4.22,4.30,SANTOS BRP
STBP3,11/02/2019,4.32,4.33,4.20,4.20,SANTOS BRP
STBP3,12/02/2019,4.26,4.27,4.07,4.20,SANTOS BRP
STBP3,13/02/2019,4.17,4.18,4.07,4.15,SANTOS BRP
STBP3,14/02/2019,4.18,4.20,4.03,4.20,SANTOS BRP
STBP3,15/02/2019,4.18,4.28,4.15,4.23,SANTOS BRP
STBP3,18/02/2019,4.30,4.39,4.23,4.24,SANTOS BRP
STBP3,19/02/2019,4.25,4.36,4.25,4.31,SANTOS BRP
STBP3,20/02/2019,4.34,4.34,4.25,4.29,SANTOS BRP
STBP3,21/02/2019,4.26,4.32,4.14,4.20,SANTOS BRP
STBP3,22/02/2019,4.25,4.25,3.95,4.06,SANTOS BRP
STBP3,25/02/2019,4.05,4.05,3.93,3.96,SANTOS BRP
STBP3,26/02/2019,3.99,4.03,3.88,3.89,SANTOS BRP
STBP3,27/02/2019,3.90,4.00,3.84,3.87,SANTOS BRP
STBP3,28/02/2019,3.88,3.90,3.77,3.77,SANTOS BRP
STBP3,01/03/2019,3.80,3.81,3.69,3.77,SANTOS BRP
STBP3,06/03/2019,3.74,3.79,3.61,3.63,SANTOS BRP
STBP3,07/03/2019,3.63,3.65,3.56,3.56,SANTOS BRP
STBP3,08/03/2019,3.57,3.67,3.51,3.58,SANTOS BRP
STBP3,11/03/2019,3.59,3.66,3.57,3.59,SANTOS BRP
STBP3,12/03/2019,3.60,3.63,3.54,3.54,SANTOS BRP
STBP3,13/03/2019,3.55,3.60,3.50,3.57,SANTOS BRP
STBP3,14/03/2019,3.58,3.63,3.52,3.56,SANTOS BRP
STBP3,15/03/2019,3.56,3.71,3.56,3.70,SANTOS BRP
STBP3,18/03/2019,3.74,3.82,3.68,3.80,SANTOS BRP
STBP3,19/03/2019,3.83,3.87,3.72,3.87,SANTOS BRP
STBP3,20/03/2019,3.84,3.99,3.81,3.98,SANTOS BRP
STBP3,21/03/2019,4.07,4.09,3.87,3.95,SANTOS BRP
STBP3,22/03/2019,3.93,3.93,3.67,3.74,SANTOS BRP
STBP3,25/03/2019,3.76,3.87,3.70,3.78,SANTOS BRP
STBP3,26/03/2019,3.81,3.85,3.75,3.76,SANTOS BRP
STBP3,27/03/2019,3.74,3.75,3.58,3.58,SANTOS BRP
