Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
SUZB3,02/01/2019,37.95,39.49,37.56,38.60,SUZANO PAPEL
SUZB3,03/01/2019,38.51,38.51,35.62,36.95,SUZANO PAPEL
SUZB3,04/01/2019,37.13,37.96,36.92,37.57,SUZANO PAPEL
SUZB3,07/01/2019,37.52,37.52,35.85,35.85,SUZANO PAPEL
SUZB3,08/01/2019,36.00,36.44,35.78,36.20,SUZANO PAPEL
SUZB3,09/01/2019,36.08,38.37,36.08,38.37,SUZANO PAPEL
SUZB3,10/01/2019,38.05,39.90,37.43,38.86,SUZANO PAPEL
SUZB3,11/01/2019,39.75,39.75,38.68,38.86,SUZANO PAPEL
SUZB3,14/01/2019,38.34,39.63,38.34,39.00,SUZANO PAPEL
SUZB3,15/01/2019,39.65,42.30,39.43,42.30,SUZANO PAPEL
SUZB3,16/01/2019,42.50,44.85,42.50,44.16,SUZANO PAPEL
SUZB3,17/01/2019,44.36,44.85,42.63,42.97,SUZANO PAPEL
SUZB3,18/01/2019,43.50,44.56,42.03,44.37,SUZANO PAPEL
SUZB3,21/01/2019,44.40,45.68,42.80,45.60,SUZANO PAPEL
SUZB3,22/01/2019,45.65,45.90,44.16,44.48,SUZANO PAPEL
SUZB3,23/01/2019,44.65,46.50,44.58,45.84,SUZANO PAPEL
SUZB3,24/01/2019,46.00,47.95,45.90,47.95,SUZANO PAPEL
SUZB3,28/01/2019,47.40,49.44,46.83,49.08,SUZANO PAPEL
SUZB3,29/01/2019,49.36,49.79,47.82,48.01,SUZANO PAPEL
SUZB3,30/01/2019,48.20,49.00,46.44,46.60,SUZANO PAPEL
SUZB3,31/01/2019,46.28,47.92,45.39,46.00,SUZANO PAPEL
SUZB3,01/02/2019,46.22,47.13,45.98,46.61,SUZANO PAPEL
SUZB3,04/02/2019,46.34,48.00,46.32,47.01,SUZANO PAPEL
SUZB3,05/02/2019,47.05,48.30,47.05,47.29,SUZANO PAPEL
SUZB3,06/02/2019,47.65,48.45,47.32,47.85,SUZANO PAPEL
SUZB3,07/02/2019,48.24,49.44,47.90,48.62,SUZANO PAPEL
SUZB3,08/02/2019,49.10,50.00,47.71,47.96,SUZANO PAPEL
SUZB3,11/02/2019,48.00,48.66,46.37,46.69,SUZANO PAPEL
SUZB3,12/02/2019,47.00,47.34,45.26,45.35,SUZANO PAPEL
SUZB3,13/02/2019,45.68,46.66,44.97,45.87,SUZANO PAPEL
SUZB3,14/02/2019,46.07,46.49,44.71,45.05,SUZANO PAPEL
SUZB3,15/02/2019,44.78,46.10,44.77,45.68,SUZANO PAPEL
