Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TAEE4,02/01/2019,7.60,7.75,7.50,7.61,TAESA
TAEE4,03/01/2019,7.61,7.70,7.51,7.69,TAESA
TAEE4,04/01/2019,7.80,8.16,7.80,7.96,TAESA
TAEE4,07/01/2019,8.00,8.05,7.80,7.80,TAESA
TAEE4,08/01/2019,7.80,8.04,7.80,7.90,TAESA
TAEE4,09/01/2019,7.98,7.98,7.85,7.90,TAESA
TAEE4,10/01/2019,7.85,8.00,7.73,7.90,TAESA
TAEE4,11/01/2019,7.95,8.02,7.80,7.95,TAESA
TAEE4,14/01/2019,7.65,8.17,7.61,8.10,TAESA
TAEE4,15/01/2019,8.12,8.49,7.88,7.89,TAESA
TAEE4,16/01/2019,8.06,8.06,7.86,7.97,TAESA
TAEE4,17/01/2019,7.96,8.09,7.89,8.01,TAESA
TAEE4,18/01/2019,8.00,8.05,7.98,8.00,TAESA
TAEE4,21/01/2019,8.02,8.02,7.90,7.97,TAESA
TAEE4,22/01/2019,8.00,8.05,7.90,7.90,TAESA
TAEE4,23/01/2019,7.92,8.06,7.92,7.94,TAESA
TAEE4,24/01/2019,7.94,8.15,7.94,8.02,TAESA
TAEE4,28/01/2019,8.10,8.15,7.90,7.95,TAESA
TAEE4,29/01/2019,7.96,8.14,7.96,8.12,TAESA
TAEE4,30/01/2019,8.06,8.09,7.97,7.98,TAESA
TAEE4,31/01/2019,7.97,8.12,7.91,7.91,TAESA
TAEE4,01/02/2019,7.91,8.05,7.90,7.95,TAESA
TAEE4,04/02/2019,7.95,8.09,7.93,8.01,TAESA
TAEE4,05/02/2019,8.00,8.09,7.95,8.09,TAESA
TAEE4,06/02/2019,8.06,8.08,7.75,7.79,TAESA
TAEE4,07/02/2019,7.82,8.05,7.75,7.86,TAESA
TAEE4,08/02/2019,7.86,8.04,7.86,7.92,TAESA
TAEE4,11/02/2019,7.92,7.96,7.77,7.91,TAESA
TAEE4,12/02/2019,7.90,7.96,7.79,7.80,TAESA
TAEE4,13/02/2019,7.89,7.96,7.86,7.96,TAESA
TAEE4,14/02/2019,7.81,7.96,7.81,7.96,TAESA
TAEE4,15/02/2019,7.96,8.04,7.87,8.04,TAESA
TAEE4,18/02/2019,8.03,8.03,7.85,8.00,TAESA
TAEE4,19/02/2019,8.00,8.10,7.90,7.96,TAESA
TAEE4,20/02/2019,8.06,8.20,7.96,7.96,TAESA
TAEE4,21/02/2019,8.05,8.07,7.75,7.76,TAESA
TAEE4,22/02/2019,7.76,7.81,7.75,7.79,TAESA
TAEE4,25/02/2019,7.75,7.84,7.72,7.73,TAESA
TAEE4,26/02/2019,7.80,7.87,7.72,7.72,TAESA
TAEE4,27/02/2019,7.74,7.81,7.72,7.75,TAESA
TAEE4,28/02/2019,7.80,7.82,7.72,7.77,TAESA
TAEE4,01/03/2019,7.75,7.98,7.70,7.73,TAESA
TAEE4,06/03/2019,7.72,7.83,7.45,7.80,TAESA
TAEE4,07/03/2019,7.80,8.00,7.63,7.70,TAESA
TAEE4,08/03/2019,7.73,7.90,7.72,7.90,TAESA
TAEE4,11/03/2019,7.86,8.10,7.80,8.00,TAESA
TAEE4,12/03/2019,8.00,8.20,8.00,8.14,TAESA
TAEE4,13/03/2019,8.14,8.39,8.03,8.39,TAESA
TAEE4,14/03/2019,8.32,8.35,8.19,8.23,TAESA
TAEE4,15/03/2019,8.28,8.33,8.20,8.28,TAESA
TAEE4,18/03/2019,8.35,8.40,8.22,8.27,TAESA
TAEE4,19/03/2019,8.33,8.33,8.18,8.19,TAESA
TAEE4,20/03/2019,8.22,8.50,8.01,8.09,TAESA
