Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TECN3,02/01/2019,2.50,2.65,2.44,2.62,TECHNOS
TECN3,03/01/2019,2.62,2.85,2.61,2.77,TECHNOS
TECN3,04/01/2019,2.78,2.99,2.73,2.99,TECHNOS
TECN3,07/01/2019,2.88,2.98,2.83,2.90,TECHNOS
TECN3,08/01/2019,2.90,2.96,2.73,2.96,TECHNOS
TECN3,09/01/2019,2.96,3.10,2.93,3.01,TECHNOS
TECN3,10/01/2019,3.04,3.05,2.94,3.00,TECHNOS
TECN3,11/01/2019,3.00,3.02,2.94,2.94,TECHNOS
TECN3,14/01/2019,2.94,3.10,2.79,3.10,TECHNOS
TECN3,15/01/2019,3.10,3.10,2.97,2.97,TECHNOS
TECN3,16/01/2019,2.97,3.00,2.93,2.94,TECHNOS
TECN3,17/01/2019,2.91,2.95,2.87,2.90,TECHNOS
TECN3,18/01/2019,2.87,2.95,2.87,2.89,TECHNOS
TECN3,21/01/2019,2.89,2.89,2.83,2.87,TECHNOS
TECN3,22/01/2019,2.87,2.90,2.80,2.89,TECHNOS
TECN3,23/01/2019,2.86,3.03,2.83,2.90,TECHNOS
TECN3,24/01/2019,2.97,2.99,2.87,2.87,TECHNOS
TECN3,28/01/2019,2.87,2.87,2.80,2.80,TECHNOS
TECN3,29/01/2019,2.80,2.86,2.73,2.77,TECHNOS
TECN3,30/01/2019,2.77,2.84,2.74,2.75,TECHNOS
TECN3,31/01/2019,2.76,2.87,2.70,2.70,TECHNOS
TECN3,01/02/2019,2.75,2.75,2.63,2.65,TECHNOS
TECN3,04/02/2019,2.67,2.77,2.66,2.75,TECHNOS
TECN3,05/02/2019,2.75,2.81,2.75,2.77,TECHNOS
TECN3,06/02/2019,2.74,2.76,2.62,2.65,TECHNOS
TECN3,07/02/2019,2.65,2.70,2.51,2.62,TECHNOS
TECN3,08/02/2019,2.62,2.67,2.57,2.61,TECHNOS
TECN3,11/02/2019,2.58,2.62,2.40,2.41,TECHNOS
TECN3,12/02/2019,2.42,2.57,2.40,2.53,TECHNOS
TECN3,13/02/2019,2.56,2.62,2.51,2.60,TECHNOS
TECN3,14/02/2019,2.55,2.68,2.55,2.68,TECHNOS
TECN3,15/02/2019,2.68,2.75,2.57,2.75,TECHNOS
TECN3,18/02/2019,2.77,2.77,2.63,2.63,TECHNOS
TECN3,19/02/2019,2.67,2.67,2.61,2.64,TECHNOS
TECN3,20/02/2019,2.61,2.61,2.51,2.57,TECHNOS
TECN3,21/02/2019,2.52,2.57,2.52,2.53,TECHNOS
TECN3,22/02/2019,2.53,2.59,2.52,2.52,TECHNOS
TECN3,25/02/2019,2.52,2.55,2.46,2.54,TECHNOS
TECN3,26/02/2019,2.52,2.55,2.47,2.54,TECHNOS
TECN3,27/02/2019,2.50,2.51,2.42,2.49,TECHNOS
TECN3,28/02/2019,2.49,2.50,2.43,2.48,TECHNOS
TECN3,01/03/2019,2.46,2.46,2.31,2.35,TECHNOS
TECN3,06/03/2019,2.34,2.38,2.30,2.32,TECHNOS
TECN3,07/03/2019,2.32,2.34,2.28,2.30,TECHNOS
TECN3,08/03/2019,2.30,2.36,2.26,2.35,TECHNOS
TECN3,11/03/2019,2.35,2.44,2.34,2.42,TECHNOS
TECN3,12/03/2019,2.45,2.45,2.34,2.35,TECHNOS
TECN3,13/03/2019,2.35,2.37,2.21,2.27,TECHNOS
TECN3,14/03/2019,2.33,2.33,2.28,2.30,TECHNOS
TECN3,15/03/2019,2.30,2.44,2.29,2.44,TECHNOS
