Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TIET4,02/01/2019,2.03,2.05,2.01,2.01,AES TIETE E
TIET4,03/01/2019,2.02,2.08,2.02,2.08,AES TIETE E
TIET4,04/01/2019,2.07,2.14,2.05,2.06,AES TIETE E
TIET4,07/01/2019,2.07,2.11,2.04,2.06,AES TIETE E
TIET4,08/01/2019,2.10,2.10,2.06,2.06,AES TIETE E
TIET4,09/01/2019,2.08,2.13,2.07,2.09,AES TIETE E
TIET4,10/01/2019,2.09,2.17,2.09,2.17,AES TIETE E
TIET4,11/01/2019,2.17,2.17,2.12,2.13,AES TIETE E
TIET4,14/01/2019,2.13,2.16,2.13,2.15,AES TIETE E
TIET4,15/01/2019,2.16,2.16,2.12,2.15,AES TIETE E
TIET4,16/01/2019,2.14,2.15,2.08,2.11,AES TIETE E
TIET4,17/01/2019,2.11,2.13,2.08,2.13,AES TIETE E
TIET4,18/01/2019,2.13,2.14,2.11,2.13,AES TIETE E
TIET4,21/01/2019,2.13,2.18,2.12,2.18,AES TIETE E
TIET4,22/01/2019,2.18,2.24,2.15,2.15,AES TIETE E
TIET4,23/01/2019,2.22,2.22,2.19,2.20,AES TIETE E
TIET4,24/01/2019,2.22,2.28,2.20,2.27,AES TIETE E
TIET4,28/01/2019,2.27,2.30,2.22,2.30,AES TIETE E
TIET4,29/01/2019,2.32,2.32,2.29,2.30,AES TIETE E
TIET4,30/01/2019,2.34,2.35,2.31,2.34,AES TIETE E
TIET4,31/01/2019,2.34,2.38,2.31,2.33,AES TIETE E
TIET4,01/02/2019,2.33,2.34,2.30,2.34,AES TIETE E
TIET4,04/02/2019,2.34,2.35,2.32,2.34,AES TIETE E
TIET4,05/02/2019,2.33,2.35,2.27,2.30,AES TIETE E
TIET4,06/02/2019,2.33,2.33,2.25,2.26,AES TIETE E
TIET4,07/02/2019,2.25,2.28,2.22,2.22,AES TIETE E
TIET4,08/02/2019,2.24,2.25,2.20,2.21,AES TIETE E
TIET4,11/02/2019,2.23,2.23,2.18,2.23,AES TIETE E
TIET4,12/02/2019,2.23,2.25,2.21,2.21,AES TIETE E
TIET4,13/02/2019,2.23,2.24,2.22,2.24,AES TIETE E
TIET4,14/02/2019,2.24,2.25,2.19,2.25,AES TIETE E
TIET4,15/02/2019,2.23,2.23,2.16,2.17,AES TIETE E
TIET4,18/02/2019,2.19,2.19,2.10,2.12,AES TIETE E
TIET4,19/02/2019,2.13,2.19,2.10,2.19,AES TIETE E
TIET4,20/02/2019,2.19,2.20,2.15,2.15,AES TIETE E
TIET4,21/02/2019,2.20,2.20,2.13,2.14,AES TIETE E
TIET4,22/02/2019,2.13,2.20,2.13,2.17,AES TIETE E
TIET4,25/02/2019,2.18,2.20,2.16,2.17,AES TIETE E
TIET4,26/02/2019,2.18,2.24,2.18,2.23,AES TIETE E
TIET4,27/02/2019,2.26,2.29,2.24,2.28,AES TIETE E
TIET4,28/02/2019,2.28,2.33,2.25,2.33,AES TIETE E
TIET4,01/03/2019,2.33,2.34,2.27,2.31,AES TIETE E
TIET4,06/03/2019,2.31,2.32,2.28,2.28,AES TIETE E
TIET4,07/03/2019,2.30,2.30,2.23,2.24,AES TIETE E
TIET4,08/03/2019,2.27,2.29,2.24,2.29,AES TIETE E
TIET4,11/03/2019,2.30,2.32,2.28,2.30,AES TIETE E
TIET4,12/03/2019,2.31,2.31,2.26,2.27,AES TIETE E
TIET4,13/03/2019,2.29,2.29,2.19,2.24,AES TIETE E
TIET4,14/03/2019,2.24,2.28,2.24,2.25,AES TIETE E
TIET4,15/03/2019,2.25,2.31,2.25,2.29,AES TIETE E
TIET4,18/03/2019,2.29,2.35,2.28,2.34,AES TIETE E
TIET4,19/03/2019,2.35,2.38,2.35,2.37,AES TIETE E
TIET4,20/03/2019,2.35,2.38,2.30,2.30,AES TIETE E
TIET4,21/03/2019,2.31,2.32,2.23,2.25,AES TIETE E
TIET4,22/03/2019,2.28,2.28,2.20,2.22,AES TIETE E
TIET4,25/03/2019,2.28,2.28,2.17,2.21,AES TIETE E
TIET4,26/03/2019,2.23,2.27,2.23,2.24,AES TIETE E
TIET4,27/03/2019,2.26,2.26,2.18,2.20,AES TIETE E
TIET4,28/03/2019,2.23,2.23,2.18,2.21,AES TIETE E
TIET4,29/03/2019,2.23,2.24,2.21,2.21,AES TIETE E
TIET4,01/04/2019,2.24,2.24,2.20,2.21,AES TIETE E
TIET4,02/04/2019,2.21,2.24,2.21,2.22,AES TIETE E
TIET4,03/04/2019,2.22,2.24,2.20,2.22,AES TIETE E
TIET4,04/04/2019,2.20,2.24,2.20,2.23,AES TIETE E
TIET4,05/04/2019,2.23,2.25,2.22,2.24,AES TIETE E
TIET4,08/04/2019,2.25,2.27,2.22,2.23,AES TIETE E
TIET4,09/04/2019,2.24,2.24,2.19,2.21,AES TIETE E
TIET4,10/04/2019,2.21,2.21,2.16,2.20,AES TIETE E
TIET4,11/04/2019,2.20,2.20,2.16,2.18,AES TIETE E
TIET4,12/04/2019,2.18,2.18,2.11,2.14,AES TIETE E
TIET4,15/04/2019,2.16,2.19,2.13,2.16,AES TIETE E
TIET4,16/04/2019,2.17,2.22,2.15,2.22,AES TIETE E
TIET4,17/04/2019,2.22,2.22,2.17,2.18,AES TIETE E
TIET4,18/04/2019,2.20,2.21,2.18,2.20,AES TIETE E
TIET4,22/04/2019,2.20,2.20,2.16,2.18,AES TIETE E
TIET4,23/04/2019,2.20,2.21,2.18,2.21,AES TIETE E
TIET4,24/04/2019,2.20,2.21,2.18,2.19,AES TIETE E
TIET4,25/04/2019,2.21,2.22,2.18,2.20,AES TIETE E
TIET4,26/04/2019,2.18,2.20,2.15,2.20,AES TIETE E
TIET4,29/04/2019,2.19,2.20,2.15,2.18,AES TIETE E
TIET4,30/04/2019,2.18,2.20,2.16,2.16,AES TIETE E
TIET4,02/05/2019,2.18,2.18,2.15,2.17,AES TIETE E
TIET4,03/05/2019,2.17,2.18,2.14,2.15,AES TIETE E
TIET4,06/05/2019,2.16,2.16,2.11,2.15,AES TIETE E
TIET4,07/05/2019,2.17,2.19,2.10,2.18,AES TIETE E
TIET4,08/05/2019,2.18,2.21,2.18,2.20,AES TIETE E
