Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TOTS3,02/01/2019,27.08,28.79,27.06,28.65,TOTVS
TOTS3,03/01/2019,29.03,29.33,28.53,29.31,TOTVS
TOTS3,04/01/2019,29.33,30.50,28.61,30.12,TOTVS
TOTS3,07/01/2019,30.47,30.50,28.80,29.47,TOTVS
TOTS3,08/01/2019,29.31,29.63,28.27,28.27,TOTVS
TOTS3,09/01/2019,28.56,30.28,28.24,29.36,TOTVS
TOTS3,10/01/2019,29.10,30.20,29.10,29.90,TOTVS
TOTS3,11/01/2019,29.56,30.49,29.56,30.19,TOTVS
TOTS3,14/01/2019,29.91,31.92,29.91,31.07,TOTVS
TOTS3,15/01/2019,31.07,32.70,31.07,32.02,TOTVS
TOTS3,16/01/2019,31.93,32.31,31.70,31.70,TOTVS
TOTS3,17/01/2019,31.85,32.95,31.50,32.50,TOTVS
TOTS3,18/01/2019,32.88,34.26,32.40,33.99,TOTVS
TOTS3,21/01/2019,33.98,34.01,32.81,33.30,TOTVS
TOTS3,22/01/2019,33.30,34.10,33.00,33.85,TOTVS
TOTS3,23/01/2019,33.85,34.20,33.69,34.04,TOTVS
TOTS3,24/01/2019,34.15,34.15,33.45,33.60,TOTVS
TOTS3,28/01/2019,33.60,33.91,32.33,32.40,TOTVS
TOTS3,29/01/2019,32.73,32.99,32.01,32.78,TOTVS
TOTS3,30/01/2019,32.68,33.14,32.68,32.87,TOTVS
TOTS3,31/01/2019,32.87,33.48,32.86,33.26,TOTVS
TOTS3,01/02/2019,33.47,33.48,32.67,33.15,TOTVS
TOTS3,04/02/2019,33.28,33.60,32.68,33.40,TOTVS
TOTS3,05/02/2019,33.21,34.91,33.15,34.43,TOTVS
TOTS3,06/02/2019,34.44,34.69,33.72,33.72,TOTVS
TOTS3,07/02/2019,33.54,34.40,32.40,32.72,TOTVS
TOTS3,08/02/2019,32.71,33.24,32.14,32.30,TOTVS
TOTS3,11/02/2019,32.30,33.02,32.13,32.38,TOTVS
TOTS3,12/02/2019,32.31,32.66,31.49,31.49,TOTVS
TOTS3,13/02/2019,31.80,32.02,31.29,31.80,TOTVS
TOTS3,14/02/2019,32.12,33.50,31.74,32.58,TOTVS
TOTS3,15/02/2019,32.21,33.53,32.09,33.34,TOTVS
TOTS3,18/02/2019,33.33,34.33,32.48,33.90,TOTVS
TOTS3,19/02/2019,34.10,34.10,33.24,33.55,TOTVS
TOTS3,20/02/2019,33.95,34.51,33.19,34.36,TOTVS
TOTS3,21/02/2019,34.04,34.67,33.23,33.50,TOTVS
TOTS3,22/02/2019,33.87,34.42,33.37,33.91,TOTVS
TOTS3,25/02/2019,33.66,34.84,33.66,34.40,TOTVS
TOTS3,26/02/2019,34.40,35.37,34.40,35.09,TOTVS
TOTS3,27/02/2019,35.00,36.70,34.94,35.77,TOTVS
TOTS3,28/02/2019,35.87,36.45,35.77,36.45,TOTVS
TOTS3,01/03/2019,36.55,37.59,36.33,36.87,TOTVS
TOTS3,06/03/2019,36.60,37.90,36.23,37.90,TOTVS
TOTS3,07/03/2019,37.64,37.68,36.88,36.88,TOTVS
TOTS3,08/03/2019,36.99,37.31,36.13,36.57,TOTVS
TOTS3,11/03/2019,36.98,37.86,36.23,36.38,TOTVS
TOTS3,12/03/2019,36.66,37.14,36.20,36.20,TOTVS
TOTS3,13/03/2019,36.44,37.60,36.44,37.00,TOTVS
TOTS3,14/03/2019,37.00,38.35,36.84,37.85,TOTVS
TOTS3,15/03/2019,37.95,38.17,37.11,37.11,TOTVS
TOTS3,18/03/2019,36.55,37.97,36.55,37.69,TOTVS
TOTS3,19/03/2019,37.72,39.11,36.80,36.80,TOTVS
TOTS3,20/03/2019,37.09,37.76,36.21,36.90,TOTVS
TOTS3,21/03/2019,37.17,37.30,36.22,36.80,TOTVS
TOTS3,22/03/2019,37.00,38.35,36.61,38.05,TOTVS
TOTS3,25/03/2019,38.00,38.05,37.40,38.00,TOTVS
TOTS3,26/03/2019,38.06,39.01,37.40,39.01,TOTVS
TOTS3,27/03/2019,39.01,39.86,37.50,38.42,TOTVS
TOTS3,28/03/2019,38.12,39.50,37.79,39.40,TOTVS
TOTS3,29/03/2019,39.56,39.99,38.77,39.40,TOTVS
TOTS3,01/04/2019,39.75,39.90,38.90,39.25,TOTVS
TOTS3,02/04/2019,39.25,39.49,38.89,39.00,TOTVS
TOTS3,03/04/2019,39.15,40.42,39.15,40.21,TOTVS
TOTS3,04/04/2019,40.31,42.65,40.04,42.23,TOTVS
TOTS3,05/04/2019,42.19,42.24,41.27,41.60,TOTVS
TOTS3,08/04/2019,41.60,42.17,41.43,41.86,TOTVS
TOTS3,09/04/2019,41.70,42.16,41.44,41.72,TOTVS
TOTS3,10/04/2019,41.83,42.66,41.83,41.88,TOTVS
TOTS3,11/04/2019,42.09,43.15,41.56,42.15,TOTVS
TOTS3,12/04/2019,41.99,42.78,41.57,42.30,TOTVS
TOTS3,15/04/2019,42.30,42.56,41.75,42.26,TOTVS
TOTS3,16/04/2019,42.01,42.67,41.60,42.12,TOTVS
TOTS3,17/04/2019,42.30,42.85,41.91,42.38,TOTVS
TOTS3,18/04/2019,42.68,42.68,38.91,40.70,TOTVS
TOTS3,22/04/2019,40.75,41.84,40.75,41.60,TOTVS
TOTS3,23/04/2019,41.61,43.41,41.43,42.79,TOTVS
TOTS3,24/04/2019,42.70,44.03,42.47,43.20,TOTVS
TOTS3,25/04/2019,43.35,43.91,42.64,43.27,TOTVS
TOTS3,26/04/2019,43.00,43.80,42.70,43.60,TOTVS
TOTS3,29/04/2019,43.96,44.46,43.22,44.10,TOTVS
TOTS3,30/04/2019,44.44,45.19,43.52,44.55,TOTVS
TOTS3,02/05/2019,44.69,44.69,43.62,44.04,TOTVS
TOTS3,03/05/2019,43.68,43.68,42.01,42.49,TOTVS
TOTS3,06/05/2019,41.89,42.77,41.43,42.10,TOTVS
TOTS3,07/05/2019,42.12,42.54,40.90,40.90,TOTVS
TOTS3,08/05/2019,41.00,41.85,39.24,39.50,TOTVS
TOTS3,09/05/2019,39.95,41.70,39.69,40.20,TOTVS
TOTS3,10/05/2019,40.65,41.82,40.65,41.25,TOTVS
TOTS3,13/05/2019,41.23,41.79,40.47,41.38,TOTVS
TOTS3,14/05/2019,41.38,41.38,39.72,40.01,TOTVS
TOTS3,15/05/2019,39.41,39.90,39.08,39.87,TOTVS
TOTS3,16/05/2019,39.85,39.85,38.65,39.00,TOTVS
TOTS3,17/05/2019,39.15,39.51,37.79,38.50,TOTVS
TOTS3,20/05/2019,38.04,39.03,38.04,38.65,TOTVS
TOTS3,21/05/2019,39.07,41.16,39.07,41.02,TOTVS
TOTS3,22/05/2019,41.00,41.70,40.75,41.30,TOTVS
TOTS3,23/05/2019,41.00,41.01,39.25,39.84,TOTVS
TOTS3,24/05/2019,39.99,40.68,39.57,40.00,TOTVS
TOTS3,27/05/2019,40.00,40.18,39.40,40.00,TOTVS
TOTS3,28/05/2019,39.98,40.48,39.60,40.07,TOTVS
TOTS3,29/05/2019,40.00,40.47,39.65,40.29,TOTVS
TOTS3,30/05/2019,40.50,40.50,39.43,39.50,TOTVS
TOTS3,31/05/2019,39.61,39.90,39.10,39.50,TOTVS
TOTS3,03/06/2019,39.51,39.74,38.23,39.12,TOTVS
TOTS3,04/06/2019,39.30,39.92,38.57,39.92,TOTVS
TOTS3,05/06/2019,40.10,41.49,40.00,40.76,TOTVS
TOTS3,06/06/2019,40.99,40.99,39.82,40.19,TOTVS
TOTS3,07/06/2019,40.29,41.05,40.20,41.05,TOTVS
TOTS3,10/06/2019,41.34,42.57,40.95,42.44,TOTVS
TOTS3,11/06/2019,42.65,43.00,42.14,42.95,TOTVS
TOTS3,12/06/2019,42.93,43.19,42.01,43.05,TOTVS
TOTS3,13/06/2019,43.20,44.13,42.78,44.13,TOTVS
TOTS3,14/06/2019,44.24,45.28,43.52,45.28,TOTVS
TOTS3,17/06/2019,45.00,45.46,44.56,44.99,TOTVS
TOTS3,18/06/2019,45.69,45.82,44.21,44.75,TOTVS
TOTS3,19/06/2019,44.75,45.17,44.16,44.99,TOTVS
TOTS3,21/06/2019,44.80,44.80,43.48,43.49,TOTVS
TOTS3,24/06/2019,43.75,43.87,42.75,43.59,TOTVS
TOTS3,25/06/2019,43.30,43.30,42.61,42.68,TOTVS
TOTS3,26/06/2019,42.99,43.39,41.90,43.39,TOTVS
TOTS3,27/06/2019,43.19,43.68,42.61,43.60,TOTVS
TOTS3,28/06/2019,43.83,44.17,43.30,43.97,TOTVS
TOTS3,01/07/2019,43.97,44.06,43.51,43.70,TOTVS
TOTS3,02/07/2019,43.71,45.24,43.71,45.20,TOTVS
TOTS3,03/07/2019,45.31,45.84,44.73,45.75,TOTVS
TOTS3,04/07/2019,45.75,46.70,45.51,46.70,TOTVS
