Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TRIS3,02/01/2019,4.15,4.34,4.04,4.30,TRISUL
TRIS3,03/01/2019,4.26,4.50,4.20,4.33,TRISUL
TRIS3,04/01/2019,4.35,4.45,4.31,4.32,TRISUL
TRIS3,07/01/2019,4.34,4.45,4.22,4.38,TRISUL
TRIS3,08/01/2019,4.40,4.52,4.37,4.44,TRISUL
TRIS3,09/01/2019,4.49,4.57,4.46,4.57,TRISUL
TRIS3,10/01/2019,4.52,4.55,4.50,4.53,TRISUL
TRIS3,11/01/2019,4.56,4.59,4.45,4.51,TRISUL
TRIS3,14/01/2019,4.52,4.55,4.42,4.47,TRISUL
TRIS3,15/01/2019,4.49,4.49,4.40,4.45,TRISUL
TRIS3,16/01/2019,4.47,4.54,4.45,4.49,TRISUL
TRIS3,17/01/2019,4.51,4.52,4.44,4.46,TRISUL
TRIS3,18/01/2019,4.49,4.51,4.46,4.49,TRISUL
TRIS3,21/01/2019,4.50,4.51,4.44,4.49,TRISUL
TRIS3,22/01/2019,4.48,4.50,4.29,4.34,TRISUL
TRIS3,23/01/2019,4.31,4.33,4.14,4.27,TRISUL
TRIS3,24/01/2019,4.30,4.32,4.20,4.22,TRISUL
TRIS3,28/01/2019,4.15,4.30,4.07,4.21,TRISUL
TRIS3,29/01/2019,4.24,4.32,4.20,4.20,TRISUL
TRIS3,30/01/2019,4.21,4.29,4.16,4.23,TRISUL
TRIS3,31/01/2019,4.27,4.30,4.18,4.21,TRISUL
TRIS3,01/02/2019,4.21,4.37,4.21,4.37,TRISUL
TRIS3,04/02/2019,4.38,4.50,4.37,4.50,TRISUL
TRIS3,05/02/2019,4.51,4.69,4.51,4.61,TRISUL
TRIS3,06/02/2019,4.60,4.60,4.43,4.45,TRISUL
TRIS3,07/02/2019,4.44,4.61,4.33,4.48,TRISUL
TRIS3,08/02/2019,4.44,4.50,4.38,4.50,TRISUL
TRIS3,11/02/2019,4.54,4.57,4.45,4.57,TRISUL
TRIS3,12/02/2019,4.58,4.61,4.48,4.55,TRISUL
TRIS3,13/02/2019,4.55,4.65,4.50,4.60,TRISUL
TRIS3,14/02/2019,4.63,4.79,4.60,4.78,TRISUL
TRIS3,15/02/2019,4.80,4.92,4.78,4.89,TRISUL
TRIS3,18/02/2019,4.86,4.98,4.82,4.96,TRISUL
TRIS3,19/02/2019,4.97,5.00,4.87,4.94,TRISUL
TRIS3,20/02/2019,4.97,4.97,4.82,4.85,TRISUL
TRIS3,21/02/2019,4.87,4.94,4.71,4.94,TRISUL
TRIS3,22/02/2019,4.93,4.95,4.89,4.89,TRISUL
TRIS3,25/02/2019,4.90,4.98,4.81,4.91,TRISUL
TRIS3,26/02/2019,4.91,4.91,4.73,4.73,TRISUL
