Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TRPL4,02/01/2019,69.30,71.50,69.06,70.00,TRAN PAULIST
TRPL4,03/01/2019,70.46,71.47,70.46,71.00,TRAN PAULIST
TRPL4,04/01/2019,71.47,73.95,71.24,73.60,TRAN PAULIST
TRPL4,07/01/2019,73.89,74.17,72.20,73.00,TRAN PAULIST
TRPL4,08/01/2019,73.17,73.34,72.45,72.79,TRAN PAULIST
TRPL4,09/01/2019,72.90,73.47,72.70,73.07,TRAN PAULIST
TRPL4,10/01/2019,72.80,74.13,72.80,73.95,TRAN PAULIST
TRPL4,11/01/2019,73.95,75.20,73.50,75.01,TRAN PAULIST
TRPL4,14/01/2019,75.01,75.34,74.30,74.57,TRAN PAULIST
TRPL4,15/01/2019,74.70,74.72,72.54,72.65,TRAN PAULIST
TRPL4,16/01/2019,72.77,73.57,72.77,73.47,TRAN PAULIST
TRPL4,17/01/2019,73.45,73.70,72.70,73.00,TRAN PAULIST
TRPL4,18/01/2019,73.26,74.39,73.18,73.89,TRAN PAULIST
TRPL4,21/01/2019,73.89,74.44,73.76,73.89,TRAN PAULIST
TRPL4,22/01/2019,73.90,75.15,73.80,74.27,TRAN PAULIST
TRPL4,23/01/2019,74.24,75.18,74.10,74.90,TRAN PAULIST
TRPL4,24/01/2019,75.00,76.69,74.90,76.69,TRAN PAULIST
TRPL4,28/01/2019,76.58,77.39,75.77,77.39,TRAN PAULIST
TRPL4,29/01/2019,77.40,78.50,76.61,77.70,TRAN PAULIST
TRPL4,30/01/2019,78.00,78.50,77.58,78.40,TRAN PAULIST
TRPL4,31/01/2019,78.51,79.19,78.33,78.61,TRAN PAULIST
TRPL4,01/02/2019,78.51,79.55,77.49,78.74,TRAN PAULIST
TRPL4,04/02/2019,78.76,79.24,78.27,78.31,TRAN PAULIST
TRPL4,05/02/2019,78.33,78.78,77.55,78.48,TRAN PAULIST
TRPL4,06/02/2019,78.48,78.60,77.40,77.62,TRAN PAULIST
TRPL4,07/02/2019,77.70,78.10,76.51,76.98,TRAN PAULIST
TRPL4,08/02/2019,77.29,78.00,76.28,78.00,TRAN PAULIST
TRPL4,11/02/2019,78.41,79.00,77.09,77.86,TRAN PAULIST
TRPL4,12/02/2019,77.92,78.75,77.18,77.37,TRAN PAULIST
TRPL4,13/02/2019,77.46,78.83,77.37,78.00,TRAN PAULIST
TRPL4,14/02/2019,78.01,78.89,77.52,78.25,TRAN PAULIST
TRPL4,15/02/2019,78.26,78.85,77.50,77.72,TRAN PAULIST
TRPL4,18/02/2019,77.95,77.96,77.07,77.22,TRAN PAULIST
TRPL4,19/02/2019,77.39,78.00,77.12,77.31,TRAN PAULIST
TRPL4,20/02/2019,77.56,78.10,76.88,76.99,TRAN PAULIST
TRPL4,21/02/2019,77.02,78.00,76.87,77.00,TRAN PAULIST
TRPL4,22/02/2019,77.03,77.64,77.03,77.38,TRAN PAULIST
TRPL4,25/02/2019,77.56,78.00,77.30,77.63,TRAN PAULIST
TRPL4,26/02/2019,77.64,77.96,76.69,77.13,TRAN PAULIST
TRPL4,27/02/2019,77.14,78.22,76.57,78.00,TRAN PAULIST
TRPL4,28/02/2019,78.10,78.10,76.90,77.20,TRAN PAULIST
TRPL4,01/03/2019,79.00,79.98,78.53,79.50,TRAN PAULIST
TRPL4,06/03/2019,79.67,81.60,78.79,79.39,TRAN PAULIST
TRPL4,07/03/2019,79.40,79.87,76.96,77.32,TRAN PAULIST
TRPL4,08/03/2019,76.67,79.50,76.51,78.25,TRAN PAULIST
TRPL4,11/03/2019,78.52,79.84,78.12,78.81,TRAN PAULIST
TRPL4,12/03/2019,79.20,80.85,78.74,79.86,TRAN PAULIST
TRPL4,13/03/2019,80.18,80.74,79.12,79.51,TRAN PAULIST
TRPL4,14/03/2019,79.70,81.84,79.70,81.49,TRAN PAULIST
TRPL4,15/03/2019,81.55,82.19,80.57,81.14,TRAN PAULIST
TRPL4,18/03/2019,81.15,81.68,80.00,80.00,TRAN PAULIST
TRPL4,19/03/2019,80.49,80.85,78.90,78.90,TRAN PAULIST
TRPL4,20/03/2019,79.18,79.40,77.60,77.84,TRAN PAULIST
TRPL4,21/03/2019,78.15,78.57,75.50,75.95,TRAN PAULIST
TRPL4,22/03/2019,75.50,76.38,74.90,75.19,TRAN PAULIST
TRPL4,25/03/2019,75.16,76.58,74.10,76.58,TRAN PAULIST
TRPL4,26/03/2019,76.72,77.40,76.72,76.81,TRAN PAULIST
TRPL4,27/03/2019,76.73,76.73,75.26,75.42,TRAN PAULIST
TRPL4,28/03/2019,75.46,76.99,74.63,76.99,TRAN PAULIST
TRPL4,29/03/2019,77.70,78.00,77.14,77.14,TRAN PAULIST
TRPL4,01/04/2019,77.97,78.00,76.80,77.54,TRAN PAULIST
TRPL4,02/04/2019,77.75,77.84,76.58,76.58,TRAN PAULIST
TRPL4,03/04/2019,77.50,78.00,76.87,77.12,TRAN PAULIST
TRPL4,04/04/2019,77.84,79.40,77.48,79.20,TRAN PAULIST
TRPL4,05/04/2019,20.18,20.59,19.89,20.30,TRAN PAULIST
TRPL4,08/04/2019,20.60,21.10,20.44,20.60,TRAN PAULIST
TRPL4,09/04/2019,20.71,20.71,20.14,20.14,TRAN PAULIST
TRPL4,10/04/2019,20.25,20.86,20.18,20.31,TRAN PAULIST
TRPL4,11/04/2019,20.39,20.43,19.93,20.00,TRAN PAULIST
TRPL4,12/04/2019,19.95,20.29,19.86,19.87,TRAN PAULIST
TRPL4,15/04/2019,20.02,20.42,20.01,20.30,TRAN PAULIST
TRPL4,16/04/2019,20.33,20.60,20.31,20.55,TRAN PAULIST
TRPL4,17/04/2019,20.55,20.70,20.10,20.35,TRAN PAULIST
TRPL4,18/04/2019,20.48,20.65,20.26,20.55,TRAN PAULIST
TRPL4,22/04/2019,20.61,20.95,20.52,20.57,TRAN PAULIST
TRPL4,23/04/2019,20.74,20.88,20.51,20.66,TRAN PAULIST
TRPL4,24/04/2019,20.77,20.86,20.51,20.70,TRAN PAULIST
TRPL4,25/04/2019,20.80,20.91,20.66,20.78,TRAN PAULIST
TRPL4,26/04/2019,20.90,21.00,20.73,20.73,TRAN PAULIST
TRPL4,29/04/2019,21.00,21.44,20.91,21.34,TRAN PAULIST
TRPL4,30/04/2019,21.12,21.30,20.73,21.00,TRAN PAULIST
TRPL4,02/05/2019,21.06,21.42,21.01,21.01,TRAN PAULIST
TRPL4,03/05/2019,21.19,21.35,20.60,20.60,TRAN PAULIST
TRPL4,06/05/2019,20.57,20.84,20.25,20.77,TRAN PAULIST
TRPL4,07/05/2019,20.81,21.40,20.78,21.00,TRAN PAULIST
TRPL4,08/05/2019,21.13,21.62,21.13,21.38,TRAN PAULIST
TRPL4,09/05/2019,21.43,21.66,21.17,21.40,TRAN PAULIST
TRPL4,10/05/2019,21.54,21.80,21.07,21.11,TRAN PAULIST
TRPL4,13/05/2019,21.05,21.25,20.77,20.77,TRAN PAULIST
TRPL4,14/05/2019,20.93,21.07,20.63,20.90,TRAN PAULIST
TRPL4,15/05/2019,20.82,21.03,20.60,20.75,TRAN PAULIST
TRPL4,16/05/2019,20.75,20.85,20.13,20.13,TRAN PAULIST
TRPL4,17/05/2019,20.14,20.40,19.83,19.87,TRAN PAULIST
TRPL4,20/05/2019,20.05,20.73,19.98,20.60,TRAN PAULIST
TRPL4,21/05/2019,20.80,21.10,20.64,20.76,TRAN PAULIST
TRPL4,22/05/2019,20.84,21.30,20.84,20.99,TRAN PAULIST
TRPL4,23/05/2019,21.02,21.20,20.78,20.78,TRAN PAULIST
TRPL4,24/05/2019,20.85,21.16,20.85,21.05,TRAN PAULIST
TRPL4,27/05/2019,21.20,21.43,21.00,21.20,TRAN PAULIST
TRPL4,28/05/2019,21.34,21.49,21.25,21.40,TRAN PAULIST
