Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
UNIP6,02/01/2019,36.87,38.27,36.70,37.75,UNIPAR
UNIP6,03/01/2019,37.30,38.03,37.30,37.30,UNIPAR
UNIP6,04/01/2019,37.02,37.59,37.02,37.29,UNIPAR
UNIP6,07/01/2019,37.54,37.55,37.15,37.20,UNIPAR
UNIP6,08/01/2019,37.23,38.26,37.09,38.25,UNIPAR
UNIP6,09/01/2019,38.22,38.73,37.79,37.92,UNIPAR
UNIP6,10/01/2019,37.92,37.97,37.39,37.67,UNIPAR
UNIP6,11/01/2019,37.84,38.00,37.34,37.45,UNIPAR
UNIP6,14/01/2019,37.49,37.72,36.85,37.31,UNIPAR
UNIP6,15/01/2019,37.31,37.87,37.23,37.27,UNIPAR
UNIP6,16/01/2019,37.23,37.78,37.23,37.33,UNIPAR
UNIP6,17/01/2019,37.49,37.72,37.25,37.61,UNIPAR
UNIP6,18/01/2019,37.61,37.75,37.41,37.70,UNIPAR
UNIP6,21/01/2019,37.74,37.92,37.48,37.91,UNIPAR
UNIP6,22/01/2019,37.92,37.94,37.15,37.35,UNIPAR
UNIP6,23/01/2019,37.18,37.56,37.18,37.48,UNIPAR
UNIP6,24/01/2019,37.39,37.40,37.02,37.30,UNIPAR
UNIP6,28/01/2019,37.30,37.37,36.94,37.22,UNIPAR
UNIP6,29/01/2019,37.22,37.47,36.91,37.22,UNIPAR
UNIP6,30/01/2019,37.02,37.33,36.94,36.94,UNIPAR
UNIP6,31/01/2019,37.00,37.50,36.95,37.50,UNIPAR
UNIP6,01/02/2019,37.48,37.94,37.28,37.89,UNIPAR
UNIP6,04/02/2019,37.91,39.45,37.85,39.45,UNIPAR
UNIP6,05/02/2019,39.80,40.51,39.02,39.50,UNIPAR
UNIP6,06/02/2019,39.47,40.12,39.07,39.40,UNIPAR
UNIP6,07/02/2019,39.76,40.58,39.34,40.58,UNIPAR
UNIP6,08/02/2019,40.61,41.00,39.56,40.00,UNIPAR
UNIP6,11/02/2019,40.01,40.14,39.32,39.59,UNIPAR
UNIP6,12/02/2019,39.70,40.48,39.69,39.69,UNIPAR
UNIP6,13/02/2019,39.81,40.16,38.32,39.02,UNIPAR
UNIP6,14/02/2019,39.05,39.88,38.73,39.68,UNIPAR
UNIP6,15/02/2019,39.86,39.86,39.25,39.55,UNIPAR
UNIP6,18/02/2019,39.75,39.93,39.40,39.89,UNIPAR
UNIP6,19/02/2019,39.90,40.72,39.90,40.54,UNIPAR
UNIP6,20/02/2019,40.77,40.86,40.16,40.40,UNIPAR
UNIP6,21/02/2019,40.40,40.79,39.71,39.73,UNIPAR
UNIP6,22/02/2019,39.76,40.07,39.16,39.41,UNIPAR
UNIP6,25/02/2019,39.44,40.57,38.99,39.94,UNIPAR
UNIP6,26/02/2019,40.00,40.50,39.74,39.75,UNIPAR
UNIP6,27/02/2019,39.97,40.00,39.13,39.50,UNIPAR
UNIP6,28/02/2019,39.56,40.08,39.31,39.81,UNIPAR
UNIP6,01/03/2019,39.80,39.80,38.72,39.13,UNIPAR
UNIP6,06/03/2019,39.50,40.00,38.78,39.99,UNIPAR
UNIP6,07/03/2019,39.95,41.70,39.20,41.70,UNIPAR
UNIP6,08/03/2019,41.69,41.69,40.77,40.77,UNIPAR
UNIP6,11/03/2019,41.01,42.80,41.01,42.79,UNIPAR
UNIP6,12/03/2019,42.75,44.50,42.20,42.81,UNIPAR
UNIP6,13/03/2019,42.92,43.80,42.75,43.30,UNIPAR
UNIP6,14/03/2019,43.25,43.25,41.61,43.02,UNIPAR
UNIP6,15/03/2019,44.19,44.19,41.50,41.50,UNIPAR
UNIP6,18/03/2019,42.09,42.41,41.50,42.20,UNIPAR
UNIP6,19/03/2019,42.20,42.75,41.84,42.75,UNIPAR
UNIP6,20/03/2019,42.81,42.85,42.12,42.72,UNIPAR
UNIP6,21/03/2019,42.58,42.61,40.78,41.30,UNIPAR
UNIP6,22/03/2019,40.84,40.84,39.47,39.75,UNIPAR
UNIP6,25/03/2019,39.50,39.50,38.43,38.97,UNIPAR
UNIP6,26/03/2019,39.02,39.22,38.55,38.85,UNIPAR
UNIP6,27/03/2019,38.56,38.89,37.66,37.71,UNIPAR
UNIP6,28/03/2019,37.72,38.15,37.06,37.75,UNIPAR
UNIP6,29/03/2019,38.25,39.15,38.15,38.15,UNIPAR
UNIP6,01/04/2019,38.20,39.10,38.20,38.77,UNIPAR
UNIP6,02/04/2019,39.00,39.27,38.34,39.08,UNIPAR
UNIP6,03/04/2019,39.40,39.73,38.50,39.08,UNIPAR
UNIP6,04/04/2019,39.16,39.44,38.32,38.67,UNIPAR
UNIP6,05/04/2019,38.70,39.04,38.20,38.45,UNIPAR
UNIP6,08/04/2019,38.54,38.98,38.50,38.77,UNIPAR
UNIP6,09/04/2019,38.35,38.82,38.35,38.61,UNIPAR
UNIP6,10/04/2019,38.65,38.82,37.97,38.50,UNIPAR
UNIP6,11/04/2019,38.49,38.96,38.18,38.50,UNIPAR
UNIP6,12/04/2019,38.45,38.64,37.90,37.91,UNIPAR
UNIP6,15/04/2019,38.49,40.19,38.17,38.95,UNIPAR
UNIP6,16/04/2019,38.95,39.24,38.79,39.24,UNIPAR
UNIP6,17/04/2019,39.11,39.65,39.01,39.65,UNIPAR
UNIP6,18/04/2019,39.40,39.53,39.00,39.19,UNIPAR
UNIP6,22/04/2019,39.20,39.56,38.50,38.58,UNIPAR
UNIP6,23/04/2019,38.70,39.29,38.40,39.29,UNIPAR
UNIP6,24/04/2019,39.29,39.29,38.52,38.79,UNIPAR
UNIP6,25/04/2019,38.88,38.91,38.30,38.74,UNIPAR
UNIP6,26/04/2019,38.76,39.32,38.03,38.03,UNIPAR
UNIP6,29/04/2019,38.20,38.63,37.60,37.84,UNIPAR
UNIP6,30/04/2019,38.00,38.79,37.51,38.79,UNIPAR
UNIP6,02/05/2019,38.70,38.70,37.82,38.55,UNIPAR
UNIP6,03/05/2019,38.35,38.84,38.08,38.20,UNIPAR
UNIP6,06/05/2019,37.99,38.48,37.77,37.90,UNIPAR
UNIP6,07/05/2019,37.98,38.33,37.21,37.21,UNIPAR
UNIP6,08/05/2019,37.39,38.20,37.39,37.80,UNIPAR
UNIP6,09/05/2019,37.66,38.34,36.92,38.04,UNIPAR
UNIP6,10/05/2019,38.04,38.27,37.40,37.80,UNIPAR
UNIP6,13/05/2019,37.59,37.59,36.75,36.75,UNIPAR
UNIP6,14/05/2019,34.00,35.54,33.48,35.00,UNIPAR
UNIP6,15/05/2019,34.60,35.39,34.52,35.10,UNIPAR
UNIP6,16/05/2019,35.11,35.79,34.75,35.23,UNIPAR
UNIP6,17/05/2019,35.40,36.34,35.09,35.95,UNIPAR
UNIP6,20/05/2019,36.00,36.55,35.84,36.49,UNIPAR
UNIP6,21/05/2019,36.60,37.98,36.60,37.84,UNIPAR
UNIP6,22/05/2019,37.83,38.30,36.60,36.60,UNIPAR
UNIP6,23/05/2019,36.44,37.04,36.06,36.15,UNIPAR
UNIP6,24/05/2019,36.57,37.10,36.17,37.10,UNIPAR
UNIP6,27/05/2019,37.16,37.78,37.13,37.39,UNIPAR
UNIP6,28/05/2019,37.40,38.60,37.10,37.15,UNIPAR
UNIP6,29/05/2019,37.18,37.45,35.90,35.93,UNIPAR
UNIP6,30/05/2019,35.73,35.83,35.39,35.77,UNIPAR
UNIP6,31/05/2019,35.75,36.80,35.44,36.80,UNIPAR
UNIP6,03/06/2019,36.91,37.30,36.87,37.28,UNIPAR
UNIP6,04/06/2019,37.32,37.44,37.01,37.37,UNIPAR
UNIP6,05/06/2019,37.13,38.00,37.10,38.00,UNIPAR
UNIP6,06/06/2019,37.95,38.74,37.70,38.30,UNIPAR
UNIP6,07/06/2019,38.56,39.84,38.50,39.20,UNIPAR
UNIP6,10/06/2019,38.91,40.30,38.57,38.57,UNIPAR
UNIP6,11/06/2019,38.68,39.51,38.68,39.51,UNIPAR
UNIP6,12/06/2019,39.33,40.67,39.28,40.54,UNIPAR
UNIP6,13/06/2019,40.45,40.65,40.15,40.16,UNIPAR
