Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
USIM3,02/01/2019,11.41,11.85,11.38,11.85,USIMINAS
USIM3,03/01/2019,11.82,11.99,11.44,11.86,USIMINAS
USIM3,04/01/2019,11.88,12.28,11.88,12.26,USIMINAS
USIM3,07/01/2019,12.30,12.50,12.08,12.22,USIMINAS
USIM3,08/01/2019,12.38,12.38,12.00,12.15,USIMINAS
USIM3,09/01/2019,12.49,12.49,12.16,12.34,USIMINAS
USIM3,10/01/2019,12.28,12.35,12.16,12.34,USIMINAS
USIM3,11/01/2019,12.48,12.48,12.14,12.21,USIMINAS
USIM3,14/01/2019,12.20,12.20,11.84,11.98,USIMINAS
USIM3,15/01/2019,11.98,12.15,11.85,12.02,USIMINAS
USIM3,16/01/2019,12.02,12.31,11.94,12.06,USIMINAS
USIM3,17/01/2019,12.00,12.20,11.92,12.03,USIMINAS
USIM3,18/01/2019,12.19,12.19,12.03,12.08,USIMINAS
USIM3,21/01/2019,12.15,12.18,12.03,12.14,USIMINAS
USIM3,22/01/2019,12.08,12.13,11.70,12.04,USIMINAS
USIM3,23/01/2019,12.04,12.13,11.94,12.05,USIMINAS
USIM3,24/01/2019,12.05,12.09,12.01,12.03,USIMINAS
USIM3,28/01/2019,12.00,12.03,11.67,11.76,USIMINAS
USIM3,29/01/2019,11.76,11.88,11.65,11.75,USIMINAS
USIM3,30/01/2019,11.84,11.93,11.50,11.50,USIMINAS
USIM3,31/01/2019,11.57,11.74,11.47,11.56,USIMINAS
USIM3,01/02/2019,11.69,11.69,11.50,11.50,USIMINAS
USIM3,04/02/2019,11.50,11.71,11.46,11.55,USIMINAS
USIM3,05/02/2019,11.42,11.55,11.34,11.54,USIMINAS
USIM3,06/02/2019,11.54,11.54,11.05,11.23,USIMINAS
USIM3,07/02/2019,11.10,11.29,11.04,11.23,USIMINAS
USIM3,08/02/2019,11.47,11.47,11.06,11.26,USIMINAS
USIM3,11/02/2019,11.41,11.41,11.14,11.27,USIMINAS
USIM3,12/02/2019,11.15,11.33,11.15,11.24,USIMINAS
USIM3,13/02/2019,11.27,11.27,11.16,11.23,USIMINAS
USIM3,14/02/2019,11.31,11.35,11.00,11.27,USIMINAS
USIM3,15/02/2019,11.30,11.30,11.02,11.09,USIMINAS
USIM3,18/02/2019,11.05,11.12,10.97,11.09,USIMINAS
USIM3,19/02/2019,11.09,11.09,10.91,11.01,USIMINAS
USIM3,20/02/2019,11.07,11.12,10.81,10.96,USIMINAS
USIM3,21/02/2019,10.95,11.20,10.87,11.18,USIMINAS
USIM3,22/02/2019,11.20,11.55,11.19,11.46,USIMINAS
USIM3,25/02/2019,11.58,11.75,11.57,11.75,USIMINAS
USIM3,26/02/2019,11.80,11.80,11.53,11.53,USIMINAS
USIM3,27/02/2019,11.52,11.64,11.37,11.40,USIMINAS
USIM3,28/02/2019,11.37,11.43,11.15,11.21,USIMINAS
USIM3,01/03/2019,11.30,11.35,11.10,11.19,USIMINAS
USIM3,06/03/2019,11.42,11.42,11.01,11.17,USIMINAS
USIM3,07/03/2019,11.35,11.35,11.00,11.03,USIMINAS
USIM3,08/03/2019,10.97,11.06,10.90,11.06,USIMINAS
USIM3,11/03/2019,11.11,11.36,11.11,11.28,USIMINAS
USIM3,12/03/2019,11.35,11.46,11.20,11.34,USIMINAS
USIM3,13/03/2019,11.34,11.36,11.20,11.28,USIMINAS
USIM3,14/03/2019,11.30,11.87,11.15,11.55,USIMINAS
USIM3,15/03/2019,11.56,11.81,11.41,11.55,USIMINAS
USIM3,18/03/2019,11.60,11.80,11.58,11.73,USIMINAS
USIM3,19/03/2019,11.73,12.37,11.73,12.21,USIMINAS
USIM3,20/03/2019,12.05,12.27,11.90,12.13,USIMINAS
USIM3,21/03/2019,12.13,12.24,11.72,11.98,USIMINAS
USIM3,22/03/2019,11.75,11.75,11.51,11.51,USIMINAS
USIM3,25/03/2019,11.61,11.75,11.39,11.75,USIMINAS
USIM3,26/03/2019,11.84,11.84,11.61,11.75,USIMINAS
USIM3,27/03/2019,11.51,11.62,11.23,11.23,USIMINAS
USIM3,28/03/2019,11.34,11.51,11.26,11.29,USIMINAS
USIM3,29/03/2019,11.53,11.68,11.33,11.65,USIMINAS
USIM3,01/04/2019,11.87,11.92,11.76,11.89,USIMINAS
USIM3,02/04/2019,11.90,12.09,11.47,11.52,USIMINAS
USIM3,03/04/2019,11.75,11.80,11.31,11.53,USIMINAS
USIM3,04/04/2019,11.53,11.55,11.43,11.55,USIMINAS
USIM3,05/04/2019,11.55,11.57,11.45,11.57,USIMINAS
USIM3,08/04/2019,11.45,11.56,11.30,11.42,USIMINAS
USIM3,09/04/2019,11.42,11.44,11.18,11.30,USIMINAS
USIM3,10/04/2019,11.30,11.35,11.20,11.35,USIMINAS
USIM3,11/04/2019,11.16,11.32,11.04,11.08,USIMINAS
USIM3,12/04/2019,11.01,11.30,11.00,11.30,USIMINAS
USIM3,15/04/2019,11.02,11.35,11.00,11.07,USIMINAS
USIM3,16/04/2019,11.07,11.12,10.87,10.93,USIMINAS
USIM3,17/04/2019,11.11,11.18,10.73,10.80,USIMINAS
USIM3,18/04/2019,10.80,11.04,10.80,11.04,USIMINAS
USIM3,22/04/2019,11.02,11.04,10.44,10.99,USIMINAS
