Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VIVT4,02/01/2019,46.24,47.95,46.14,47.18,TELEF BRASIL
VIVT4,03/01/2019,47.25,47.74,46.87,47.60,TELEF BRASIL
VIVT4,04/01/2019,47.92,47.92,47.16,47.50,TELEF BRASIL
VIVT4,07/01/2019,47.59,48.04,46.96,47.90,TELEF BRASIL
VIVT4,08/01/2019,48.01,48.33,47.33,48.01,TELEF BRASIL
VIVT4,09/01/2019,47.93,49.07,47.77,48.74,TELEF BRASIL
VIVT4,10/01/2019,48.30,48.66,47.14,48.45,TELEF BRASIL
VIVT4,11/01/2019,48.41,48.62,47.80,47.80,TELEF BRASIL
VIVT4,14/01/2019,48.00,48.79,47.87,48.21,TELEF BRASIL
VIVT4,15/01/2019,48.25,48.45,47.50,47.60,TELEF BRASIL
VIVT4,16/01/2019,47.66,47.98,46.76,46.85,TELEF BRASIL
VIVT4,17/01/2019,46.85,47.45,46.01,46.40,TELEF BRASIL
VIVT4,18/01/2019,46.55,47.11,46.26,47.09,TELEF BRASIL
VIVT4,21/01/2019,47.09,47.16,46.26,46.70,TELEF BRASIL
VIVT4,22/01/2019,46.70,46.79,45.67,46.16,TELEF BRASIL
VIVT4,23/01/2019,46.21,47.20,46.19,46.97,TELEF BRASIL
VIVT4,24/01/2019,46.87,47.77,46.26,47.77,TELEF BRASIL
VIVT4,28/01/2019,47.77,48.95,47.47,48.36,TELEF BRASIL
VIVT4,29/01/2019,48.50,48.68,47.37,47.81,TELEF BRASIL
VIVT4,30/01/2019,47.75,48.92,47.56,48.27,TELEF BRASIL
VIVT4,31/01/2019,48.41,49.33,48.28,48.69,TELEF BRASIL
VIVT4,01/02/2019,48.59,49.78,48.58,49.20,TELEF BRASIL
VIVT4,04/02/2019,49.20,49.58,48.33,49.20,TELEF BRASIL
VIVT4,05/02/2019,49.50,49.50,48.46,49.24,TELEF BRASIL
VIVT4,06/02/2019,48.55,49.18,47.62,47.62,TELEF BRASIL
VIVT4,07/02/2019,47.88,48.45,47.24,47.49,TELEF BRASIL
VIVT4,08/02/2019,47.49,48.34,47.14,47.79,TELEF BRASIL
VIVT4,11/02/2019,47.82,48.48,47.65,47.75,TELEF BRASIL
