Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VVAR3,02/01/2019,4.40,4.48,4.35,4.38,VIAVAREJO
VVAR3,03/01/2019,4.39,4.40,4.16,4.31,VIAVAREJO
VVAR3,04/01/2019,4.31,4.37,4.21,4.27,VIAVAREJO
VVAR3,07/01/2019,4.30,4.37,4.19,4.24,VIAVAREJO
VVAR3,08/01/2019,4.27,4.27,4.00,4.04,VIAVAREJO
VVAR3,09/01/2019,4.08,4.09,3.86,4.01,VIAVAREJO
VVAR3,10/01/2019,4.00,4.42,3.95,4.42,VIAVAREJO
VVAR3,11/01/2019,4.50,4.55,4.33,4.51,VIAVAREJO
VVAR3,14/01/2019,4.51,4.88,4.45,4.82,VIAVAREJO
VVAR3,15/01/2019,4.87,5.18,4.86,4.98,VIAVAREJO
VVAR3,16/01/2019,5.05,5.19,5.03,5.05,VIAVAREJO
VVAR3,17/01/2019,5.09,5.10,4.88,4.93,VIAVAREJO
VVAR3,18/01/2019,4.97,5.05,4.79,4.88,VIAVAREJO
VVAR3,21/01/2019,4.88,4.96,4.74,4.80,VIAVAREJO
VVAR3,22/01/2019,4.76,5.04,4.70,4.93,VIAVAREJO
VVAR3,23/01/2019,5.00,5.17,4.98,5.16,VIAVAREJO
VVAR3,24/01/2019,5.20,5.52,5.17,5.49,VIAVAREJO
VVAR3,28/01/2019,5.39,5.72,5.30,5.35,VIAVAREJO
VVAR3,29/01/2019,5.46,5.67,5.42,5.67,VIAVAREJO
VVAR3,30/01/2019,5.78,5.87,5.65,5.77,VIAVAREJO
VVAR3,31/01/2019,5.80,6.03,5.70,6.00,VIAVAREJO
VVAR3,01/02/2019,6.00,6.16,5.93,5.96,VIAVAREJO
VVAR3,04/02/2019,5.98,6.06,5.83,5.99,VIAVAREJO
VVAR3,05/02/2019,5.99,6.04,5.64,5.64,VIAVAREJO
VVAR3,06/02/2019,5.54,5.55,5.24,5.29,VIAVAREJO
VVAR3,07/02/2019,5.33,5.63,5.25,5.45,VIAVAREJO
VVAR3,08/02/2019,5.49,5.68,5.41,5.56,VIAVAREJO
VVAR3,11/02/2019,5.62,5.65,5.42,5.52,VIAVAREJO
VVAR3,12/02/2019,5.61,5.64,5.53,5.56,VIAVAREJO
VVAR3,13/02/2019,5.61,5.62,5.37,5.45,VIAVAREJO
VVAR3,14/02/2019,5.50,5.52,5.16,5.45,VIAVAREJO
VVAR3,15/02/2019,5.43,5.48,5.25,5.28,VIAVAREJO
VVAR3,18/02/2019,5.27,5.47,5.17,5.47,VIAVAREJO
VVAR3,19/02/2019,5.49,5.51,5.26,5.28,VIAVAREJO
VVAR3,20/02/2019,5.10,5.36,5.00,5.21,VIAVAREJO
VVAR3,21/02/2019,5.05,5.06,4.67,4.67,VIAVAREJO
VVAR3,22/02/2019,4.67,4.84,4.36,4.72,VIAVAREJO
VVAR3,25/02/2019,4.74,5.04,4.65,4.97,VIAVAREJO
VVAR3,26/02/2019,4.95,5.01,4.75,4.77,VIAVAREJO
VVAR3,27/02/2019,4.80,4.83,4.64,4.64,VIAVAREJO
VVAR3,28/02/2019,4.68,4.77,4.56,4.58,VIAVAREJO
VVAR3,01/03/2019,4.64,4.68,4.46,4.54,VIAVAREJO
VVAR3,06/03/2019,4.54,4.56,4.39,4.39,VIAVAREJO
VVAR3,07/03/2019,4.38,4.54,4.33,4.41,VIAVAREJO
VVAR3,08/03/2019,4.40,4.68,4.39,4.68,VIAVAREJO
VVAR3,11/03/2019,4.69,4.85,4.68,4.76,VIAVAREJO
VVAR3,12/03/2019,4.76,4.88,4.74,4.84,VIAVAREJO
VVAR3,13/03/2019,4.82,4.84,4.61,4.62,VIAVAREJO
VVAR3,14/03/2019,4.66,4.71,4.57,4.64,VIAVAREJO
VVAR3,15/03/2019,4.67,4.69,4.54,4.54,VIAVAREJO
VVAR3,18/03/2019,4.57,4.59,4.53,4.59,VIAVAREJO
VVAR3,19/03/2019,4.61,4.68,4.59,4.64,VIAVAREJO
VVAR3,20/03/2019,4.66,4.67,4.58,4.58,VIAVAREJO
VVAR3,21/03/2019,4.59,4.61,4.39,4.55,VIAVAREJO
VVAR3,22/03/2019,4.45,4.48,4.32,4.33,VIAVAREJO
VVAR3,25/03/2019,4.34,4.38,4.23,4.33,VIAVAREJO
VVAR3,26/03/2019,4.38,4.43,4.33,4.36,VIAVAREJO
VVAR3,27/03/2019,4.33,4.33,4.03,4.11,VIAVAREJO
VVAR3,28/03/2019,4.15,4.24,4.01,4.18,VIAVAREJO
VVAR3,29/03/2019,4.25,4.29,4.18,4.22,VIAVAREJO
VVAR3,01/04/2019,4.29,4.32,4.23,4.27,VIAVAREJO
VVAR3,02/04/2019,4.29,4.62,4.21,4.55,VIAVAREJO
VVAR3,03/04/2019,4.65,4.68,4.38,4.38,VIAVAREJO
