Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
AAPL34,02/01/2020,120.00,121.34,120.00,121.34,APPLE
AAPL34,03/01/2020,121.20,121.58,114.16,121.58,APPLE
AAPL34,06/01/2020,120.70,122.18,120.70,122.18,APPLE
AAPL34,07/01/2020,122.15,122.80,121.51,122.48,APPLE
AAPL34,08/01/2020,122.40,123.95,121.71,123.51,APPLE
AAPL34,09/01/2020,125.00,127.20,125.00,127.20,APPLE
AAPL34,10/01/2020,127.10,127.74,126.10,127.74,APPLE
AAPL34,13/01/2020,127.10,131.80,127.10,131.80,APPLE
AAPL34,14/01/2020,131.10,131.73,129.42,129.70,APPLE
AAPL34,15/01/2020,130.40,131.60,130.15,130.25,APPLE
AAPL34,16/01/2020,130.00,132.28,130.00,132.28,APPLE
AAPL34,17/01/2020,133.00,133.11,132.28,133.11,APPLE
AAPL34,20/01/2020,135.01,135.01,135.00,135.00,APPLE
AAPL34,21/01/2020,135.06,135.06,133.37,133.86,APPLE
AAPL34,22/01/2020,133.00,133.96,132.85,133.81,APPLE
AAPL34,23/01/2020,133.81,133.81,132.46,133.57,APPLE
AAPL34,24/01/2020,134.31,135.00,133.40,133.99,APPLE
AAPL34,27/01/2020,131.00,131.40,129.02,129.02,APPLE
AAPL34,28/01/2020,130.00,133.86,130.00,133.86,APPLE
AAPL34,29/01/2020,136.40,138.70,136.40,136.57,APPLE
AAPL34,30/01/2020,137.60,137.60,136.37,136.37,APPLE
AAPL34,31/01/2020,136.37,136.37,132.40,133.34,APPLE
AAPL34,03/02/2020,132.00,132.07,130.41,131.53,APPLE
AAPL34,04/02/2020,134.08,135.60,134.08,134.92,APPLE
AAPL34,05/02/2020,136.15,136.80,136.00,136.71,APPLE
AAPL34,06/02/2020,138.20,139.92,136.93,139.92,APPLE
AAPL34,07/02/2020,139.71,139.71,138.00,138.87,APPLE
AAPL34,10/02/2020,137.20,139.42,137.20,139.42,APPLE
AAPL34,11/02/2020,138.80,139.98,138.80,138.92,APPLE
AAPL34,12/02/2020,140.00,142.99,140.00,142.99,APPLE
AAPL34,13/02/2020,140.00,142.22,140.00,142.22,APPLE
AAPL34,14/02/2020,140.00,140.80,139.87,140.14,APPLE
AAPL34,17/02/2020,147.65,147.65,140.51,142.16,APPLE
AAPL34,18/02/2020,142.13,142.13,137.00,139.72,APPLE
AAPL34,19/02/2020,140.00,142.19,140.00,141.68,APPLE
AAPL34,20/02/2020,142.00,142.40,140.00,141.27,APPLE
AAPL34,21/02/2020,140.00,140.00,137.00,138.13,APPLE
AAPL34,26/02/2020,130.00,131.90,128.90,130.77,APPLE
AAPL34,27/02/2020,127.00,127.50,122.88,122.88,APPLE
AAPL34,28/02/2020,120.07,124.06,116.00,119.11,APPLE
AAPL34,02/03/2020,125.50,132.36,125.50,132.36,APPLE
AAPL34,03/03/2020,134.07,136.00,129.33,131.19,APPLE
AAPL34,04/03/2020,133.79,139.14,132.80,139.14,APPLE
AAPL34,05/03/2020,137.90,139.10,134.46,134.46,APPLE
AAPL34,06/03/2020,131.01,135.31,131.00,135.31,APPLE
AAPL34,09/03/2020,125.40,130.50,125.40,126.10,APPLE
AAPL34,10/03/2020,129.90,131.50,127.00,130.34,APPLE
AAPL34,11/03/2020,130.90,131.00,111.14,120.05,APPLE
AAPL34,12/03/2020,119.99,127.00,111.00,111.00,APPLE
AAPL34,13/03/2020,124.00,128.60,120.80,128.60,APPLE
AAPL34,16/03/2020,120.00,128.00,118.00,118.00,APPLE
AAPL34,17/03/2020,119.00,127.10,119.00,124.29,APPLE
AAPL34,18/03/2020,124.00,126.49,122.30,126.49,APPLE
AAPL34,19/03/2020,127.30,129.60,124.68,124.68,APPLE
AAPL34,20/03/2020,124.65,127.00,114.30,114.30,APPLE
AAPL34,23/03/2020,115.20,116.30,108.60,112.25,APPLE
AAPL34,24/03/2020,120.20,123.69,120.20,123.46,APPLE
AAPL34,25/03/2020,127.60,130.00,125.00,125.00,APPLE
AAPL34,26/03/2020,125.00,128.00,124.61,125.80,APPLE
AAPL34,27/03/2020,128.20,129.00,127.60,128.43,APPLE
AAPL34,30/03/2020,130.00,132.20,130.00,131.35,APPLE
AAPL34,31/03/2020,137.99,137.99,132.22,132.62,APPLE
AAPL34,01/04/2020,130.40,130.40,126.66,127.20,APPLE
AAPL34,02/04/2020,126.50,128.80,126.05,127.40,APPLE
AAPL34,03/04/2020,129.69,130.50,127.00,128.00,APPLE
AAPL34,06/04/2020,131.00,138.20,131.00,138.20,APPLE
AAPL34,07/04/2020,139.90,140.50,136.90,137.51,APPLE
AAPL34,08/04/2020,138.10,138.10,135.90,137.12,APPLE
AAPL34,09/04/2020,138.00,138.00,134.40,137.55,APPLE
AAPL34,13/04/2020,138.00,141.80,138.00,141.80,APPLE
AAPL34,14/04/2020,146.20,150.00,146.20,149.86,APPLE
AAPL34,15/04/2020,148.75,150.00,147.20,149.90,APPLE
AAPL34,16/04/2020,151.00,151.60,149.20,150.97,APPLE
AAPL34,17/04/2020,150.97,150.97,146.19,148.26,APPLE
