Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ABEV3,02/01/2020,18.86,19.25,18.78,19.20,AMBEV S/A
ABEV3,03/01/2020,18.95,19.16,18.89,18.93,AMBEV S/A
ABEV3,06/01/2020,18.86,19.17,18.69,19.02,AMBEV S/A
ABEV3,07/01/2020,19.05,19.23,18.86,19.06,AMBEV S/A
ABEV3,08/01/2020,19.09,19.16,18.86,18.97,AMBEV S/A
ABEV3,09/01/2020,19.00,19.08,18.51,18.82,AMBEV S/A
ABEV3,10/01/2020,18.82,19.04,18.77,18.89,AMBEV S/A
ABEV3,13/01/2020,18.93,19.35,18.91,19.21,AMBEV S/A
ABEV3,14/01/2020,19.20,19.58,18.98,19.10,AMBEV S/A
ABEV3,15/01/2020,19.00,19.00,18.76,18.76,AMBEV S/A
ABEV3,16/01/2020,18.90,18.93,18.68,18.70,AMBEV S/A
ABEV3,17/01/2020,18.76,18.86,18.57,18.70,AMBEV S/A
ABEV3,20/01/2020,18.70,18.88,18.58,18.80,AMBEV S/A
ABEV3,21/01/2020,18.68,18.92,18.66,18.74,AMBEV S/A
ABEV3,22/01/2020,18.85,19.08,18.77,19.05,AMBEV S/A
ABEV3,23/01/2020,18.90,19.03,18.59,18.65,AMBEV S/A
ABEV3,24/01/2020,18.82,19.01,18.72,18.99,AMBEV S/A
ABEV3,27/01/2020,18.68,18.79,18.46,18.55,AMBEV S/A
ABEV3,28/01/2020,18.62,18.95,18.50,18.80,AMBEV S/A
ABEV3,29/01/2020,18.86,18.91,18.22,18.30,AMBEV S/A
ABEV3,30/01/2020,18.20,18.34,17.88,18.34,AMBEV S/A
ABEV3,31/01/2020,18.00,18.19,17.78,17.85,AMBEV S/A
ABEV3,03/02/2020,17.92,18.12,17.59,17.59,AMBEV S/A
ABEV3,04/02/2020,17.78,17.94,17.58,17.65,AMBEV S/A
ABEV3,05/02/2020,17.90,18.00,17.21,17.25,AMBEV S/A
ABEV3,06/02/2020,17.48,17.48,16.75,16.87,AMBEV S/A
ABEV3,07/02/2020,16.74,17.17,16.73,16.92,AMBEV S/A
ABEV3,10/02/2020,16.98,17.10,16.58,16.73,AMBEV S/A
ABEV3,11/02/2020,16.85,16.93,16.62,16.80,AMBEV S/A
ABEV3,12/02/2020,16.72,16.87,16.48,16.65,AMBEV S/A
ABEV3,13/02/2020,16.54,16.67,16.27,16.27,AMBEV S/A
ABEV3,14/02/2020,16.27,16.55,16.10,16.41,AMBEV S/A
ABEV3,17/02/2020,16.55,16.82,16.45,16.60,AMBEV S/A
ABEV3,18/02/2020,16.50,16.56,16.08,16.18,AMBEV S/A
ABEV3,19/02/2020,16.15,16.25,16.00,16.13,AMBEV S/A
ABEV3,20/02/2020,16.11,16.37,16.08,16.17,AMBEV S/A
ABEV3,21/02/2020,16.10,16.25,15.87,16.25,AMBEV S/A
ABEV3,26/02/2020,15.95,16.06,15.74,15.82,AMBEV S/A
ABEV3,27/02/2020,14.90,14.97,14.28,14.50,AMBEV S/A
ABEV3,28/02/2020,14.50,14.54,14.01,14.54,AMBEV S/A
ABEV3,02/03/2020,14.59,14.98,14.40,14.72,AMBEV S/A
ABEV3,03/03/2020,14.75,15.12,14.66,14.74,AMBEV S/A
ABEV3,04/03/2020,15.07,15.55,14.77,15.31,AMBEV S/A
ABEV3,05/03/2020,15.04,15.53,14.94,15.23,AMBEV S/A
ABEV3,06/03/2020,14.86,15.50,14.70,15.32,AMBEV S/A
ABEV3,09/03/2020,14.65,14.98,14.47,14.67,AMBEV S/A
ABEV3,10/03/2020,14.60,14.96,13.74,14.42,AMBEV S/A
ABEV3,11/03/2020,14.14,14.33,12.90,13.75,AMBEV S/A
ABEV3,12/03/2020,12.48,12.68,11.39,11.58,AMBEV S/A
ABEV3,13/03/2020,12.60,13.09,11.64,12.70,AMBEV S/A
ABEV3,16/03/2020,11.39,11.77,10.43,11.03,AMBEV S/A
ABEV3,17/03/2020,11.05,11.96,11.05,11.69,AMBEV S/A
ABEV3,18/03/2020,10.73,11.21,10.55,11.19,AMBEV S/A
ABEV3,19/03/2020,10.82,12.16,10.36,11.70,AMBEV S/A
ABEV3,20/03/2020,11.90,12.49,11.76,12.05,AMBEV S/A
ABEV3,23/03/2020,12.28,12.28,11.18,11.51,AMBEV S/A
ABEV3,24/03/2020,12.12,12.59,11.29,11.29,AMBEV S/A
ABEV3,25/03/2020,11.30,12.07,11.06,11.65,AMBEV S/A
ABEV3,26/03/2020,11.90,13.28,11.89,12.80,AMBEV S/A
ABEV3,27/03/2020,12.51,13.22,11.98,12.49,AMBEV S/A
ABEV3,30/03/2020,12.60,13.02,12.37,12.55,AMBEV S/A
ABEV3,31/03/2020,12.40,12.40,11.85,11.92,AMBEV S/A
ABEV3,01/04/2020,11.60,11.92,11.44,11.69,AMBEV S/A
ABEV3,02/04/2020,11.68,12.24,11.47,11.99,AMBEV S/A
ABEV3,03/04/2020,11.94,11.94,11.16,11.39,AMBEV S/A
ABEV3,06/04/2020,12.00,12.57,11.68,11.86,AMBEV S/A
ABEV3,07/04/2020,12.65,12.97,12.30,12.41,AMBEV S/A
ABEV3,08/04/2020,12.50,12.68,12.02,12.31,AMBEV S/A
ABEV3,09/04/2020,12.51,12.72,12.10,12.10,AMBEV S/A
ABEV3,13/04/2020,12.11,12.24,11.90,12.10,AMBEV S/A
ABEV3,14/04/2020,12.29,12.59,12.09,12.09,AMBEV S/A
ABEV3,15/04/2020,11.92,12.06,11.72,11.91,AMBEV S/A
ABEV3,16/04/2020,11.96,12.02,11.40,11.45,AMBEV S/A
ABEV3,17/04/2020,11.70,11.80,11.49,11.60,AMBEV S/A
ABEV3,20/04/2020,11.40,11.85,11.29,11.61,AMBEV S/A
ABEV3,22/04/2020,11.65,11.79,11.51,11.62,AMBEV S/A
ABEV3,23/04/2020,11.73,11.84,11.44,11.55,AMBEV S/A
ABEV3,24/04/2020,11.45,11.55,10.68,11.11,AMBEV S/A
ABEV3,27/04/2020,11.35,11.84,11.26,11.61,AMBEV S/A
ABEV3,28/04/2020,11.94,12.18,11.58,11.70,AMBEV S/A
ABEV3,29/04/2020,11.82,11.91,11.65,11.67,AMBEV S/A
ABEV3,30/04/2020,11.53,11.68,11.25,11.34,AMBEV S/A
ABEV3,04/05/2020,11.14,11.84,11.10,11.76,AMBEV S/A
ABEV3,05/05/2020,11.90,12.15,11.84,11.94,AMBEV S/A
ABEV3,06/05/2020,11.97,12.06,11.60,11.83,AMBEV S/A
ABEV3,07/05/2020,11.65,12.30,11.34,11.54,AMBEV S/A
ABEV3,08/05/2020,11.82,12.16,11.77,12.04,AMBEV S/A
ABEV3,11/05/2020,12.04,12.35,11.92,11.94,AMBEV S/A
ABEV3,12/05/2020,11.90,12.30,11.71,11.72,AMBEV S/A
ABEV3,13/05/2020,11.84,11.89,11.19,11.26,AMBEV S/A
ABEV3,14/05/2020,11.30,11.82,11.28,11.74,AMBEV S/A
ABEV3,15/05/2020,11.69,11.88,11.52,11.64,AMBEV S/A
ABEV3,18/05/2020,11.99,12.41,11.86,12.10,AMBEV S/A
ABEV3,19/05/2020,12.19,12.35,11.94,11.94,AMBEV S/A
ABEV3,20/05/2020,11.97,12.25,11.86,12.14,AMBEV S/A
ABEV3,21/05/2020,12.14,12.35,11.74,11.88,AMBEV S/A
ABEV3,22/05/2020,11.90,11.99,11.67,11.74,AMBEV S/A
ABEV3,25/05/2020,12.01,12.39,12.01,12.27,AMBEV S/A
ABEV3,26/05/2020,12.35,12.70,12.30,12.53,AMBEV S/A
ABEV3,27/05/2020,12.68,13.46,12.64,13.38,AMBEV S/A
ABEV3,28/05/2020,13.43,13.52,12.73,12.82,AMBEV S/A
ABEV3,29/05/2020,12.81,12.83,12.21,12.48,AMBEV S/A
ABEV3,01/06/2020,12.32,12.80,12.26,12.60,AMBEV S/A
ABEV3,02/06/2020,12.76,13.30,12.64,12.97,AMBEV S/A
ABEV3,03/06/2020,13.25,13.63,13.23,13.25,AMBEV S/A
ABEV3,04/06/2020,13.30,13.48,13.18,13.38,AMBEV S/A
ABEV3,05/06/2020,13.81,14.33,13.62,14.05,AMBEV S/A
ABEV3,08/06/2020,14.34,14.83,14.23,14.60,AMBEV S/A
ABEV3,09/06/2020,14.58,14.58,14.11,14.32,AMBEV S/A
ABEV3,10/06/2020,14.50,14.52,13.81,13.96,AMBEV S/A
ABEV3,12/06/2020,13.52,13.72,13.21,13.57,AMBEV S/A
ABEV3,15/06/2020,13.19,13.43,13.07,13.43,AMBEV S/A
ABEV3,16/06/2020,13.71,13.74,13.12,13.26,AMBEV S/A
ABEV3,17/06/2020,13.44,14.00,13.41,13.77,AMBEV S/A
ABEV3,18/06/2020,13.72,13.97,13.52,13.68,AMBEV S/A
ABEV3,19/06/2020,13.90,14.00,13.70,13.84,AMBEV S/A
ABEV3,22/06/2020,13.70,14.18,13.68,14.11,AMBEV S/A
ABEV3,23/06/2020,14.26,14.32,13.80,13.93,AMBEV S/A
ABEV3,24/06/2020,13.84,13.90,13.43,13.68,AMBEV S/A
ABEV3,25/06/2020,13.80,14.27,13.76,14.18,AMBEV S/A
ABEV3,26/06/2020,14.11,14.29,13.83,13.95,AMBEV S/A
