Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ADHM3,02/01/2020,2.55,2.55,2.35,2.48,ADVANCED-DH
ADHM3,03/01/2020,2.48,2.48,2.27,2.35,ADVANCED-DH
ADHM3,06/01/2020,2.33,2.57,2.33,2.42,ADVANCED-DH
ADHM3,07/01/2020,2.42,2.47,2.33,2.37,ADVANCED-DH
ADHM3,08/01/2020,2.41,2.53,2.35,2.36,ADVANCED-DH
ADHM3,09/01/2020,2.41,2.41,2.15,2.21,ADVANCED-DH
ADHM3,10/01/2020,2.24,3.45,2.24,3.30,ADVANCED-DH
ADHM3,13/01/2020,3.03,3.03,2.70,2.75,ADVANCED-DH
ADHM3,14/01/2020,2.77,3.00,2.62,2.80,ADVANCED-DH
ADHM3,15/01/2020,2.80,2.81,2.71,2.71,ADVANCED-DH
ADHM3,16/01/2020,2.71,2.75,2.63,2.69,ADVANCED-DH
ADHM3,17/01/2020,2.63,2.75,2.61,2.67,ADVANCED-DH
ADHM3,20/01/2020,2.83,2.97,2.81,2.86,ADVANCED-DH
ADHM3,21/01/2020,2.95,3.70,2.72,2.90,ADVANCED-DH
ADHM3,22/01/2020,2.95,3.45,2.95,3.05,ADVANCED-DH
ADHM3,23/01/2020,3.15,3.20,2.99,3.02,ADVANCED-DH
ADHM3,24/01/2020,3.04,3.12,2.76,2.84,ADVANCED-DH
ADHM3,27/01/2020,2.78,2.81,2.70,2.78,ADVANCED-DH
ADHM3,28/01/2020,2.80,3.51,2.80,2.91,ADVANCED-DH
ADHM3,29/01/2020,3.06,3.29,2.94,3.00,ADVANCED-DH
ADHM3,30/01/2020,3.00,3.05,2.80,2.88,ADVANCED-DH
ADHM3,31/01/2020,2.89,3.16,2.89,2.89,ADVANCED-DH
ADHM3,03/02/2020,2.88,2.95,2.80,2.87,ADVANCED-DH
ADHM3,04/02/2020,2.90,3.04,2.82,2.88,ADVANCED-DH
ADHM3,05/02/2020,2.90,2.95,2.88,2.88,ADVANCED-DH
ADHM3,06/02/2020,2.70,3.20,2.62,3.00,ADVANCED-DH
ADHM3,07/02/2020,3.00,3.12,2.78,2.83,ADVANCED-DH
ADHM3,10/02/2020,2.84,2.84,2.68,2.73,ADVANCED-DH
ADHM3,11/02/2020,2.73,2.80,2.70,2.72,ADVANCED-DH
ADHM3,12/02/2020,2.71,2.77,2.65,2.71,ADVANCED-DH
ADHM3,13/02/2020,2.73,2.73,2.68,2.70,ADVANCED-DH
ADHM3,14/02/2020,2.72,2.80,2.66,2.67,ADVANCED-DH
ADHM3,17/02/2020,2.67,2.70,2.58,2.64,ADVANCED-DH
ADHM3,18/02/2020,2.61,2.61,2.56,2.60,ADVANCED-DH
ADHM3,19/02/2020,2.53,2.64,2.52,2.56,ADVANCED-DH
ADHM3,20/02/2020,2.56,2.60,2.42,2.57,ADVANCED-DH
ADHM3,21/02/2020,2.46,2.50,2.39,2.40,ADVANCED-DH
ADHM3,26/02/2020,2.37,2.37,2.08,2.20,ADVANCED-DH
ADHM3,27/02/2020,2.20,2.39,2.16,2.35,ADVANCED-DH
ADHM3,28/02/2020,2.36,2.36,2.16,2.23,ADVANCED-DH
ADHM3,02/03/2020,2.28,2.38,2.22,2.26,ADVANCED-DH
ADHM3,03/03/2020,2.37,2.37,2.16,2.16,ADVANCED-DH
ADHM3,04/03/2020,2.20,2.21,2.17,2.18,ADVANCED-DH
ADHM3,05/03/2020,2.15,2.26,2.09,2.09,ADVANCED-DH
ADHM3,06/03/2020,2.11,2.11,1.95,2.04,ADVANCED-DH
ADHM3,09/03/2020,1.94,1.94,1.80,1.80,ADVANCED-DH
ADHM3,10/03/2020,2.00,2.00,1.81,1.87,ADVANCED-DH
ADHM3,11/03/2020,2.00,2.00,1.75,1.80,ADVANCED-DH
ADHM3,12/03/2020,1.75,1.75,1.52,1.60,ADVANCED-DH
ADHM3,13/03/2020,1.60,1.84,1.60,1.77,ADVANCED-DH
ADHM3,16/03/2020,1.72,1.72,1.50,1.50,ADVANCED-DH
ADHM3,17/03/2020,1.52,1.60,1.50,1.50,ADVANCED-DH
ADHM3,18/03/2020,1.45,1.45,1.15,1.33,ADVANCED-DH
ADHM3,19/03/2020,1.33,1.33,1.02,1.13,ADVANCED-DH
ADHM3,20/03/2020,1.24,1.25,1.18,1.18,ADVANCED-DH
ADHM3,23/03/2020,1.21,1.21,1.10,1.10,ADVANCED-DH
ADHM3,24/03/2020,1.20,1.28,1.11,1.19,ADVANCED-DH
ADHM3,25/03/2020,1.16,1.30,1.16,1.28,ADVANCED-DH
ADHM3,26/03/2020,1.24,1.33,1.23,1.26,ADVANCED-DH
ADHM3,27/03/2020,1.25,1.29,1.25,1.27,ADVANCED-DH
ADHM3,30/03/2020,1.27,1.35,1.25,1.31,ADVANCED-DH
ADHM3,31/03/2020,1.35,1.45,1.35,1.45,ADVANCED-DH
ADHM3,01/04/2020,1.45,1.45,1.30,1.39,ADVANCED-DH
ADHM3,02/04/2020,1.42,1.45,1.33,1.33,ADVANCED-DH
ADHM3,03/04/2020,1.30,1.39,1.15,1.17,ADVANCED-DH
ADHM3,06/04/2020,1.38,1.60,1.28,1.60,ADVANCED-DH
ADHM3,07/04/2020,1.62,2.18,1.62,2.17,ADVANCED-DH
ADHM3,08/04/2020,2.45,3.30,2.40,3.29,ADVANCED-DH
ADHM3,09/04/2020,3.80,4.97,3.05,3.35,ADVANCED-DH
ADHM3,13/04/2020,3.50,3.60,2.86,2.91,ADVANCED-DH
ADHM3,14/04/2020,2.91,2.91,2.55,2.66,ADVANCED-DH
ADHM3,15/04/2020,2.60,2.60,2.25,2.40,ADVANCED-DH
ADHM3,16/04/2020,2.50,3.19,2.50,3.10,ADVANCED-DH
ADHM3,17/04/2020,3.07,3.07,2.75,2.78,ADVANCED-DH
ADHM3,20/04/2020,2.75,2.85,2.71,2.74,ADVANCED-DH
ADHM3,22/04/2020,2.83,2.88,2.66,2.71,ADVANCED-DH
ADHM3,23/04/2020,2.71,2.79,2.65,2.65,ADVANCED-DH
ADHM3,24/04/2020,2.69,2.69,2.35,2.50,ADVANCED-DH
ADHM3,27/04/2020,2.41,2.58,2.36,2.49,ADVANCED-DH
ADHM3,28/04/2020,2.49,2.70,2.48,2.49,ADVANCED-DH
ADHM3,29/04/2020,2.51,2.68,2.51,2.58,ADVANCED-DH
ADHM3,30/04/2020,2.60,2.60,2.41,2.48,ADVANCED-DH
ADHM3,04/05/2020,2.40,2.53,2.38,2.38,ADVANCED-DH
ADHM3,05/05/2020,2.41,2.48,2.38,2.38,ADVANCED-DH
ADHM3,06/05/2020,2.39,2.49,2.38,2.38,ADVANCED-DH
ADHM3,07/05/2020,2.40,2.42,2.18,2.34,ADVANCED-DH
ADHM3,08/05/2020,2.27,2.46,2.22,2.34,ADVANCED-DH
ADHM3,11/05/2020,2.27,2.30,2.18,2.21,ADVANCED-DH
ADHM3,12/05/2020,2.21,2.27,2.15,2.16,ADVANCED-DH
ADHM3,13/05/2020,2.18,2.20,2.05,2.05,ADVANCED-DH
ADHM3,14/05/2020,2.05,2.10,1.95,2.03,ADVANCED-DH
ADHM3,15/05/2020,2.05,2.10,2.00,2.03,ADVANCED-DH
ADHM3,18/05/2020,2.03,2.22,2.03,2.11,ADVANCED-DH
ADHM3,19/05/2020,2.06,2.74,2.05,2.43,ADVANCED-DH
ADHM3,20/05/2020,2.44,2.67,2.35,2.35,ADVANCED-DH
ADHM3,21/05/2020,2.41,2.41,2.24,2.24,ADVANCED-DH
ADHM3,22/05/2020,2.28,2.31,2.23,2.23,ADVANCED-DH
ADHM3,25/05/2020,2.30,2.34,2.26,2.28,ADVANCED-DH
ADHM3,26/05/2020,2.33,2.35,2.27,2.30,ADVANCED-DH
ADHM3,27/05/2020,2.32,2.33,2.28,2.33,ADVANCED-DH
ADHM3,28/05/2020,2.27,2.69,2.27,2.42,ADVANCED-DH
ADHM3,29/05/2020,2.54,2.54,2.33,2.34,ADVANCED-DH
ADHM3,01/06/2020,2.35,2.44,2.33,2.42,ADVANCED-DH
ADHM3,02/06/2020,2.42,2.84,2.42,2.65,ADVANCED-DH
ADHM3,03/06/2020,2.76,2.95,2.53,2.62,ADVANCED-DH
ADHM3,04/06/2020,2.64,2.64,2.53,2.55,ADVANCED-DH
ADHM3,05/06/2020,2.61,2.64,2.54,2.58,ADVANCED-DH
ADHM3,08/06/2020,2.50,2.59,2.49,2.54,ADVANCED-DH
ADHM3,09/06/2020,2.54,2.68,2.54,2.56,ADVANCED-DH
ADHM3,10/06/2020,2.59,2.82,2.55,2.58,ADVANCED-DH
