Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ALPA4,02/01/2020,32.98,33.44,32.47,32.58,ALPARGATAS
ALPA4,03/01/2020,32.54,32.97,32.20,32.58,ALPARGATAS
ALPA4,06/01/2020,33.00,33.00,32.06,32.07,ALPARGATAS
ALPA4,07/01/2020,32.07,32.80,31.33,32.80,ALPARGATAS
ALPA4,08/01/2020,32.61,33.16,32.25,33.16,ALPARGATAS
ALPA4,09/01/2020,33.30,34.30,33.16,33.96,ALPARGATAS
ALPA4,10/01/2020,34.13,34.45,33.65,33.71,ALPARGATAS
ALPA4,13/01/2020,33.77,34.19,33.46,33.89,ALPARGATAS
ALPA4,14/01/2020,34.00,34.53,33.75,34.26,ALPARGATAS
ALPA4,15/01/2020,34.37,34.48,33.92,34.48,ALPARGATAS
ALPA4,16/01/2020,34.58,35.14,34.09,34.52,ALPARGATAS
ALPA4,17/01/2020,34.87,34.87,34.18,34.40,ALPARGATAS
ALPA4,20/01/2020,34.51,34.74,34.34,34.50,ALPARGATAS
ALPA4,21/01/2020,34.57,35.33,34.28,35.05,ALPARGATAS
ALPA4,22/01/2020,35.31,35.61,34.52,34.60,ALPARGATAS
ALPA4,23/01/2020,34.62,34.74,33.63,34.67,ALPARGATAS
ALPA4,24/01/2020,34.67,34.90,34.12,34.73,ALPARGATAS
ALPA4,27/01/2020,34.15,34.98,32.18,34.60,ALPARGATAS
ALPA4,28/01/2020,34.51,37.05,34.24,37.05,ALPARGATAS
ALPA4,29/01/2020,36.80,37.97,36.51,37.97,ALPARGATAS
ALPA4,30/01/2020,37.60,37.61,36.21,36.85,ALPARGATAS
ALPA4,31/01/2020,36.78,36.82,35.69,35.84,ALPARGATAS
ALPA4,03/02/2020,37.50,37.59,36.11,36.16,ALPARGATAS
ALPA4,04/02/2020,37.02,37.28,35.32,35.32,ALPARGATAS
ALPA4,05/02/2020,35.94,36.25,35.45,35.60,ALPARGATAS
ALPA4,06/02/2020,35.90,35.99,34.73,34.91,ALPARGATAS
ALPA4,07/02/2020,34.67,35.09,34.00,34.53,ALPARGATAS
ALPA4,10/02/2020,34.86,35.72,32.93,33.00,ALPARGATAS
ALPA4,11/02/2020,33.00,34.69,33.00,34.27,ALPARGATAS
ALPA4,12/02/2020,34.68,35.35,33.90,35.15,ALPARGATAS
