Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ALSO3,02/01/2020,49.49,50.76,49.49,50.01,ALIANSCSONAE
ALSO3,03/01/2020,49.69,51.42,49.36,51.42,ALIANSCSONAE
ALSO3,06/01/2020,51.25,51.25,49.96,51.07,ALIANSCSONAE
ALSO3,07/01/2020,51.08,51.08,50.15,50.47,ALIANSCSONAE
ALSO3,08/01/2020,51.02,52.20,50.12,52.00,ALIANSCSONAE
ALSO3,09/01/2020,51.94,52.60,51.31,52.38,ALIANSCSONAE
ALSO3,10/01/2020,52.52,53.20,51.90,52.49,ALIANSCSONAE
ALSO3,13/01/2020,53.02,54.74,52.73,53.60,ALIANSCSONAE
ALSO3,14/01/2020,53.45,54.45,53.00,54.45,ALIANSCSONAE
ALSO3,15/01/2020,54.75,54.75,53.66,54.60,ALIANSCSONAE
ALSO3,16/01/2020,54.60,54.97,54.09,54.86,ALIANSCSONAE
ALSO3,17/01/2020,54.99,55.03,53.90,54.90,ALIANSCSONAE
ALSO3,20/01/2020,54.90,54.90,54.04,54.45,ALIANSCSONAE
ALSO3,21/01/2020,54.45,54.58,52.54,53.20,ALIANSCSONAE
ALSO3,22/01/2020,53.72,53.85,52.52,53.26,ALIANSCSONAE
ALSO3,23/01/2020,53.00,53.74,52.67,53.74,ALIANSCSONAE
ALSO3,24/01/2020,53.92,54.12,52.74,53.44,ALIANSCSONAE
ALSO3,27/01/2020,52.98,52.98,51.83,52.32,ALIANSCSONAE
ALSO3,28/01/2020,53.18,53.73,52.02,53.70,ALIANSCSONAE
ALSO3,29/01/2020,53.71,54.10,52.59,53.50,ALIANSCSONAE
ALSO3,30/01/2020,52.95,52.96,51.14,52.96,ALIANSCSONAE
ALSO3,31/01/2020,52.83,52.90,51.98,52.59,ALIANSCSONAE
ALSO3,03/02/2020,52.00,53.67,51.99,53.45,ALIANSCSONAE
ALSO3,04/02/2020,53.99,54.06,53.13,53.50,ALIANSCSONAE
ALSO3,05/02/2020,54.22,54.35,53.09,53.41,ALIANSCSONAE
ALSO3,06/02/2020,53.65,53.65,52.15,52.38,ALIANSCSONAE
ALSO3,07/02/2020,52.36,53.14,51.52,52.31,ALIANSCSONAE
ALSO3,10/02/2020,52.31,52.35,49.36,49.88,ALIANSCSONAE
ALSO3,11/02/2020,50.00,51.42,49.93,51.25,ALIANSCSONAE
