Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ALUP3,02/01/2020,11.59,11.66,10.70,11.66,ALUPAR
ALUP3,03/01/2020,11.25,11.64,11.18,11.40,ALUPAR
ALUP3,06/01/2020,11.50,11.50,11.19,11.49,ALUPAR
ALUP3,07/01/2020,11.34,11.65,11.10,11.65,ALUPAR
ALUP3,08/01/2020,11.40,11.70,11.05,11.65,ALUPAR
ALUP3,09/01/2020,11.65,11.65,11.42,11.62,ALUPAR
ALUP3,10/01/2020,11.62,11.86,11.22,11.22,ALUPAR
ALUP3,13/01/2020,11.31,11.75,11.31,11.35,ALUPAR
ALUP3,14/01/2020,11.50,11.57,11.31,11.43,ALUPAR
ALUP3,15/01/2020,11.40,11.57,11.31,11.51,ALUPAR
ALUP3,16/01/2020,11.35,11.57,11.25,11.55,ALUPAR
ALUP3,17/01/2020,11.40,11.63,11.30,11.63,ALUPAR
ALUP3,20/01/2020,11.63,11.78,11.35,11.74,ALUPAR
ALUP3,21/01/2020,11.75,11.79,11.50,11.78,ALUPAR
ALUP3,22/01/2020,11.71,12.00,11.03,11.03,ALUPAR
ALUP3,23/01/2020,11.19,11.59,11.11,11.54,ALUPAR
ALUP3,24/01/2020,11.53,11.65,11.34,11.65,ALUPAR
ALUP3,27/01/2020,11.79,11.79,11.20,11.60,ALUPAR
ALUP3,28/01/2020,11.41,11.77,11.23,11.77,ALUPAR
ALUP3,29/01/2020,11.56,11.77,11.51,11.76,ALUPAR
ALUP3,30/01/2020,11.50,11.72,11.38,11.60,ALUPAR
ALUP3,31/01/2020,11.60,11.71,11.44,11.71,ALUPAR
ALUP3,03/02/2020,11.60,11.75,11.54,11.60,ALUPAR
ALUP3,04/02/2020,11.60,11.92,11.59,11.70,ALUPAR
ALUP3,05/02/2020,11.75,11.75,11.43,11.67,ALUPAR
ALUP3,06/02/2020,11.70,11.87,11.50,11.66,ALUPAR
ALUP3,07/02/2020,11.48,11.65,11.30,11.64,ALUPAR
ALUP3,10/02/2020,11.25,11.60,11.25,11.60,ALUPAR
ALUP3,11/02/2020,11.48,11.72,11.46,11.72,ALUPAR
ALUP3,12/02/2020,11.61,11.92,11.50,11.92,ALUPAR
ALUP3,13/02/2020,11.87,11.90,11.68,11.90,ALUPAR
ALUP3,14/02/2020,11.95,12.03,11.72,11.90,ALUPAR
