Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
APER3,02/01/2020,29.05,30.80,29.05,30.70,ALPER S.A.
APER3,03/01/2020,30.80,31.79,30.05,30.99,ALPER S.A.
APER3,06/01/2020,30.96,31.85,30.34,30.34,ALPER S.A.
APER3,07/01/2020,30.48,31.47,30.48,31.44,ALPER S.A.
APER3,08/01/2020,31.44,31.63,30.04,30.89,ALPER S.A.
APER3,09/01/2020,30.90,30.90,29.91,30.50,ALPER S.A.
APER3,10/01/2020,30.51,31.57,30.20,30.32,ALPER S.A.
APER3,13/01/2020,30.43,30.84,30.10,30.33,ALPER S.A.
APER3,14/01/2020,30.46,30.99,29.66,30.77,ALPER S.A.
APER3,15/01/2020,30.79,30.79,29.72,30.15,ALPER S.A.
APER3,16/01/2020,30.16,31.25,29.77,30.05,ALPER S.A.
APER3,17/01/2020,30.15,30.90,30.15,30.50,ALPER S.A.
APER3,20/01/2020,30.51,31.09,30.35,30.79,ALPER S.A.
APER3,21/01/2020,30.99,30.99,30.22,30.75,ALPER S.A.
APER3,22/01/2020,30.70,31.00,29.10,29.45,ALPER S.A.
APER3,23/01/2020,29.56,30.17,28.99,29.80,ALPER S.A.
APER3,24/01/2020,29.81,30.22,29.53,30.15,ALPER S.A.
APER3,27/01/2020,29.99,29.99,29.12,29.12,ALPER S.A.
APER3,28/01/2020,29.51,29.51,28.55,29.24,ALPER S.A.
APER3,29/01/2020,28.81,29.78,28.81,29.48,ALPER S.A.
APER3,30/01/2020,29.09,29.40,27.95,28.10,ALPER S.A.
APER3,31/01/2020,28.40,28.50,27.64,28.50,ALPER S.A.
APER3,03/02/2020,28.51,29.99,28.03,29.94,ALPER S.A.
APER3,04/02/2020,30.29,30.29,29.31,29.31,ALPER S.A.
APER3,05/02/2020,29.64,29.69,29.10,29.50,ALPER S.A.
APER3,06/02/2020,30.14,30.14,28.57,28.85,ALPER S.A.
APER3,07/02/2020,28.22,29.15,28.22,28.33,ALPER S.A.
APER3,10/02/2020,28.38,28.54,26.53,27.10,ALPER S.A.
APER3,11/02/2020,27.20,27.88,26.91,27.09,ALPER S.A.
APER3,12/02/2020,27.39,27.89,27.24,27.82,ALPER S.A.
APER3,13/02/2020,27.82,28.25,27.15,28.00,ALPER S.A.
APER3,14/02/2020,28.00,28.39,27.56,28.39,ALPER S.A.
APER3,17/02/2020,28.39,29.27,28.24,29.27,ALPER S.A.
APER3,18/02/2020,29.11,29.18,28.60,28.89,ALPER S.A.
APER3,19/02/2020,29.19,29.60,28.50,28.90,ALPER S.A.
