Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ARZZ3,02/01/2020,64.00,64.20,63.13,63.91,AREZZO CO
ARZZ3,03/01/2020,63.34,64.50,62.01,63.00,AREZZO CO
ARZZ3,06/01/2020,62.50,63.27,62.03,62.61,AREZZO CO
ARZZ3,07/01/2020,63.40,63.79,62.35,62.90,AREZZO CO
ARZZ3,08/01/2020,62.34,62.98,62.00,62.00,AREZZO CO
ARZZ3,09/01/2020,62.47,62.69,60.72,61.30,AREZZO CO
ARZZ3,10/01/2020,61.59,62.35,60.25,60.86,AREZZO CO
ARZZ3,13/01/2020,61.70,63.24,61.70,62.80,AREZZO CO
ARZZ3,14/01/2020,63.10,64.15,62.60,63.00,AREZZO CO
ARZZ3,15/01/2020,63.01,63.28,61.58,62.68,AREZZO CO
ARZZ3,16/01/2020,62.76,63.59,62.12,62.50,AREZZO CO
ARZZ3,17/01/2020,62.57,63.10,62.04,62.82,AREZZO CO
ARZZ3,20/01/2020,63.46,63.56,62.38,63.19,AREZZO CO
ARZZ3,21/01/2020,63.40,66.06,63.40,66.03,AREZZO CO
ARZZ3,22/01/2020,66.13,66.59,64.12,64.71,AREZZO CO
ARZZ3,23/01/2020,64.82,65.00,60.90,63.70,AREZZO CO
ARZZ3,24/01/2020,63.97,64.68,62.52,63.79,AREZZO CO
ARZZ3,27/01/2020,62.76,63.32,61.50,62.69,AREZZO CO
ARZZ3,28/01/2020,62.69,63.78,62.24,63.64,AREZZO CO
ARZZ3,29/01/2020,63.64,64.69,63.34,64.24,AREZZO CO
ARZZ3,30/01/2020,63.80,63.80,60.91,62.84,AREZZO CO
ARZZ3,31/01/2020,62.70,62.70,59.65,60.30,AREZZO CO
ARZZ3,03/02/2020,60.32,62.21,60.32,61.39,AREZZO CO
ARZZ3,04/02/2020,61.81,62.60,61.51,62.00,AREZZO CO
ARZZ3,05/02/2020,62.40,62.74,61.57,62.74,AREZZO CO
ARZZ3,06/02/2020,62.79,62.79,60.78,61.00,AREZZO CO
ARZZ3,07/02/2020,60.76,61.24,58.95,60.68,AREZZO CO
ARZZ3,10/02/2020,60.67,60.86,57.71,58.48,AREZZO CO
ARZZ3,11/02/2020,58.89,59.78,58.08,59.69,AREZZO CO
ARZZ3,12/02/2020,59.79,61.80,59.18,61.80,AREZZO CO
ARZZ3,13/02/2020,60.99,63.76,60.36,63.63,AREZZO CO
ARZZ3,14/02/2020,63.50,63.78,61.72,62.50,AREZZO CO
ARZZ3,17/02/2020,62.88,63.99,62.15,63.82,AREZZO CO
ARZZ3,18/02/2020,63.58,65.01,62.65,64.88,AREZZO CO
ARZZ3,19/02/2020,64.86,66.00,63.73,65.68,AREZZO CO
ARZZ3,20/02/2020,65.68,65.81,64.15,65.56,AREZZO CO
ARZZ3,21/02/2020,65.14,65.14,64.00,64.21,AREZZO CO
ARZZ3,26/02/2020,61.50,62.45,60.50,61.60,AREZZO CO
ARZZ3,27/02/2020,60.85,61.08,58.12,59.88,AREZZO CO
ARZZ3,28/02/2020,59.40,60.50,58.00,60.10,AREZZO CO
ARZZ3,02/03/2020,58.50,61.27,58.50,59.85,AREZZO CO
ARZZ3,03/03/2020,59.55,60.69,57.77,58.56,AREZZO CO
ARZZ3,04/03/2020,59.00,59.86,57.09,58.00,AREZZO CO
ARZZ3,05/03/2020,58.00,60.00,55.96,56.80,AREZZO CO
ARZZ3,06/03/2020,55.08,57.31,54.28,56.50,AREZZO CO
ARZZ3,09/03/2020,54.07,54.36,51.30,51.57,AREZZO CO
ARZZ3,10/03/2020,55.01,56.70,52.98,55.71,AREZZO CO
ARZZ3,11/03/2020,54.87,55.66,49.51,52.79,AREZZO CO
ARZZ3,12/03/2020,48.05,49.60,43.62,45.14,AREZZO CO
ARZZ3,13/03/2020,49.61,49.81,44.77,48.87,AREZZO CO
ARZZ3,16/03/2020,43.42,45.70,41.51,42.00,AREZZO CO
ARZZ3,17/03/2020,42.74,44.29,40.14,42.00,AREZZO CO
ARZZ3,18/03/2020,39.56,40.07,33.53,35.00,AREZZO CO
ARZZ3,19/03/2020,33.84,37.66,31.65,37.50,AREZZO CO
ARZZ3,20/03/2020,39.15,41.24,35.24,35.24,AREZZO CO
ARZZ3,23/03/2020,35.20,35.79,32.80,33.54,AREZZO CO
ARZZ3,24/03/2020,35.41,37.16,34.62,35.20,AREZZO CO
ARZZ3,25/03/2020,35.94,42.49,35.01,41.05,AREZZO CO
ARZZ3,26/03/2020,41.00,43.00,40.08,42.15,AREZZO CO
ARZZ3,27/03/2020,40.79,40.79,39.23,39.63,AREZZO CO
ARZZ3,30/03/2020,39.93,40.80,36.90,37.45,AREZZO CO
ARZZ3,31/03/2020,38.28,38.71,35.93,36.87,AREZZO CO
ARZZ3,01/04/2020,35.73,36.31,34.71,36.10,AREZZO CO
ARZZ3,02/04/2020,35.83,36.89,34.91,36.09,AREZZO CO
ARZZ3,03/04/2020,36.97,36.97,33.03,33.03,AREZZO CO
ARZZ3,06/04/2020,34.70,39.80,34.35,37.50,AREZZO CO
ARZZ3,07/04/2020,39.12,40.94,38.10,38.89,AREZZO CO
ARZZ3,08/04/2020,39.09,39.57,37.56,39.57,AREZZO CO
ARZZ3,09/04/2020,39.87,40.02,37.27,37.60,AREZZO CO
ARZZ3,13/04/2020,37.61,37.80,35.98,36.55,AREZZO CO
ARZZ3,14/04/2020,37.00,39.60,37.00,37.40,AREZZO CO
ARZZ3,15/04/2020,36.82,39.81,36.50,38.38,AREZZO CO
ARZZ3,16/04/2020,38.51,40.10,37.70,40.10,AREZZO CO
ARZZ3,17/04/2020,41.00,43.34,40.35,42.30,AREZZO CO
ARZZ3,20/04/2020,42.00,46.45,41.11,44.93,AREZZO CO
ARZZ3,22/04/2020,45.10,47.79,45.08,47.79,AREZZO CO
ARZZ3,23/04/2020,47.94,49.34,43.47,44.47,AREZZO CO
ARZZ3,24/04/2020,43.90,44.45,39.98,42.99,AREZZO CO
ARZZ3,27/04/2020,44.02,44.37,42.30,42.60,AREZZO CO
ARZZ3,28/04/2020,43.40,46.36,43.03,45.59,AREZZO CO
ARZZ3,29/04/2020,45.65,46.88,45.09,46.08,AREZZO CO
ARZZ3,30/04/2020,45.45,45.94,42.50,42.50,AREZZO CO
ARZZ3,04/05/2020,41.31,41.72,40.03,40.90,AREZZO CO
ARZZ3,05/05/2020,41.95,42.40,41.30,41.60,AREZZO CO
ARZZ3,06/05/2020,41.87,43.68,41.20,42.83,AREZZO CO
ARZZ3,07/05/2020,43.49,43.76,40.03,41.66,AREZZO CO
ARZZ3,08/05/2020,41.84,42.10,39.82,41.70,AREZZO CO
ARZZ3,11/05/2020,41.71,44.55,40.64,42.30,AREZZO CO
ARZZ3,12/05/2020,42.35,43.25,39.70,40.45,AREZZO CO
ARZZ3,13/05/2020,40.27,40.98,38.44,39.39,AREZZO CO
ARZZ3,14/05/2020,38.80,39.39,37.36,38.33,AREZZO CO
ARZZ3,15/05/2020,38.33,39.62,37.60,38.75,AREZZO CO
ARZZ3,18/05/2020,39.38,40.32,39.20,39.65,AREZZO CO
ARZZ3,19/05/2020,39.19,42.47,38.53,41.69,AREZZO CO
ARZZ3,20/05/2020,41.69,42.90,40.50,40.50,AREZZO CO
ARZZ3,21/05/2020,40.29,44.27,40.29,43.62,AREZZO CO
ARZZ3,22/05/2020,43.45,43.45,41.11,41.71,AREZZO CO
ARZZ3,25/05/2020,42.28,45.06,42.10,42.80,AREZZO CO
ARZZ3,26/05/2020,43.00,44.98,41.54,41.54,AREZZO CO
ARZZ3,27/05/2020,42.26,43.92,42.09,43.90,AREZZO CO
ARZZ3,28/05/2020,45.79,46.50,43.00,43.59,AREZZO CO
ARZZ3,29/05/2020,43.59,43.63,41.76,42.10,AREZZO CO
ARZZ3,01/06/2020,42.10,43.40,41.34,42.80,AREZZO CO
ARZZ3,02/06/2020,42.90,47.20,42.90,47.00,AREZZO CO
ARZZ3,03/06/2020,47.55,50.06,46.38,46.74,AREZZO CO
ARZZ3,04/06/2020,46.74,47.52,45.36,45.36,AREZZO CO
ARZZ3,05/06/2020,46.46,47.75,45.70,46.10,AREZZO CO
ARZZ3,08/06/2020,46.34,47.67,45.75,47.30,AREZZO CO
ARZZ3,09/06/2020,47.29,47.29,45.50,46.70,AREZZO CO
ARZZ3,10/06/2020,47.05,47.05,44.88,44.88,AREZZO CO
ARZZ3,12/06/2020,44.30,44.40,42.65,43.71,AREZZO CO
ARZZ3,15/06/2020,42.70,44.91,41.72,44.28,AREZZO CO
ARZZ3,16/06/2020,46.00,46.00,42.94,43.00,AREZZO CO
ARZZ3,17/06/2020,43.20,44.30,42.43,44.14,AREZZO CO
ARZZ3,18/06/2020,43.60,45.13,43.24,43.95,AREZZO CO
