Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ATOM3,02/01/2020,1.69,1.74,1.68,1.72,ATOMPAR
ATOM3,03/01/2020,1.72,1.73,1.68,1.70,ATOMPAR
ATOM3,06/01/2020,1.68,1.71,1.67,1.68,ATOMPAR
ATOM3,07/01/2020,1.69,1.70,1.67,1.69,ATOMPAR
ATOM3,08/01/2020,1.68,1.79,1.67,1.74,ATOMPAR
ATOM3,09/01/2020,1.75,2.26,1.75,2.15,ATOMPAR
ATOM3,10/01/2020,2.30,2.34,1.93,1.93,ATOMPAR
ATOM3,13/01/2020,2.00,2.09,1.93,1.97,ATOMPAR
ATOM3,14/01/2020,2.00,2.03,1.95,1.97,ATOMPAR
ATOM3,15/01/2020,2.05,2.18,2.03,2.05,ATOMPAR
ATOM3,16/01/2020,2.08,2.18,2.03,2.05,ATOMPAR
ATOM3,17/01/2020,2.11,2.12,2.06,2.07,ATOMPAR
ATOM3,20/01/2020,2.11,2.29,2.08,2.17,ATOMPAR
ATOM3,21/01/2020,2.16,2.23,2.00,2.05,ATOMPAR
ATOM3,22/01/2020,2.09,2.09,1.94,2.03,ATOMPAR
ATOM3,23/01/2020,2.02,2.04,1.97,2.01,ATOMPAR
ATOM3,24/01/2020,2.01,2.02,1.96,1.97,ATOMPAR
ATOM3,27/01/2020,1.95,2.00,1.90,1.90,ATOMPAR
ATOM3,28/01/2020,1.93,1.95,1.91,1.94,ATOMPAR
ATOM3,29/01/2020,1.91,1.93,1.85,1.87,ATOMPAR
ATOM3,30/01/2020,1.88,1.88,1.76,1.80,ATOMPAR
ATOM3,31/01/2020,1.76,1.80,1.75,1.77,ATOMPAR
ATOM3,03/02/2020,1.76,1.86,1.76,1.86,ATOMPAR
ATOM3,04/02/2020,1.89,1.95,1.87,1.87,ATOMPAR
ATOM3,05/02/2020,1.90,1.90,1.81,1.82,ATOMPAR
ATOM3,06/02/2020,1.82,1.83,1.77,1.77,ATOMPAR
ATOM3,07/02/2020,1.76,1.79,1.75,1.78,ATOMPAR
ATOM3,10/02/2020,1.79,1.83,1.76,1.76,ATOMPAR
ATOM3,11/02/2020,1.76,1.82,1.72,1.76,ATOMPAR
ATOM3,12/02/2020,1.76,1.80,1.75,1.79,ATOMPAR
ATOM3,13/02/2020,1.78,1.79,1.76,1.78,ATOMPAR
ATOM3,14/02/2020,1.75,1.78,1.71,1.77,ATOMPAR
ATOM3,17/02/2020,1.77,1.84,1.73,1.81,ATOMPAR
ATOM3,18/02/2020,1.81,1.81,1.76,1.78,ATOMPAR
ATOM3,19/02/2020,1.77,1.84,1.72,1.84,ATOMPAR
ATOM3,20/02/2020,1.83,1.84,1.76,1.80,ATOMPAR
ATOM3,21/02/2020,1.81,1.87,1.76,1.85,ATOMPAR
ATOM3,26/02/2020,1.77,1.81,1.70,1.78,ATOMPAR
ATOM3,27/02/2020,1.71,1.79,1.57,1.72,ATOMPAR
ATOM3,28/02/2020,1.70,1.72,1.65,1.66,ATOMPAR
ATOM3,02/03/2020,1.72,1.78,1.65,1.66,ATOMPAR
ATOM3,03/03/2020,1.70,1.72,1.68,1.68,ATOMPAR
ATOM3,04/03/2020,1.67,1.70,1.66,1.66,ATOMPAR
ATOM3,05/03/2020,1.69,1.69,1.60,1.60,ATOMPAR
ATOM3,06/03/2020,1.60,1.60,1.52,1.55,ATOMPAR
ATOM3,09/03/2020,1.55,1.55,1.40,1.49,ATOMPAR
ATOM3,10/03/2020,1.62,1.63,1.50,1.51,ATOMPAR
ATOM3,11/03/2020,1.51,1.51,1.47,1.47,ATOMPAR
ATOM3,12/03/2020,1.41,1.41,1.20,1.20,ATOMPAR
ATOM3,13/03/2020,1.28,1.35,1.18,1.22,ATOMPAR
ATOM3,16/03/2020,1.18,1.18,1.00,1.00,ATOMPAR
ATOM3,17/03/2020,1.08,1.08,1.00,1.01,ATOMPAR
ATOM3,18/03/2020,0.95,1.22,0.95,1.10,ATOMPAR
ATOM3,19/03/2020,1.18,1.20,1.08,1.11,ATOMPAR
ATOM3,20/03/2020,1.14,1.20,1.10,1.11,ATOMPAR
ATOM3,23/03/2020,1.10,1.11,1.03,1.10,ATOMPAR
ATOM3,24/03/2020,1.12,1.29,1.12,1.26,ATOMPAR
ATOM3,25/03/2020,1.16,1.35,1.16,1.31,ATOMPAR
ATOM3,26/03/2020,1.23,1.35,1.23,1.25,ATOMPAR
ATOM3,27/03/2020,1.21,1.25,1.15,1.24,ATOMPAR
ATOM3,30/03/2020,1.16,1.27,1.16,1.26,ATOMPAR
ATOM3,31/03/2020,1.23,1.25,1.21,1.23,ATOMPAR
ATOM3,01/04/2020,1.20,1.32,1.15,1.32,ATOMPAR
ATOM3,02/04/2020,1.31,1.31,1.28,1.28,ATOMPAR
ATOM3,03/04/2020,1.28,1.30,1.22,1.29,ATOMPAR
ATOM3,06/04/2020,1.30,1.40,1.30,1.38,ATOMPAR
ATOM3,07/04/2020,1.38,1.43,1.25,1.29,ATOMPAR
ATOM3,08/04/2020,1.33,1.42,1.28,1.41,ATOMPAR
ATOM3,09/04/2020,1.42,1.50,1.42,1.44,ATOMPAR
ATOM3,13/04/2020,1.39,1.46,1.37,1.43,ATOMPAR
ATOM3,14/04/2020,1.50,1.50,1.42,1.43,ATOMPAR
ATOM3,15/04/2020,1.41,1.42,1.36,1.38,ATOMPAR
ATOM3,16/04/2020,1.42,1.44,1.35,1.36,ATOMPAR
ATOM3,17/04/2020,1.40,1.43,1.38,1.38,ATOMPAR
ATOM3,20/04/2020,1.37,1.40,1.35,1.38,ATOMPAR
ATOM3,22/04/2020,1.39,1.39,1.34,1.35,ATOMPAR
ATOM3,23/04/2020,1.36,1.41,1.34,1.34,ATOMPAR
ATOM3,24/04/2020,1.39,1.40,1.28,1.32,ATOMPAR
ATOM3,27/04/2020,1.38,1.39,1.30,1.31,ATOMPAR
ATOM3,28/04/2020,1.32,1.37,1.32,1.34,ATOMPAR
ATOM3,29/04/2020,1.39,1.39,1.32,1.39,ATOMPAR
ATOM3,30/04/2020,1.39,1.39,1.33,1.34,ATOMPAR
ATOM3,04/05/2020,1.34,1.34,1.30,1.30,ATOMPAR
ATOM3,05/05/2020,1.33,1.90,1.32,1.90,ATOMPAR
ATOM3,06/05/2020,1.75,1.85,1.46,1.51,ATOMPAR
ATOM3,07/05/2020,1.56,1.71,1.50,1.54,ATOMPAR
ATOM3,08/05/2020,1.55,1.60,1.46,1.50,ATOMPAR
ATOM3,11/05/2020,1.47,1.48,1.35,1.40,ATOMPAR
ATOM3,12/05/2020,1.38,1.60,1.38,1.41,ATOMPAR
ATOM3,13/05/2020,1.39,1.54,1.39,1.44,ATOMPAR
ATOM3,14/05/2020,1.45,1.50,1.41,1.42,ATOMPAR
ATOM3,15/05/2020,1.45,1.47,1.40,1.44,ATOMPAR
ATOM3,18/05/2020,1.44,1.46,1.42,1.45,ATOMPAR
ATOM3,19/05/2020,1.45,1.52,1.41,1.41,ATOMPAR
ATOM3,20/05/2020,1.45,1.47,1.43,1.43,ATOMPAR
ATOM3,21/05/2020,1.43,1.49,1.42,1.44,ATOMPAR
ATOM3,22/05/2020,1.44,1.45,1.42,1.42,ATOMPAR
ATOM3,25/05/2020,1.45,1.52,1.42,1.45,ATOMPAR
ATOM3,26/05/2020,1.80,1.80,1.55,1.56,ATOMPAR
ATOM3,27/05/2020,1.64,1.64,1.57,1.60,ATOMPAR
ATOM3,28/05/2020,1.61,1.70,1.58,1.65,ATOMPAR
ATOM3,29/05/2020,1.67,1.70,1.61,1.61,ATOMPAR
ATOM3,01/06/2020,1.62,1.68,1.62,1.65,ATOMPAR
ATOM3,02/06/2020,1.71,1.74,1.65,1.65,ATOMPAR
ATOM3,03/06/2020,1.71,1.73,1.65,1.66,ATOMPAR
ATOM3,04/06/2020,1.62,1.70,1.62,1.65,ATOMPAR
ATOM3,05/06/2020,1.71,1.71,1.65,1.65,ATOMPAR
ATOM3,08/06/2020,1.69,1.89,1.66,1.74,ATOMPAR
ATOM3,09/06/2020,1.74,1.85,1.71,1.84,ATOMPAR
ATOM3,10/06/2020,1.89,1.95,1.76,1.78,ATOMPAR
ATOM3,12/06/2020,1.76,1.88,1.73,1.77,ATOMPAR
ATOM3,15/06/2020,1.75,1.82,1.73,1.78,ATOMPAR
