Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
B3SA3,02/01/2020,43.18,45.11,43.18,45.11,B3
B3SA3,03/01/2020,44.45,44.81,43.72,43.81,B3
B3SA3,06/01/2020,43.67,44.88,43.08,43.39,B3
B3SA3,07/01/2020,43.59,44.85,43.49,44.79,B3
B3SA3,08/01/2020,44.75,45.36,44.30,44.67,B3
B3SA3,09/01/2020,44.70,46.11,44.42,44.65,B3
B3SA3,10/01/2020,44.71,45.20,43.66,44.30,B3
B3SA3,13/01/2020,44.84,44.84,44.14,44.35,B3
B3SA3,14/01/2020,44.37,44.87,44.24,44.65,B3
B3SA3,15/01/2020,44.40,44.71,42.95,43.45,B3
B3SA3,16/01/2020,43.95,44.17,43.31,43.95,B3
B3SA3,17/01/2020,44.06,45.34,44.01,45.34,B3
B3SA3,20/01/2020,45.00,45.50,44.76,45.50,B3
B3SA3,21/01/2020,44.85,45.65,44.57,44.70,B3
B3SA3,22/01/2020,44.90,47.50,44.90,47.50,B3
B3SA3,23/01/2020,46.96,49.35,46.44,48.70,B3
B3SA3,24/01/2020,48.65,48.99,48.26,48.99,B3
B3SA3,27/01/2020,48.06,48.70,47.40,47.65,B3
B3SA3,28/01/2020,47.85,49.31,47.77,49.08,B3
B3SA3,29/01/2020,48.70,49.47,48.45,48.60,B3
B3SA3,30/01/2020,47.91,48.90,47.19,48.80,B3
B3SA3,31/01/2020,48.00,48.25,47.50,48.20,B3
B3SA3,03/02/2020,48.50,50.36,47.85,50.09,B3
B3SA3,04/02/2020,50.60,50.86,49.07,49.96,B3
B3SA3,05/02/2020,50.30,50.49,48.54,49.35,B3
B3SA3,06/02/2020,49.35,49.63,48.55,48.69,B3
B3SA3,07/02/2020,48.26,48.80,47.44,48.30,B3
B3SA3,10/02/2020,48.28,48.95,47.63,48.63,B3
B3SA3,11/02/2020,49.05,49.45,48.34,48.90,B3
B3SA3,12/02/2020,48.92,50.67,48.50,49.88,B3
B3SA3,13/02/2020,48.71,49.97,48.71,49.58,B3
B3SA3,14/02/2020,49.55,50.27,49.30,50.20,B3
B3SA3,17/02/2020,50.37,52.35,50.00,51.69,B3
B3SA3,18/02/2020,51.00,51.39,50.60,51.13,B3
B3SA3,19/02/2020,50.70,53.21,50.60,53.13,B3
B3SA3,20/02/2020,52.80,53.55,51.72,52.31,B3
B3SA3,21/02/2020,51.33,52.05,51.22,52.05,B3
B3SA3,26/02/2020,49.50,50.18,47.44,47.95,B3
B3SA3,27/02/2020,46.80,48.59,46.04,46.04,B3
