Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BBRK3,02/01/2020,5.90,6.20,5.90,6.02,BR BROKERS
BBRK3,03/01/2020,5.84,5.92,5.51,5.51,BR BROKERS
BBRK3,06/01/2020,5.50,5.75,5.19,5.62,BR BROKERS
BBRK3,07/01/2020,5.62,5.99,5.51,5.70,BR BROKERS
BBRK3,08/01/2020,5.77,5.79,5.50,5.55,BR BROKERS
BBRK3,09/01/2020,5.66,5.69,5.30,5.30,BR BROKERS
BBRK3,10/01/2020,5.35,5.50,5.31,5.32,BR BROKERS
BBRK3,13/01/2020,5.35,5.62,5.34,5.56,BR BROKERS
BBRK3,14/01/2020,5.56,5.68,5.45,5.50,BR BROKERS
BBRK3,15/01/2020,5.57,5.67,5.53,5.54,BR BROKERS
BBRK3,16/01/2020,5.58,6.35,5.55,6.35,BR BROKERS
BBRK3,17/01/2020,6.35,6.47,6.01,6.03,BR BROKERS
BBRK3,20/01/2020,6.03,6.22,6.03,6.15,BR BROKERS
BBRK3,21/01/2020,6.16,6.41,6.08,6.30,BR BROKERS
BBRK3,22/01/2020,6.39,6.70,6.31,6.46,BR BROKERS
BBRK3,23/01/2020,6.50,6.50,6.14,6.37,BR BROKERS
BBRK3,24/01/2020,6.50,6.50,6.15,6.17,BR BROKERS
BBRK3,27/01/2020,5.96,6.09,5.71,5.71,BR BROKERS
BBRK3,28/01/2020,5.81,6.00,5.40,5.64,BR BROKERS
BBRK3,29/01/2020,5.65,5.70,5.26,5.33,BR BROKERS
BBRK3,30/01/2020,5.22,5.22,4.93,5.01,BR BROKERS
BBRK3,31/01/2020,5.01,5.14,4.73,4.73,BR BROKERS
BBRK3,03/02/2020,4.70,4.95,4.63,4.86,BR BROKERS
BBRK3,04/02/2020,5.00,5.00,4.78,4.85,BR BROKERS
BBRK3,05/02/2020,4.90,4.91,4.57,4.58,BR BROKERS
BBRK3,06/02/2020,4.68,4.85,4.40,4.40,BR BROKERS
BBRK3,07/02/2020,4.40,4.47,4.12,4.17,BR BROKERS
BBRK3,10/02/2020,4.20,4.27,3.96,3.99,BR BROKERS
BBRK3,11/02/2020,4.02,4.60,4.02,4.46,BR BROKERS
BBRK3,12/02/2020,4.48,4.54,4.33,4.38,BR BROKERS
BBRK3,13/02/2020,4.38,4.40,4.10,4.36,BR BROKERS
BBRK3,14/02/2020,4.36,4.42,4.22,4.24,BR BROKERS
BBRK3,17/02/2020,4.24,4.37,4.21,4.24,BR BROKERS
BBRK3,18/02/2020,4.21,4.45,4.16,4.37,BR BROKERS
BBRK3,19/02/2020,4.45,4.48,4.31,4.43,BR BROKERS
BBRK3,20/02/2020,4.43,4.45,4.33,4.42,BR BROKERS
BBRK3,21/02/2020,4.34,4.49,4.34,4.48,BR BROKERS
BBRK3,26/02/2020,4.14,4.22,3.92,3.92,BR BROKERS
BBRK3,27/02/2020,3.94,4.04,3.83,3.92,BR BROKERS
BBRK3,28/02/2020,3.95,3.95,3.70,3.78,BR BROKERS
BBRK3,02/03/2020,3.80,4.10,3.77,4.08,BR BROKERS
BBRK3,03/03/2020,4.08,4.28,3.95,3.95,BR BROKERS
BBRK3,04/03/2020,3.97,4.13,3.97,3.98,BR BROKERS
BBRK3,05/03/2020,3.97,3.98,3.60,3.70,BR BROKERS
BBRK3,06/03/2020,3.65,3.67,3.33,3.40,BR BROKERS
BBRK3,09/03/2020,3.19,3.19,2.80,3.09,BR BROKERS
BBRK3,10/03/2020,3.50,3.60,3.11,3.49,BR BROKERS
BBRK3,11/03/2020,3.47,3.47,3.07,3.27,BR BROKERS
BBRK3,12/03/2020,3.00,3.00,2.60,2.61,BR BROKERS
BBRK3,13/03/2020,3.00,3.00,2.62,2.75,BR BROKERS
BBRK3,16/03/2020,2.60,2.60,2.21,2.30,BR BROKERS
BBRK3,17/03/2020,2.49,2.49,2.18,2.18,BR BROKERS
BBRK3,18/03/2020,1.97,2.02,1.40,1.67,BR BROKERS
BBRK3,19/03/2020,1.46,1.69,1.36,1.55,BR BROKERS
BBRK3,20/03/2020,1.71,1.72,1.37,1.42,BR BROKERS
BBRK3,23/03/2020,1.37,1.40,1.18,1.21,BR BROKERS
BBRK3,24/03/2020,1.40,1.42,1.26,1.32,BR BROKERS
BBRK3,25/03/2020,1.32,1.97,1.32,1.80,BR BROKERS
BBRK3,26/03/2020,1.86,2.29,1.60,1.60,BR BROKERS
BBRK3,27/03/2020,1.63,1.80,1.53,1.75,BR BROKERS
BBRK3,30/03/2020,1.81,1.97,1.73,1.75,BR BROKERS
BBRK3,31/03/2020,1.77,1.77,1.64,1.68,BR BROKERS
BBRK3,01/04/2020,1.56,1.63,1.54,1.62,BR BROKERS
BBRK3,02/04/2020,1.70,1.70,1.52,1.58,BR BROKERS
BBRK3,03/04/2020,1.58,1.58,1.47,1.47,BR BROKERS
BBRK3,06/04/2020,1.58,1.60,1.52,1.53,BR BROKERS
BBRK3,07/04/2020,1.65,1.70,1.60,1.61,BR BROKERS
BBRK3,08/04/2020,1.61,1.67,1.56,1.65,BR BROKERS
BBRK3,09/04/2020,1.71,1.77,1.67,1.73,BR BROKERS
BBRK3,13/04/2020,1.76,1.81,1.70,1.75,BR BROKERS
BBRK3,14/04/2020,1.80,1.97,1.80,1.96,BR BROKERS
BBRK3,15/04/2020,1.89,2.20,1.83,2.00,BR BROKERS
BBRK3,16/04/2020,2.04,2.20,2.04,2.14,BR BROKERS
BBRK3,17/04/2020,2.18,2.56,2.18,2.56,BR BROKERS
BBRK3,20/04/2020,2.55,2.77,2.32,2.68,BR BROKERS
BBRK3,22/04/2020,2.72,2.80,2.60,2.60,BR BROKERS
BBRK3,23/04/2020,2.60,2.75,2.46,2.50,BR BROKERS
BBRK3,24/04/2020,2.52,2.52,2.14,2.17,BR BROKERS
BBRK3,27/04/2020,2.24,2.59,2.20,2.49,BR BROKERS
BBRK3,28/04/2020,2.53,2.66,2.37,2.50,BR BROKERS
BBRK3,29/04/2020,2.60,2.60,2.46,2.54,BR BROKERS
BBRK3,30/04/2020,2.54,2.54,2.38,2.40,BR BROKERS
BBRK3,04/05/2020,2.30,2.31,2.24,2.26,BR BROKERS
BBRK3,05/05/2020,2.32,2.40,2.22,2.23,BR BROKERS
BBRK3,06/05/2020,2.24,2.33,2.15,2.20,BR BROKERS
BBRK3,07/05/2020,2.24,2.25,2.03,2.08,BR BROKERS
BBRK3,08/05/2020,2.08,2.17,2.01,2.07,BR BROKERS
BBRK3,11/05/2020,2.01,2.07,1.96,2.03,BR BROKERS
BBRK3,12/05/2020,1.99,2.19,1.99,1.99,BR BROKERS
BBRK3,13/05/2020,2.02,2.05,1.89,1.95,BR BROKERS
BBRK3,14/05/2020,1.95,2.04,1.83,2.00,BR BROKERS
BBRK3,15/05/2020,2.00,2.06,1.94,1.96,BR BROKERS
BBRK3,18/05/2020,2.05,2.14,1.96,2.14,BR BROKERS
BBRK3,19/05/2020,2.18,2.23,2.03,2.03,BR BROKERS
BBRK3,20/05/2020,2.07,2.16,2.03,2.07,BR BROKERS
BBRK3,21/05/2020,2.07,2.14,2.02,2.04,BR BROKERS
BBRK3,22/05/2020,2.04,2.05,1.99,2.05,BR BROKERS
BBRK3,25/05/2020,2.04,2.13,2.04,2.08,BR BROKERS
BBRK3,26/05/2020,2.20,2.30,2.14,2.21,BR BROKERS
BBRK3,27/05/2020,2.16,2.30,2.16,2.27,BR BROKERS
BBRK3,28/05/2020,2.21,2.38,2.21,2.28,BR BROKERS
BBRK3,29/05/2020,2.28,2.28,2.16,2.20,BR BROKERS
BBRK3,01/06/2020,2.20,2.26,2.17,2.20,BR BROKERS
BBRK3,02/06/2020,2.23,2.40,2.20,2.28,BR BROKERS
BBRK3,03/06/2020,2.36,2.52,2.29,2.49,BR BROKERS
BBRK3,04/06/2020,2.51,2.98,2.51,2.90,BR BROKERS
BBRK3,05/06/2020,3.10,3.25,2.73,2.74,BR BROKERS
BBRK3,08/06/2020,2.86,3.00,2.75,2.90,BR BROKERS
BBRK3,09/06/2020,2.79,2.83,2.52,2.70,BR BROKERS
BBRK3,10/06/2020,2.79,2.95,2.55,2.57,BR BROKERS
BBRK3,12/06/2020,2.50,2.55,2.31,2.39,BR BROKERS
BBRK3,15/06/2020,2.32,2.33,2.12,2.29,BR BROKERS
