Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BBSD11,02/01/2020,96.01,96.47,96.01,96.47,BB ETF SP DV
BBSD11,03/01/2020,97.00,97.00,96.70,96.93,BB ETF SP DV
BBSD11,06/01/2020,97.00,98.00,96.21,96.21,BB ETF SP DV
BBSD11,07/01/2020,93.80,96.99,93.80,95.99,BB ETF SP DV
BBSD11,08/01/2020,95.72,95.72,95.50,95.50,BB ETF SP DV
BBSD11,09/01/2020,95.13,95.17,94.52,94.52,BB ETF SP DV
BBSD11,10/01/2020,93.79,95.80,93.79,95.18,BB ETF SP DV
BBSD11,13/01/2020,96.13,96.68,95.90,96.68,BB ETF SP DV
BBSD11,14/01/2020,96.54,97.04,96.32,96.84,BB ETF SP DV
BBSD11,15/01/2020,97.06,97.15,96.19,96.19,BB ETF SP DV
BBSD11,16/01/2020,96.78,96.88,95.94,95.95,BB ETF SP DV
BBSD11,17/01/2020,96.60,97.10,96.10,97.10,BB ETF SP DV
BBSD11,20/01/2020,97.34,97.77,97.34,97.77,BB ETF SP DV
BBSD11,21/01/2020,97.21,99.60,97.21,97.84,BB ETF SP DV
BBSD11,22/01/2020,97.84,97.89,97.49,97.89,BB ETF SP DV
BBSD11,23/01/2020,98.00,98.48,97.20,98.48,BB ETF SP DV
BBSD11,24/01/2020,98.12,98.12,97.94,97.98,BB ETF SP DV
BBSD11,27/01/2020,97.20,97.20,95.85,95.85,BB ETF SP DV
BBSD11,28/01/2020,98.00,98.00,96.10,96.56,BB ETF SP DV
BBSD11,29/01/2020,97.00,97.00,95.93,96.32,BB ETF SP DV
BBSD11,30/01/2020,93.80,94.70,93.70,94.50,BB ETF SP DV
BBSD11,31/01/2020,94.23,94.23,94.00,94.00,BB ETF SP DV
BBSD11,03/02/2020,96.00,96.00,94.64,95.06,BB ETF SP DV
BBSD11,04/02/2020,95.51,95.51,95.51,95.51,BB ETF SP DV
BBSD11,05/02/2020,96.90,96.90,96.08,96.08,BB ETF SP DV
BBSD11,06/02/2020,96.65,96.65,94.87,94.87,BB ETF SP DV
BBSD11,07/02/2020,94.87,94.87,93.70,93.71,BB ETF SP DV
BBSD11,10/02/2020,93.19,93.50,91.93,92.06,BB ETF SP DV
BBSD11,11/02/2020,93.00,93.95,93.00,93.95,BB ETF SP DV
BBSD11,12/02/2020,94.55,96.00,94.46,96.00,BB ETF SP DV
BBSD11,13/02/2020,95.51,96.90,93.90,94.40,BB ETF SP DV
BBSD11,14/02/2020,94.21,96.00,93.46,93.46,BB ETF SP DV
BBSD11,17/02/2020,93.46,96.75,93.46,94.51,BB ETF SP DV
BBSD11,18/02/2020,96.00,96.24,93.15,93.85,BB ETF SP DV
BBSD11,19/02/2020,94.70,95.74,94.37,95.74,BB ETF SP DV
BBSD11,20/02/2020,94.68,95.50,93.80,93.90,BB ETF SP DV
BBSD11,21/02/2020,93.90,95.49,92.86,93.50,BB ETF SP DV
BBSD11,26/02/2020,87.50,90.40,87.50,87.98,BB ETF SP DV
BBSD11,27/02/2020,88.00,88.10,86.00,86.00,BB ETF SP DV
BBSD11,28/02/2020,86.00,88.15,83.40,87.01,BB ETF SP DV
BBSD11,02/03/2020,86.99,90.78,86.99,88.30,BB ETF SP DV
BBSD11,03/03/2020,88.95,90.25,87.30,87.57,BB ETF SP DV
BBSD11,04/03/2020,89.47,91.00,88.51,91.00,BB ETF SP DV
BBSD11,05/03/2020,89.19,89.33,86.00,86.00,BB ETF SP DV
BBSD11,06/03/2020,83.36,84.15,82.82,83.00,BB ETF SP DV
BBSD11,09/03/2020,80.00,80.01,76.70,76.70,BB ETF SP DV
BBSD11,10/03/2020,78.41,79.05,77.71,78.61,BB ETF SP DV
BBSD11,11/03/2020,78.29,78.29,73.50,75.00,BB ETF SP DV
BBSD11,12/03/2020,74.50,74.50,62.78,69.50,BB ETF SP DV
BBSD11,13/03/2020,75.00,75.00,67.70,71.10,BB ETF SP DV
BBSD11,16/03/2020,66.00,66.68,63.01,65.97,BB ETF SP DV
BBSD11,17/03/2020,64.00,69.47,64.00,68.64,BB ETF SP DV
BBSD11,18/03/2020,68.60,68.60,60.00,63.00,BB ETF SP DV
BBSD11,19/03/2020,57.00,62.57,57.00,61.51,BB ETF SP DV
BBSD11,20/03/2020,63.66,63.66,60.00,60.17,BB ETF SP DV
BBSD11,23/03/2020,57.00,57.52,55.68,55.68,BB ETF SP DV
BBSD11,24/03/2020,59.90,60.50,59.12,59.12,BB ETF SP DV
BBSD11,25/03/2020,58.93,62.58,58.81,62.58,BB ETF SP DV
BBSD11,26/03/2020,65.86,66.11,64.50,65.19,BB ETF SP DV
BBSD11,27/03/2020,65.98,65.98,63.80,64.38,BB ETF SP DV
BBSD11,30/03/2020,66.00,66.00,63.50,64.50,BB ETF SP DV
BBSD11,31/03/2020,65.94,65.94,62.59,62.59,BB ETF SP DV
BBSD11,01/04/2020,61.05,61.13,60.20,60.20,BB ETF SP DV
BBSD11,02/04/2020,66.00,66.00,60.91,60.91,BB ETF SP DV
BBSD11,03/04/2020,61.50,61.50,58.90,59.19,BB ETF SP DV
BBSD11,06/04/2020,63.01,63.35,62.04,62.04,BB ETF SP DV
BBSD11,07/04/2020,66.38,66.38,66.00,66.38,BB ETF SP DV
BBSD11,08/04/2020,64.68,66.04,64.68,66.04,BB ETF SP DV
BBSD11,09/04/2020,66.97,66.97,65.71,65.71,BB ETF SP DV
BBSD11,13/04/2020,64.73,65.90,64.55,65.90,BB ETF SP DV
BBSD11,14/04/2020,66.00,68.11,66.00,67.46,BB ETF SP DV
BBSD11,15/04/2020,66.60,68.82,66.60,67.06,BB ETF SP DV
BBSD11,16/04/2020,66.31,66.44,66.00,66.00,BB ETF SP DV
BBSD11,17/04/2020,66.72,66.72,65.31,65.70,BB ETF SP DV
BBSD11,20/04/2020,65.84,66.73,65.84,66.70,BB ETF SP DV
BBSD11,22/04/2020,67.00,68.29,67.00,68.22,BB ETF SP DV
BBSD11,23/04/2020,68.63,68.63,66.70,67.62,BB ETF SP DV
BBSD11,24/04/2020,65.74,65.74,61.50,62.04,BB ETF SP DV
BBSD11,27/04/2020,66.12,66.12,64.10,64.86,BB ETF SP DV
BBSD11,28/04/2020,65.00,67.80,65.00,67.80,BB ETF SP DV
BBSD11,29/04/2020,68.20,69.39,68.20,69.39,BB ETF SP DV
BBSD11,30/04/2020,67.00,67.00,66.79,67.00,BB ETF SP DV
BBSD11,04/05/2020,64.51,65.29,64.50,64.50,BB ETF SP DV
BBSD11,05/05/2020,65.89,66.54,65.89,66.36,BB ETF SP DV
BBSD11,06/05/2020,67.00,67.00,64.20,64.20,BB ETF SP DV
BBSD11,07/05/2020,64.48,64.48,63.00,63.00,BB ETF SP DV
BBSD11,08/05/2020,63.83,64.09,63.60,63.64,BB ETF SP DV
BBSD11,11/05/2020,63.64,64.10,63.51,63.51,BB ETF SP DV
BBSD11,12/05/2020,63.70,65.70,61.80,62.09,BB ETF SP DV
BBSD11,13/05/2020,61.92,61.92,60.87,61.32,BB ETF SP DV
BBSD11,14/05/2020,60.01,62.61,60.00,62.55,BB ETF SP DV
BBSD11,15/05/2020,63.00,63.00,62.00,62.06,BB ETF SP DV
BBSD11,18/05/2020,63.29,64.60,63.29,64.50,BB ETF SP DV
