Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BBSE3,02/01/2020,38.00,38.39,37.91,38.10,BBSEGURIDADE
BBSE3,03/01/2020,37.93,38.88,37.61,37.68,BBSEGURIDADE
BBSE3,06/01/2020,37.99,38.34,37.76,38.30,BBSEGURIDADE
BBSE3,07/01/2020,38.70,38.81,38.19,38.32,BBSEGURIDADE
BBSE3,08/01/2020,38.63,38.65,38.11,38.30,BBSEGURIDADE
BBSE3,09/01/2020,38.35,38.65,37.87,38.19,BBSEGURIDADE
BBSE3,10/01/2020,36.93,37.15,36.13,36.40,BBSEGURIDADE
BBSE3,13/01/2020,36.43,36.67,35.71,36.13,BBSEGURIDADE
BBSE3,14/01/2020,36.17,36.64,36.12,36.56,BBSEGURIDADE
BBSE3,15/01/2020,36.65,36.95,36.41,36.60,BBSEGURIDADE
BBSE3,16/01/2020,36.84,36.87,36.03,36.07,BBSEGURIDADE
BBSE3,17/01/2020,36.22,36.60,36.05,36.14,BBSEGURIDADE
BBSE3,20/01/2020,36.25,36.42,35.93,36.16,BBSEGURIDADE
BBSE3,21/01/2020,36.07,36.50,35.89,36.00,BBSEGURIDADE
BBSE3,22/01/2020,35.91,36.43,35.90,36.19,BBSEGURIDADE
BBSE3,23/01/2020,35.95,36.26,35.35,36.24,BBSEGURIDADE
BBSE3,24/01/2020,36.26,36.34,35.67,35.90,BBSEGURIDADE
BBSE3,27/01/2020,35.52,35.80,34.84,35.00,BBSEGURIDADE
BBSE3,28/01/2020,35.05,35.26,34.77,35.01,BBSEGURIDADE
BBSE3,29/01/2020,35.16,35.99,34.93,35.62,BBSEGURIDADE
BBSE3,30/01/2020,35.02,35.88,34.88,35.61,BBSEGURIDADE
BBSE3,31/01/2020,35.27,35.44,34.60,34.78,BBSEGURIDADE
BBSE3,03/02/2020,34.90,35.46,34.40,34.93,BBSEGURIDADE
BBSE3,04/02/2020,35.38,35.46,34.45,34.45,BBSEGURIDADE
BBSE3,05/02/2020,34.90,35.20,34.51,34.63,BBSEGURIDADE
BBSE3,06/02/2020,34.95,35.58,34.55,34.80,BBSEGURIDADE
BBSE3,07/02/2020,34.51,35.98,34.51,35.36,BBSEGURIDADE
BBSE3,10/02/2020,36.05,36.14,35.39,35.82,BBSEGURIDADE
BBSE3,11/02/2020,36.35,37.38,36.30,36.87,BBSEGURIDADE
BBSE3,12/02/2020,37.20,37.80,36.76,37.15,BBSEGURIDADE
BBSE3,13/02/2020,37.15,37.51,36.70,37.24,BBSEGURIDADE
BBSE3,14/02/2020,35.00,35.22,34.48,34.48,BBSEGURIDADE
BBSE3,17/02/2020,34.67,34.67,33.53,33.73,BBSEGURIDADE
BBSE3,18/02/2020,33.60,33.60,32.91,33.33,BBSEGURIDADE
BBSE3,19/02/2020,33.41,34.08,33.25,33.98,BBSEGURIDADE
BBSE3,20/02/2020,34.07,34.12,33.38,33.44,BBSEGURIDADE
BBSE3,21/02/2020,33.30,33.32,32.53,33.00,BBSEGURIDADE
BBSE3,26/02/2020,31.80,32.25,31.20,31.73,BBSEGURIDADE
BBSE3,27/02/2020,31.55,32.43,31.37,31.47,BBSEGURIDADE
BBSE3,28/02/2020,31.60,31.85,30.69,31.85,BBSEGURIDADE
BBSE3,02/03/2020,31.85,32.04,31.30,31.60,BBSEGURIDADE
