Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BEEF3,02/01/2020,12.88,12.99,12.57,12.57,MINERVA
BEEF3,03/01/2020,12.45,12.93,12.27,12.90,MINERVA
BEEF3,06/01/2020,12.90,12.91,12.57,12.89,MINERVA
BEEF3,07/01/2020,13.03,13.48,13.03,13.48,MINERVA
BEEF3,08/01/2020,13.50,13.68,13.18,13.63,MINERVA
BEEF3,09/01/2020,13.69,13.80,13.26,13.42,MINERVA
BEEF3,10/01/2020,13.45,13.64,13.31,13.36,MINERVA
BEEF3,13/01/2020,13.42,14.56,13.42,14.56,MINERVA
BEEF3,14/01/2020,14.58,14.90,14.29,14.45,MINERVA
BEEF3,15/01/2020,14.42,14.67,14.08,14.40,MINERVA
BEEF3,16/01/2020,14.30,15.30,14.16,14.99,MINERVA
BEEF3,17/01/2020,15.15,15.20,14.65,14.85,MINERVA
BEEF3,20/01/2020,14.79,15.10,14.75,14.87,MINERVA
BEEF3,21/01/2020,14.92,15.27,14.92,15.22,MINERVA
BEEF3,22/01/2020,15.18,15.18,13.98,14.05,MINERVA
BEEF3,23/01/2020,13.82,14.27,13.53,14.27,MINERVA
BEEF3,24/01/2020,13.35,13.75,13.10,13.10,MINERVA
BEEF3,27/01/2020,12.65,12.65,12.03,12.03,MINERVA
BEEF3,28/01/2020,12.36,12.40,12.10,12.15,MINERVA
BEEF3,29/01/2020,12.29,12.31,11.70,11.93,MINERVA
BEEF3,30/01/2020,11.67,11.72,10.88,11.42,MINERVA
BEEF3,31/01/2020,11.18,12.17,11.11,11.93,MINERVA
BEEF3,03/02/2020,12.27,12.48,11.95,12.31,MINERVA
BEEF3,04/02/2020,12.58,12.71,11.86,12.04,MINERVA
BEEF3,05/02/2020,12.20,12.25,11.92,12.10,MINERVA
BEEF3,06/02/2020,12.22,12.23,11.85,11.90,MINERVA
BEEF3,07/02/2020,11.80,11.80,11.17,11.17,MINERVA
BEEF3,10/02/2020,11.15,11.30,10.53,10.68,MINERVA
BEEF3,11/02/2020,10.86,11.47,10.75,11.39,MINERVA
BEEF3,12/02/2020,11.50,11.70,11.13,11.66,MINERVA
BEEF3,13/02/2020,11.25,11.85,11.22,11.84,MINERVA
BEEF3,14/02/2020,11.90,11.96,11.52,11.79,MINERVA
BEEF3,17/02/2020,11.90,12.30,11.90,12.25,MINERVA
BEEF3,18/02/2020,12.10,12.59,11.94,12.50,MINERVA
BEEF3,19/02/2020,12.80,13.03,12.39,12.55,MINERVA
BEEF3,20/02/2020,12.55,12.87,12.30,12.41,MINERVA
BEEF3,21/02/2020,12.29,13.01,12.05,12.76,MINERVA
BEEF3,26/02/2020,12.21,12.50,11.68,11.80,MINERVA
BEEF3,27/02/2020,11.64,12.16,11.17,11.64,MINERVA
BEEF3,28/02/2020,11.48,11.62,10.83,11.62,MINERVA
BEEF3,02/03/2020,11.51,12.13,11.50,12.08,MINERVA
BEEF3,03/03/2020,12.22,12.52,11.86,11.97,MINERVA
BEEF3,04/03/2020,12.35,12.35,11.66,12.20,MINERVA
BEEF3,05/03/2020,12.10,12.20,10.90,11.30,MINERVA
BEEF3,06/03/2020,10.82,11.17,10.05,10.40,MINERVA
BEEF3,09/03/2020,9.22,9.61,8.54,8.54,MINERVA
BEEF3,10/03/2020,9.11,9.49,8.58,8.85,MINERVA
BEEF3,11/03/2020,8.65,8.84,7.94,8.56,MINERVA
BEEF3,12/03/2020,7.41,7.80,6.67,6.97,MINERVA
BEEF3,13/03/2020,8.02,8.33,6.84,7.96,MINERVA
BEEF3,16/03/2020,6.66,7.84,6.65,7.00,MINERVA
BEEF3,17/03/2020,7.30,7.86,6.98,7.11,MINERVA
BEEF3,18/03/2020,6.65,6.83,5.87,6.60,MINERVA
BEEF3,19/03/2020,6.37,8.00,5.81,7.80,MINERVA
BEEF3,20/03/2020,8.30,8.48,7.73,7.73,MINERVA
BEEF3,23/03/2020,7.67,8.24,7.35,8.20,MINERVA
BEEF3,24/03/2020,8.74,8.87,8.13,8.40,MINERVA
BEEF3,25/03/2020,8.33,8.76,8.08,8.19,MINERVA
BEEF3,26/03/2020,8.25,8.65,7.63,7.70,MINERVA
BEEF3,27/03/2020,7.49,8.09,7.29,7.80,MINERVA
BEEF3,30/03/2020,7.88,8.16,7.61,7.85,MINERVA
BEEF3,31/03/2020,7.84,8.18,7.68,7.95,MINERVA
BEEF3,01/04/2020,7.70,8.46,7.32,8.25,MINERVA
BEEF3,02/04/2020,8.42,8.70,7.90,8.57,MINERVA
BEEF3,03/04/2020,8.59,8.99,8.04,8.75,MINERVA
BEEF3,06/04/2020,9.02,9.33,8.83,9.00,MINERVA
BEEF3,07/04/2020,9.44,9.54,8.71,8.96,MINERVA
BEEF3,08/04/2020,8.95,9.03,8.59,8.71,MINERVA
BEEF3,09/04/2020,8.81,9.18,8.63,8.63,MINERVA
BEEF3,13/04/2020,8.63,9.20,8.60,9.12,MINERVA
BEEF3,14/04/2020,9.27,9.75,9.07,9.28,MINERVA
BEEF3,15/04/2020,9.05,9.62,8.94,9.37,MINERVA
BEEF3,16/04/2020,9.51,9.95,9.30,9.90,MINERVA
BEEF3,17/04/2020,10.08,10.14,9.50,9.50,MINERVA
BEEF3,20/04/2020,9.38,9.68,9.22,9.50,MINERVA
BEEF3,22/04/2020,9.58,10.27,9.56,10.11,MINERVA
BEEF3,23/04/2020,10.20,10.40,9.76,10.09,MINERVA
BEEF3,24/04/2020,9.90,10.44,9.54,10.13,MINERVA
BEEF3,27/04/2020,10.30,11.33,10.25,11.23,MINERVA
BEEF3,28/04/2020,11.42,12.08,11.30,11.90,MINERVA
BEEF3,29/04/2020,12.34,13.08,12.01,12.30,MINERVA
BEEF3,30/04/2020,12.08,12.99,11.83,12.26,MINERVA
BEEF3,04/05/2020,11.99,12.74,11.85,12.65,MINERVA
BEEF3,05/05/2020,12.80,13.06,12.21,12.50,MINERVA
BEEF3,06/05/2020,12.49,12.94,12.21,12.88,MINERVA
BEEF3,07/05/2020,13.01,14.12,13.00,13.82,MINERVA
BEEF3,08/05/2020,13.96,14.08,13.28,13.80,MINERVA
BEEF3,11/05/2020,13.77,14.56,13.42,13.45,MINERVA
BEEF3,12/05/2020,13.61,14.50,13.55,14.40,MINERVA
BEEF3,13/05/2020,14.50,15.08,14.20,14.37,MINERVA
BEEF3,14/05/2020,14.60,14.97,13.97,14.33,MINERVA
BEEF3,15/05/2020,14.40,14.51,13.91,14.39,MINERVA
