Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BEES3,02/01/2020,6.30,6.61,6.30,6.53,BANESTES
BEES3,03/01/2020,6.53,6.58,6.26,6.52,BANESTES
BEES3,06/01/2020,6.52,6.59,6.15,6.53,BANESTES
BEES3,07/01/2020,6.59,6.74,6.49,6.53,BANESTES
BEES3,08/01/2020,6.55,6.73,6.50,6.63,BANESTES
BEES3,09/01/2020,6.71,6.73,6.60,6.69,BANESTES
BEES3,10/01/2020,6.69,6.95,6.65,6.92,BANESTES
BEES3,13/01/2020,6.92,7.13,6.84,6.93,BANESTES
BEES3,14/01/2020,6.94,7.09,6.90,6.92,BANESTES
BEES3,15/01/2020,6.99,7.08,6.98,6.98,BANESTES
BEES3,16/01/2020,6.98,7.05,6.96,6.96,BANESTES
BEES3,17/01/2020,7.00,7.02,6.94,6.94,BANESTES
BEES3,20/01/2020,7.00,7.25,6.92,7.01,BANESTES
BEES3,21/01/2020,7.09,7.09,6.80,6.84,BANESTES
BEES3,22/01/2020,6.90,7.00,6.89,6.96,BANESTES
BEES3,23/01/2020,7.00,7.05,6.92,7.01,BANESTES
BEES3,24/01/2020,7.05,7.68,6.98,7.20,BANESTES
BEES3,27/01/2020,7.20,7.29,6.95,7.03,BANESTES
BEES3,28/01/2020,7.01,7.20,7.01,7.10,BANESTES
BEES3,29/01/2020,7.10,7.19,7.10,7.19,BANESTES
BEES3,30/01/2020,7.20,7.20,6.96,7.10,BANESTES
BEES3,31/01/2020,7.14,7.14,7.02,7.02,BANESTES
BEES3,03/02/2020,7.18,7.18,7.04,7.06,BANESTES
BEES3,04/02/2020,7.06,7.30,7.06,7.30,BANESTES
BEES3,05/02/2020,7.32,7.58,7.28,7.49,BANESTES
BEES3,06/02/2020,7.49,7.50,7.27,7.40,BANESTES
BEES3,07/02/2020,7.49,7.70,7.42,7.59,BANESTES
BEES3,10/02/2020,7.66,7.66,7.46,7.53,BANESTES
BEES3,11/02/2020,7.63,7.63,7.57,7.62,BANESTES
BEES3,12/02/2020,7.63,7.63,7.31,7.41,BANESTES
BEES3,13/02/2020,7.42,7.52,7.20,7.48,BANESTES
BEES3,14/02/2020,7.49,7.49,7.37,7.37,BANESTES
BEES3,17/02/2020,7.37,7.47,7.32,7.35,BANESTES
BEES3,18/02/2020,7.41,7.43,7.27,7.43,BANESTES
BEES3,19/02/2020,7.43,7.43,7.37,7.37,BANESTES
BEES3,20/02/2020,7.35,7.35,7.17,7.17,BANESTES
BEES3,21/02/2020,7.17,7.18,7.03,7.13,BANESTES
BEES3,26/02/2020,6.90,6.90,6.50,6.80,BANESTES
BEES3,27/02/2020,6.52,6.95,6.50,6.95,BANESTES
BEES3,28/02/2020,6.95,7.02,6.52,6.91,BANESTES
BEES3,02/03/2020,6.88,7.14,6.82,7.10,BANESTES
BEES3,03/03/2020,7.12,7.19,6.93,6.95,BANESTES
BEES3,04/03/2020,6.92,7.02,6.90,6.97,BANESTES
BEES3,05/03/2020,7.16,7.16,6.70,6.78,BANESTES
BEES3,06/03/2020,6.50,6.82,6.26,6.55,BANESTES
BEES3,09/03/2020,6.41,6.41,5.80,6.13,BANESTES
BEES3,10/03/2020,6.19,6.50,6.19,6.30,BANESTES
