Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BMEB4,02/01/2020,13.00,13.36,13.00,13.14,MERC BRASIL
BMEB4,03/01/2020,13.14,13.55,13.14,13.55,MERC BRASIL
BMEB4,06/01/2020,13.39,13.70,13.20,13.51,MERC BRASIL
BMEB4,07/01/2020,13.59,13.78,13.53,13.53,MERC BRASIL
BMEB4,08/01/2020,13.52,13.66,13.40,13.66,MERC BRASIL
BMEB4,09/01/2020,13.50,13.70,13.45,13.67,MERC BRASIL
BMEB4,10/01/2020,13.67,13.69,13.45,13.50,MERC BRASIL
BMEB4,13/01/2020,13.55,13.75,13.40,13.70,MERC BRASIL
BMEB4,14/01/2020,13.45,14.00,13.45,14.00,MERC BRASIL
BMEB4,15/01/2020,14.00,14.20,13.60,14.09,MERC BRASIL
BMEB4,16/01/2020,14.09,14.60,14.05,14.53,MERC BRASIL
BMEB4,17/01/2020,14.54,14.65,14.40,14.65,MERC BRASIL
BMEB4,20/01/2020,14.65,14.75,14.50,14.55,MERC BRASIL
BMEB4,21/01/2020,14.55,14.73,14.50,14.53,MERC BRASIL
BMEB4,22/01/2020,14.55,14.56,14.51,14.51,MERC BRASIL
BMEB4,23/01/2020,14.52,14.68,14.52,14.54,MERC BRASIL
BMEB4,24/01/2020,14.72,14.78,14.71,14.78,MERC BRASIL
BMEB4,27/01/2020,14.56,14.89,14.50,14.70,MERC BRASIL
BMEB4,28/01/2020,14.80,14.80,14.63,14.75,MERC BRASIL
BMEB4,29/01/2020,14.70,14.81,14.58,14.80,MERC BRASIL
BMEB4,30/01/2020,14.80,15.36,14.62,15.36,MERC BRASIL
BMEB4,31/01/2020,15.36,15.38,14.50,15.38,MERC BRASIL
BMEB4,03/02/2020,15.34,15.96,14.85,15.10,MERC BRASIL
BMEB4,04/02/2020,15.06,15.29,15.06,15.29,MERC BRASIL
BMEB4,05/02/2020,15.30,15.94,15.30,15.94,MERC BRASIL
BMEB4,06/02/2020,15.96,16.50,15.80,16.30,MERC BRASIL
BMEB4,07/02/2020,16.29,16.45,16.29,16.44,MERC BRASIL
BMEB4,10/02/2020,16.00,16.30,15.62,16.00,MERC BRASIL
BMEB4,11/02/2020,16.31,16.36,15.90,16.00,MERC BRASIL
BMEB4,12/02/2020,16.28,16.30,15.75,15.75,MERC BRASIL
BMEB4,13/02/2020,15.74,15.74,15.25,15.25,MERC BRASIL
BMEB4,14/02/2020,15.30,15.30,14.48,14.51,MERC BRASIL
BMEB4,17/02/2020,14.00,14.94,14.00,14.60,MERC BRASIL
BMEB4,18/02/2020,14.50,14.70,14.21,14.58,MERC BRASIL
BMEB4,19/02/2020,14.58,14.95,14.36,14.94,MERC BRASIL
BMEB4,20/02/2020,15.00,15.98,15.00,15.05,MERC BRASIL
BMEB4,21/02/2020,15.25,16.05,15.25,15.98,MERC BRASIL
BMEB4,26/02/2020,15.00,15.50,14.50,15.39,MERC BRASIL
BMEB4,27/02/2020,14.79,15.58,14.21,15.06,MERC BRASIL
BMEB4,28/02/2020,14.90,14.99,14.30,14.89,MERC BRASIL
BMEB4,02/03/2020,15.05,15.99,14.50,15.00,MERC BRASIL
BMEB4,03/03/2020,15.28,15.28,14.89,15.00,MERC BRASIL
BMEB4,04/03/2020,15.28,15.28,14.96,15.27,MERC BRASIL
BMEB4,05/03/2020,14.65,15.19,14.64,14.89,MERC BRASIL
BMEB4,06/03/2020,14.20,14.43,13.50,14.29,MERC BRASIL
BMEB4,09/03/2020,12.86,14.00,12.75,13.52,MERC BRASIL
BMEB4,10/03/2020,13.52,14.59,13.52,14.00,MERC BRASIL
BMEB4,11/03/2020,14.05,14.05,13.30,13.88,MERC BRASIL
BMEB4,12/03/2020,13.88,13.88,12.10,13.20,MERC BRASIL
BMEB4,13/03/2020,13.20,13.90,12.00,12.95,MERC BRASIL
BMEB4,16/03/2020,11.72,12.80,11.50,11.50,MERC BRASIL
BMEB4,17/03/2020,12.00,12.00,10.90,11.50,MERC BRASIL
BMEB4,18/03/2020,11.08,11.29,10.50,10.94,MERC BRASIL
BMEB4,19/03/2020,10.80,10.80,10.31,10.31,MERC BRASIL
BMEB4,20/03/2020,10.94,11.00,10.50,10.50,MERC BRASIL
BMEB4,23/03/2020,10.20,10.20,9.20,10.19,MERC BRASIL
BMEB4,24/03/2020,11.20,11.20,9.00,9.86,MERC BRASIL
BMEB4,25/03/2020,9.83,10.28,9.77,10.28,MERC BRASIL
BMEB4,26/03/2020,10.28,11.00,10.28,10.78,MERC BRASIL
