Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BOBR4,02/01/2020,2.06,2.18,2.05,2.14,BOMBRIL
BOBR4,03/01/2020,2.09,2.30,2.06,2.30,BOMBRIL
BOBR4,06/01/2020,2.24,2.34,2.12,2.21,BOMBRIL
BOBR4,07/01/2020,2.21,2.30,2.16,2.18,BOMBRIL
BOBR4,08/01/2020,2.22,2.22,2.15,2.19,BOMBRIL
BOBR4,09/01/2020,2.21,2.27,2.20,2.20,BOMBRIL
BOBR4,10/01/2020,2.26,2.29,2.20,2.29,BOMBRIL
BOBR4,13/01/2020,2.29,2.80,2.29,2.78,BOMBRIL
BOBR4,14/01/2020,2.90,3.16,2.80,3.00,BOMBRIL
BOBR4,15/01/2020,3.08,3.10,2.81,2.90,BOMBRIL
BOBR4,16/01/2020,2.97,2.98,2.80,2.83,BOMBRIL
BOBR4,17/01/2020,2.85,2.89,2.63,2.80,BOMBRIL
BOBR4,20/01/2020,2.75,2.87,2.72,2.80,BOMBRIL
BOBR4,21/01/2020,2.85,2.85,2.68,2.69,BOMBRIL
BOBR4,22/01/2020,2.71,2.71,2.55,2.61,BOMBRIL
BOBR4,23/01/2020,2.55,2.60,2.54,2.60,BOMBRIL
BOBR4,24/01/2020,2.62,2.78,2.60,2.70,BOMBRIL
BOBR4,27/01/2020,2.60,2.72,2.55,2.56,BOMBRIL
BOBR4,28/01/2020,2.60,2.64,2.35,2.55,BOMBRIL
BOBR4,29/01/2020,2.59,2.60,2.48,2.50,BOMBRIL
BOBR4,30/01/2020,2.44,2.45,2.32,2.41,BOMBRIL
BOBR4,31/01/2020,2.41,2.45,2.35,2.43,BOMBRIL
BOBR4,03/02/2020,2.44,2.49,2.36,2.48,BOMBRIL
BOBR4,04/02/2020,2.55,2.63,2.47,2.51,BOMBRIL
BOBR4,05/02/2020,2.54,2.57,2.47,2.50,BOMBRIL
BOBR4,06/02/2020,2.57,2.57,2.47,2.49,BOMBRIL
BOBR4,07/02/2020,2.50,2.50,2.38,2.41,BOMBRIL
BOBR4,10/02/2020,2.41,2.45,2.22,2.22,BOMBRIL
BOBR4,11/02/2020,2.28,2.30,2.24,2.30,BOMBRIL
BOBR4,12/02/2020,2.31,2.37,2.30,2.37,BOMBRIL
BOBR4,13/02/2020,2.29,2.35,2.29,2.33,BOMBRIL
BOBR4,14/02/2020,2.30,2.34,2.27,2.27,BOMBRIL
BOBR4,17/02/2020,2.30,2.33,2.13,2.13,BOMBRIL
BOBR4,18/02/2020,2.19,2.19,2.06,2.15,BOMBRIL
BOBR4,19/02/2020,2.17,2.26,2.16,2.19,BOMBRIL
BOBR4,20/02/2020,2.23,2.24,2.14,2.14,BOMBRIL
BOBR4,21/02/2020,2.17,2.17,2.00,2.07,BOMBRIL
BOBR4,26/02/2020,1.99,2.00,1.89,2.00,BOMBRIL
BOBR4,27/02/2020,1.95,1.99,1.89,1.99,BOMBRIL
BOBR4,28/02/2020,1.95,1.96,1.88,1.94,BOMBRIL
BOBR4,02/03/2020,1.95,2.08,1.94,2.07,BOMBRIL
BOBR4,03/03/2020,2.08,2.15,2.01,2.03,BOMBRIL
BOBR4,04/03/2020,2.06,2.07,1.99,2.05,BOMBRIL
BOBR4,05/03/2020,2.06,2.07,1.92,1.95,BOMBRIL
BOBR4,06/03/2020,1.85,1.94,1.80,1.88,BOMBRIL
BOBR4,09/03/2020,1.75,1.76,1.60,1.66,BOMBRIL
BOBR4,10/03/2020,1.80,1.82,1.70,1.75,BOMBRIL
BOBR4,11/03/2020,1.85,1.85,1.60,1.68,BOMBRIL
BOBR4,12/03/2020,1.58,1.63,1.48,1.55,BOMBRIL
BOBR4,13/03/2020,1.65,1.70,1.56,1.56,BOMBRIL
BOBR4,16/03/2020,1.55,1.64,1.32,1.56,BOMBRIL
BOBR4,17/03/2020,1.60,1.69,1.50,1.50,BOMBRIL
BOBR4,18/03/2020,1.50,1.50,1.23,1.26,BOMBRIL
BOBR4,19/03/2020,1.30,1.39,1.14,1.33,BOMBRIL
BOBR4,20/03/2020,1.35,1.50,1.35,1.36,BOMBRIL
BOBR4,23/03/2020,1.35,1.35,1.22,1.28,BOMBRIL
BOBR4,24/03/2020,1.36,1.37,1.32,1.34,BOMBRIL
BOBR4,25/03/2020,1.35,1.39,1.32,1.36,BOMBRIL
BOBR4,26/03/2020,1.36,1.47,1.36,1.39,BOMBRIL
BOBR4,27/03/2020,1.38,1.41,1.36,1.41,BOMBRIL
BOBR4,30/03/2020,1.41,1.45,1.40,1.40,BOMBRIL
BOBR4,31/03/2020,1.39,1.40,1.34,1.34,BOMBRIL
BOBR4,01/04/2020,1.33,1.33,1.27,1.30,BOMBRIL
BOBR4,02/04/2020,1.35,1.35,1.30,1.35,BOMBRIL
BOBR4,03/04/2020,1.30,1.35,1.25,1.30,BOMBRIL
BOBR4,06/04/2020,1.35,1.43,1.25,1.38,BOMBRIL
BOBR4,07/04/2020,1.40,1.47,1.36,1.42,BOMBRIL
BOBR4,08/04/2020,1.40,1.44,1.38,1.42,BOMBRIL
BOBR4,09/04/2020,1.43,1.48,1.38,1.38,BOMBRIL
BOBR4,13/04/2020,1.40,1.47,1.40,1.46,BOMBRIL
BOBR4,14/04/2020,1.47,1.58,1.47,1.57,BOMBRIL
BOBR4,15/04/2020,1.55,1.66,1.51,1.61,BOMBRIL
BOBR4,16/04/2020,1.63,1.66,1.58,1.64,BOMBRIL
BOBR4,17/04/2020,1.65,1.66,1.58,1.64,BOMBRIL
BOBR4,20/04/2020,1.57,1.64,1.57,1.62,BOMBRIL
BOBR4,22/04/2020,1.70,1.78,1.64,1.72,BOMBRIL
BOBR4,23/04/2020,1.68,1.90,1.68,1.82,BOMBRIL
BOBR4,24/04/2020,1.76,1.88,1.65,1.69,BOMBRIL
BOBR4,27/04/2020,1.74,1.75,1.70,1.70,BOMBRIL
BOBR4,28/04/2020,1.75,1.83,1.75,1.76,BOMBRIL
BOBR4,29/04/2020,1.81,1.81,1.73,1.75,BOMBRIL
BOBR4,30/04/2020,1.78,1.78,1.70,1.72,BOMBRIL
BOBR4,04/05/2020,1.67,1.71,1.57,1.71,BOMBRIL
BOBR4,05/05/2020,1.78,1.78,1.71,1.72,BOMBRIL
BOBR4,06/05/2020,1.78,1.78,1.65,1.66,BOMBRIL
BOBR4,07/05/2020,1.67,1.67,1.60,1.60,BOMBRIL
BOBR4,08/05/2020,1.65,1.65,1.59,1.59,BOMBRIL
BOBR4,11/05/2020,1.65,1.65,1.54,1.60,BOMBRIL
BOBR4,12/05/2020,1.57,1.63,1.57,1.58,BOMBRIL
BOBR4,13/05/2020,1.57,1.57,1.49,1.51,BOMBRIL
BOBR4,14/05/2020,1.50,1.50,1.43,1.50,BOMBRIL
BOBR4,15/05/2020,1.49,1.55,1.49,1.53,BOMBRIL
BOBR4,18/05/2020,1.57,1.57,1.51,1.55,BOMBRIL
BOBR4,19/05/2020,1.53,1.56,1.50,1.53,BOMBRIL
BOBR4,20/05/2020,1.53,1.55,1.53,1.55,BOMBRIL
BOBR4,21/05/2020,1.50,1.55,1.50,1.54,BOMBRIL
BOBR4,22/05/2020,1.53,1.53,1.52,1.53,BOMBRIL
BOBR4,25/05/2020,1.53,1.56,1.49,1.56,BOMBRIL
BOBR4,26/05/2020,1.55,1.61,1.55,1.58,BOMBRIL
BOBR4,27/05/2020,1.58,1.66,1.56,1.62,BOMBRIL
BOBR4,28/05/2020,1.64,1.69,1.64,1.65,BOMBRIL
BOBR4,29/05/2020,1.69,1.69,1.62,1.63,BOMBRIL
BOBR4,01/06/2020,1.65,1.67,1.62,1.66,BOMBRIL
BOBR4,02/06/2020,1.67,1.69,1.65,1.67,BOMBRIL
