Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BOVV11,02/01/2020,117.65,119.21,116.98,119.21,IT NOW IBOV
BOVV11,03/01/2020,118.30,119.37,117.71,118.22,IT NOW IBOV
BOVV11,06/01/2020,118.00,118.27,116.14,117.39,IT NOW IBOV
BOVV11,07/01/2020,117.64,117.64,116.50,117.27,IT NOW IBOV
BOVV11,08/01/2020,117.20,117.92,116.21,116.85,IT NOW IBOV
BOVV11,09/01/2020,116.86,117.40,115.94,116.57,IT NOW IBOV
BOVV11,10/01/2020,116.79,117.33,115.45,116.12,IT NOW IBOV
BOVV11,13/01/2020,116.15,117.90,116.15,117.85,IT NOW IBOV
BOVV11,14/01/2020,117.80,118.26,117.20,118.26,IT NOW IBOV
BOVV11,15/01/2020,117.94,117.94,116.73,117.03,IT NOW IBOV
BOVV11,16/01/2020,117.59,117.70,116.43,117.31,IT NOW IBOV
BOVV11,17/01/2020,117.64,119.10,117.62,119.10,IT NOW IBOV
BOVV11,20/01/2020,118.99,119.46,118.43,119.46,IT NOW IBOV
BOVV11,21/01/2020,119.46,119.46,117.53,117.53,IT NOW IBOV
BOVV11,22/01/2020,118.64,119.01,118.07,119.01,IT NOW IBOV
BOVV11,23/01/2020,118.69,120.13,117.48,120.03,IT NOW IBOV
BOVV11,24/01/2020,120.18,120.25,118.60,118.99,IT NOW IBOV
BOVV11,27/01/2020,117.99,117.99,114.95,114.95,IT NOW IBOV
BOVV11,28/01/2020,115.05,117.32,115.05,117.09,IT NOW IBOV
BOVV11,29/01/2020,117.12,117.60,115.63,115.97,IT NOW IBOV
BOVV11,30/01/2020,114.96,116.10,113.30,116.10,IT NOW IBOV
BOVV11,31/01/2020,113.99,114.87,113.69,114.35,IT NOW IBOV
BOVV11,03/02/2020,114.15,115.85,114.05,115.11,IT NOW IBOV
BOVV11,04/02/2020,116.08,117.20,115.55,116.17,IT NOW IBOV
BOVV11,05/02/2020,117.00,118.28,116.63,116.64,IT NOW IBOV
BOVV11,06/02/2020,117.35,119.00,115.22,115.78,IT NOW IBOV
BOVV11,07/02/2020,115.78,115.78,114.24,114.24,IT NOW IBOV
BOVV11,10/02/2020,114.22,114.64,112.64,113.15,IT NOW IBOV
BOVV11,11/02/2020,114.00,116.10,114.00,115.97,IT NOW IBOV
BOVV11,12/02/2020,116.08,118.18,116.08,117.29,IT NOW IBOV
BOVV11,13/02/2020,116.50,116.50,115.33,116.13,IT NOW IBOV
BOVV11,14/02/2020,117.07,117.07,114.60,114.96,IT NOW IBOV
BOVV11,17/02/2020,115.68,116.24,115.22,115.78,IT NOW IBOV
BOVV11,18/02/2020,115.35,115.56,114.01,115.56,IT NOW IBOV
