Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRAP4,02/01/2020,38.61,38.97,38.03,38.03,BRADESPAR
BRAP4,03/01/2020,37.90,38.65,37.74,38.57,BRADESPAR
BRAP4,06/01/2020,38.40,38.75,37.97,38.75,BRADESPAR
BRAP4,07/01/2020,38.50,39.20,38.41,38.92,BRADESPAR
BRAP4,08/01/2020,39.00,39.37,38.54,38.91,BRADESPAR
BRAP4,09/01/2020,38.92,39.05,38.13,38.41,BRADESPAR
BRAP4,10/01/2020,38.43,38.92,38.15,38.29,BRADESPAR
BRAP4,13/01/2020,38.80,40.04,38.78,39.90,BRADESPAR
BRAP4,14/01/2020,40.00,40.49,39.67,40.28,BRADESPAR
BRAP4,15/01/2020,40.10,40.45,39.81,40.38,BRADESPAR
BRAP4,16/01/2020,40.55,40.73,39.91,40.24,BRADESPAR
BRAP4,17/01/2020,40.81,41.97,40.81,41.97,BRADESPAR
BRAP4,20/01/2020,41.71,42.39,41.30,42.39,BRADESPAR
BRAP4,21/01/2020,41.95,42.15,41.44,41.59,BRADESPAR
BRAP4,22/01/2020,41.95,42.25,41.58,42.25,BRADESPAR
BRAP4,23/01/2020,41.78,41.90,40.80,41.66,BRADESPAR
BRAP4,24/01/2020,41.66,41.74,40.46,40.84,BRADESPAR
BRAP4,27/01/2020,39.50,39.50,38.26,38.26,BRADESPAR
BRAP4,28/01/2020,38.64,39.10,38.19,38.25,BRADESPAR
BRAP4,29/01/2020,38.40,38.73,37.47,37.53,BRADESPAR
BRAP4,30/01/2020,37.08,37.86,36.84,37.67,BRADESPAR
BRAP4,31/01/2020,37.60,37.60,36.68,37.01,BRADESPAR
BRAP4,03/02/2020,37.23,37.77,36.68,37.68,BRADESPAR
BRAP4,04/02/2020,38.36,38.82,38.26,38.60,BRADESPAR
BRAP4,05/02/2020,39.27,39.60,38.74,38.86,BRADESPAR
BRAP4,06/02/2020,39.30,39.46,38.56,38.93,BRADESPAR
BRAP4,07/02/2020,38.81,38.88,37.82,37.82,BRADESPAR
BRAP4,10/02/2020,37.82,37.89,36.66,36.91,BRADESPAR
BRAP4,11/02/2020,37.30,38.64,37.16,38.64,BRADESPAR
BRAP4,12/02/2020,38.99,39.50,38.92,38.99,BRADESPAR
BRAP4,13/02/2020,38.42,38.58,37.85,38.18,BRADESPAR
BRAP4,14/02/2020,38.04,38.13,37.47,37.53,BRADESPAR
BRAP4,17/02/2020,37.76,39.00,37.74,39.00,BRADESPAR
BRAP4,18/02/2020,38.90,38.90,38.22,38.64,BRADESPAR
BRAP4,19/02/2020,38.80,39.08,38.31,38.98,BRADESPAR
BRAP4,20/02/2020,39.01,39.25,38.30,38.30,BRADESPAR
BRAP4,21/02/2020,38.20,38.20,36.75,37.72,BRADESPAR
BRAP4,26/02/2020,35.00,35.47,33.99,34.10,BRADESPAR
BRAP4,27/02/2020,33.95,34.06,32.65,32.89,BRADESPAR
