Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRAX11,02/01/2020,96.44,98.10,96.41,98.10,ISHARES BRAX
BRAX11,03/01/2020,98.05,98.05,96.00,97.50,ISHARES BRAX
BRAX11,06/01/2020,98.10,98.10,96.19,97.10,ISHARES BRAX
BRAX11,07/01/2020,96.65,96.80,95.87,96.80,ISHARES BRAX
BRAX11,08/01/2020,96.17,96.99,95.80,95.90,ISHARES BRAX
BRAX11,09/01/2020,96.10,96.51,95.80,95.80,ISHARES BRAX
BRAX11,10/01/2020,96.58,96.72,95.34,95.37,ISHARES BRAX
BRAX11,13/01/2020,97.00,97.70,96.33,97.10,ISHARES BRAX
BRAX11,14/01/2020,97.15,97.60,96.77,97.60,ISHARES BRAX
BRAX11,15/01/2020,97.14,97.14,96.33,96.50,ISHARES BRAX
BRAX11,16/01/2020,98.05,98.05,96.22,96.35,ISHARES BRAX
BRAX11,17/01/2020,97.43,98.40,97.30,98.40,ISHARES BRAX
BRAX11,20/01/2020,98.30,99.00,96.00,99.00,ISHARES BRAX
BRAX11,21/01/2020,99.00,100.00,97.15,97.30,ISHARES BRAX
BRAX11,22/01/2020,97.67,97.88,97.56,97.88,ISHARES BRAX
BRAX11,23/01/2020,97.51,99.35,96.96,99.35,ISHARES BRAX
BRAX11,24/01/2020,99.35,99.35,98.10,98.55,ISHARES BRAX
BRAX11,27/01/2020,96.00,96.00,95.00,95.25,ISHARES BRAX
BRAX11,28/01/2020,98.00,98.00,95.80,96.78,ISHARES BRAX
BRAX11,29/01/2020,96.52,96.66,95.51,95.51,ISHARES BRAX
BRAX11,30/01/2020,97.99,97.99,93.66,96.00,ISHARES BRAX
BRAX11,31/01/2020,98.40,98.40,94.00,94.40,ISHARES BRAX
BRAX11,03/02/2020,94.34,95.51,94.34,95.44,ISHARES BRAX
BRAX11,04/02/2020,96.50,97.99,95.80,95.80,ISHARES BRAX
BRAX11,05/02/2020,98.20,98.20,96.25,96.25,ISHARES BRAX
BRAX11,06/02/2020,98.40,98.40,95.41,96.00,ISHARES BRAX
BRAX11,07/02/2020,95.36,95.36,94.41,94.55,ISHARES BRAX
BRAX11,10/02/2020,94.66,94.66,93.00,93.36,ISHARES BRAX
BRAX11,11/02/2020,92.55,95.67,92.51,95.24,ISHARES BRAX
BRAX11,12/02/2020,95.21,97.99,95.21,96.99,ISHARES BRAX
BRAX11,13/02/2020,95.34,97.06,93.55,96.00,ISHARES BRAX
BRAX11,14/02/2020,97.01,97.01,94.65,95.30,ISHARES BRAX
BRAX11,17/02/2020,94.30,95.82,94.30,95.82,ISHARES BRAX
BRAX11,18/02/2020,95.10,95.90,94.42,95.90,ISHARES BRAX
BRAX11,19/02/2020,95.90,98.90,95.86,97.00,ISHARES BRAX
BRAX11,20/02/2020,96.50,97.50,95.00,96.00,ISHARES BRAX
BRAX11,21/02/2020,94.06,96.30,93.75,96.30,ISHARES BRAX
BRAX11,26/02/2020,94.90,94.90,87.65,88.40,ISHARES BRAX
BRAX11,27/02/2020,87.65,88.70,85.01,86.90,ISHARES BRAX
BRAX11,28/02/2020,86.90,86.90,83.33,85.68,ISHARES BRAX
BRAX11,02/03/2020,87.50,89.20,86.88,89.20,ISHARES BRAX
BRAX11,03/03/2020,88.78,90.59,87.16,88.30,ISHARES BRAX
BRAX11,04/03/2020,89.18,91.70,88.04,91.70,ISHARES BRAX
BRAX11,05/03/2020,91.50,91.50,84.00,85.99,ISHARES BRAX
BRAX11,06/03/2020,82.89,83.99,81.00,82.00,ISHARES BRAX
BRAX11,09/03/2020,79.94,79.94,70.65,73.01,ISHARES BRAX
BRAX11,10/03/2020,75.00,78.00,73.00,77.30,ISHARES BRAX
BRAX11,11/03/2020,77.30,77.30,71.02,73.00,ISHARES BRAX
BRAX11,12/03/2020,70.00,70.00,60.90,60.90,ISHARES BRAX
BRAX11,13/03/2020,70.00,71.00,62.07,67.40,ISHARES BRAX
BRAX11,16/03/2020,61.00,64.00,60.15,60.50,ISHARES BRAX
BRAX11,17/03/2020,60.14,65.09,60.00,62.55,ISHARES BRAX
BRAX11,18/03/2020,54.01,64.40,54.01,56.00,ISHARES BRAX
BRAX11,19/03/2020,56.93,61.00,50.08,57.91,ISHARES BRAX
BRAX11,20/03/2020,59.99,60.08,55.06,55.75,ISHARES BRAX
BRAX11,23/03/2020,55.00,55.00,52.00,52.10,ISHARES BRAX
BRAX11,24/03/2020,58.99,59.07,57.15,58.40,ISHARES BRAX
BRAX11,25/03/2020,59.68,63.44,58.66,63.19,ISHARES BRAX
BRAX11,26/03/2020,66.00,66.00,63.52,64.30,ISHARES BRAX
BRAX11,27/03/2020,63.00,63.16,61.40,61.85,ISHARES BRAX
BRAX11,30/03/2020,61.85,62.20,61.60,62.00,ISHARES BRAX
BRAX11,31/03/2020,61.95,62.45,61.00,61.00,ISHARES BRAX
BRAX11,01/04/2020,58.58,59.50,58.00,59.50,ISHARES BRAX
BRAX11,02/04/2020,60.00,60.67,59.73,59.90,ISHARES BRAX
BRAX11,03/04/2020,59.44,59.44,56.73,57.76,ISHARES BRAX
BRAX11,06/04/2020,66.90,66.90,60.71,62.00,ISHARES BRAX
BRAX11,07/04/2020,66.03,66.03,63.91,64.00,ISHARES BRAX
BRAX11,08/04/2020,65.50,65.75,63.60,65.75,ISHARES BRAX
BRAX11,09/04/2020,66.40,66.40,64.72,65.35,ISHARES BRAX
BRAX11,13/04/2020,66.89,66.89,63.94,65.32,ISHARES BRAX
BRAX11,14/04/2020,66.00,67.76,66.00,67.00,ISHARES BRAX
BRAX11,15/04/2020,65.47,66.51,65.22,66.25,ISHARES BRAX
BRAX11,16/04/2020,66.25,67.25,64.90,65.20,ISHARES BRAX
BRAX11,17/04/2020,66.29,66.35,65.44,66.05,ISHARES BRAX
BRAX11,20/04/2020,65.00,66.11,64.65,66.00,ISHARES BRAX
BRAX11,22/04/2020,66.56,67.50,66.56,67.50,ISHARES BRAX
BRAX11,23/04/2020,68.20,68.20,65.85,66.80,ISHARES BRAX
BRAX11,24/04/2020,65.24,65.24,60.82,63.10,ISHARES BRAX
BRAX11,27/04/2020,64.42,65.55,64.40,65.55,ISHARES BRAX
BRAX11,28/04/2020,67.35,68.00,67.05,68.00,ISHARES BRAX
BRAX11,29/04/2020,68.87,69.80,68.50,69.80,ISHARES BRAX
BRAX11,30/04/2020,67.81,68.09,66.88,66.90,ISHARES BRAX
BRAX11,04/05/2020,65.25,65.88,64.77,65.88,ISHARES BRAX
BRAX11,05/05/2020,67.11,67.16,66.08,66.50,ISHARES BRAX
BRAX11,06/05/2020,66.51,67.50,65.03,66.00,ISHARES BRAX
BRAX11,07/05/2020,66.00,66.42,65.15,65.50,ISHARES BRAX
