Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
BRFS3,02/01/2020,35.34,35.98,35.16,35.88,BRF SA
BRFS3,03/01/2020,35.25,35.98,35.12,35.94,BRF SA
BRFS3,06/01/2020,35.75,35.95,35.20,35.57,BRF SA
BRFS3,07/01/2020,35.56,35.75,35.01,35.16,BRF SA
BRFS3,08/01/2020,35.34,36.68,35.01,36.51,BRF SA
BRFS3,09/01/2020,36.68,37.09,36.61,36.84,BRF SA
BRFS3,10/01/2020,36.85,37.23,36.18,36.34,BRF SA
BRFS3,13/01/2020,36.36,36.78,36.35,36.70,BRF SA
BRFS3,14/01/2020,36.76,37.12,36.06,36.55,BRF SA
BRFS3,15/01/2020,36.60,36.88,36.10,36.47,BRF SA
BRFS3,16/01/2020,36.68,36.94,35.46,35.87,BRF SA
BRFS3,17/01/2020,36.00,36.16,35.53,35.75,BRF SA
BRFS3,20/01/2020,35.75,36.05,35.55,36.05,BRF SA
BRFS3,21/01/2020,35.89,36.34,35.26,35.43,BRF SA
BRFS3,22/01/2020,35.40,35.70,34.28,35.60,BRF SA
BRFS3,23/01/2020,35.61,35.62,34.45,34.84,BRF SA
BRFS3,24/01/2020,34.92,34.92,33.62,33.83,BRF SA
BRFS3,27/01/2020,33.20,33.20,31.51,31.78,BRF SA
BRFS3,28/01/2020,32.30,32.40,31.32,31.36,BRF SA
BRFS3,29/01/2020,31.50,31.89,30.58,31.10,BRF SA
BRFS3,30/01/2020,30.54,30.80,30.03,30.60,BRF SA
BRFS3,31/01/2020,30.21,31.00,29.95,30.55,BRF SA
BRFS3,03/02/2020,30.75,32.38,30.75,31.57,BRF SA
BRFS3,04/02/2020,32.30,32.75,31.94,32.18,BRF SA
BRFS3,05/02/2020,32.85,32.91,31.78,32.07,BRF SA
BRFS3,06/02/2020,32.30,32.63,31.85,31.85,BRF SA
BRFS3,07/02/2020,31.50,31.80,30.89,31.54,BRF SA
BRFS3,10/02/2020,31.48,31.48,30.57,30.84,BRF SA
BRFS3,11/02/2020,31.03,31.46,30.70,30.90,BRF SA
BRFS3,12/02/2020,31.00,31.85,30.96,31.25,BRF SA
BRFS3,13/02/2020,30.99,31.44,30.72,31.33,BRF SA
BRFS3,14/02/2020,31.26,31.26,30.68,30.90,BRF SA
BRFS3,17/02/2020,31.00,31.34,30.80,31.00,BRF SA
BRFS3,18/02/2020,31.00,31.00,30.24,30.85,BRF SA
BRFS3,19/02/2020,30.70,31.39,30.54,31.16,BRF SA
BRFS3,20/02/2020,31.24,31.36,30.42,30.68,BRF SA
BRFS3,21/02/2020,30.26,30.71,30.14,30.36,BRF SA
BRFS3,26/02/2020,29.01,29.37,28.10,28.45,BRF SA
BRFS3,27/02/2020,28.02,28.81,27.53,27.53,BRF SA
BRFS3,28/02/2020,27.25,27.50,25.95,27.04,BRF SA
BRFS3,02/03/2020,27.05,28.36,27.05,28.20,BRF SA
BRFS3,03/03/2020,28.49,28.70,26.15,26.15,BRF SA
BRFS3,04/03/2020,26.73,26.88,26.04,26.66,BRF SA
BRFS3,05/03/2020,26.39,26.47,24.95,25.60,BRF SA
BRFS3,06/03/2020,24.50,24.89,22.82,23.11,BRF SA
BRFS3,09/03/2020,20.60,21.32,19.00,20.00,BRF SA
BRFS3,10/03/2020,20.95,21.05,19.74,20.84,BRF SA
BRFS3,11/03/2020,20.35,20.36,17.68,18.50,BRF SA
BRFS3,12/03/2020,14.45,15.85,13.49,15.25,BRF SA
BRFS3,13/03/2020,17.99,18.13,14.90,16.49,BRF SA
BRFS3,16/03/2020,14.50,14.85,13.25,13.25,BRF SA
BRFS3,17/03/2020,13.75,15.48,13.00,14.25,BRF SA
BRFS3,18/03/2020,13.12,13.42,11.52,13.01,BRF SA
BRFS3,19/03/2020,12.60,15.30,11.71,14.90,BRF SA
BRFS3,20/03/2020,15.50,16.10,13.96,14.15,BRF SA
