Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CAMB3,02/01/2020,6.92,6.92,6.75,6.92,CAMBUCI
CAMB3,03/01/2020,6.84,7.00,6.45,7.00,CAMBUCI
CAMB3,06/01/2020,6.82,7.02,6.70,6.75,CAMBUCI
CAMB3,07/01/2020,7.00,7.00,6.57,6.79,CAMBUCI
CAMB3,08/01/2020,6.80,6.91,6.55,6.91,CAMBUCI
CAMB3,09/01/2020,6.91,6.91,6.30,6.84,CAMBUCI
CAMB3,10/01/2020,6.89,6.89,6.45,6.88,CAMBUCI
CAMB3,13/01/2020,6.80,6.81,6.50,6.50,CAMBUCI
CAMB3,14/01/2020,6.54,7.01,6.40,7.01,CAMBUCI
CAMB3,15/01/2020,7.00,7.45,6.90,7.40,CAMBUCI
CAMB3,16/01/2020,7.36,8.00,7.36,7.97,CAMBUCI
CAMB3,17/01/2020,8.00,8.41,8.00,8.41,CAMBUCI
CAMB3,20/01/2020,8.50,8.75,8.31,8.65,CAMBUCI
CAMB3,21/01/2020,8.65,8.80,8.60,8.80,CAMBUCI
CAMB3,22/01/2020,8.95,8.95,8.40,8.79,CAMBUCI
CAMB3,23/01/2020,8.35,8.90,8.35,8.90,CAMBUCI
CAMB3,24/01/2020,8.94,8.94,8.66,8.69,CAMBUCI
CAMB3,27/01/2020,8.52,8.85,8.11,8.20,CAMBUCI
CAMB3,28/01/2020,8.11,8.39,7.80,7.80,CAMBUCI
CAMB3,29/01/2020,7.85,7.98,7.20,7.95,CAMBUCI
CAMB3,30/01/2020,7.50,7.90,7.41,7.45,CAMBUCI
CAMB3,31/01/2020,7.66,7.75,7.31,7.50,CAMBUCI
CAMB3,03/02/2020,7.45,7.79,7.40,7.40,CAMBUCI
CAMB3,04/02/2020,7.40,7.50,7.30,7.30,CAMBUCI
CAMB3,05/02/2020,7.50,7.50,7.29,7.31,CAMBUCI
CAMB3,06/02/2020,7.45,7.45,7.19,7.25,CAMBUCI
CAMB3,07/02/2020,7.30,7.35,7.25,7.30,CAMBUCI
CAMB3,10/02/2020,7.40,7.40,6.87,6.95,CAMBUCI
CAMB3,11/02/2020,7.00,7.10,6.55,6.60,CAMBUCI
CAMB3,12/02/2020,6.64,7.00,6.50,7.00,CAMBUCI
CAMB3,13/02/2020,7.00,7.29,6.60,7.20,CAMBUCI
CAMB3,14/02/2020,7.40,7.40,6.91,7.15,CAMBUCI
CAMB3,17/02/2020,7.15,7.20,6.85,6.95,CAMBUCI
CAMB3,18/02/2020,6.95,7.00,6.55,6.88,CAMBUCI
CAMB3,19/02/2020,6.99,7.00,6.66,6.75,CAMBUCI
CAMB3,20/02/2020,6.60,6.79,6.56,6.60,CAMBUCI
CAMB3,21/02/2020,6.53,6.89,6.53,6.89,CAMBUCI
CAMB3,26/02/2020,6.75,6.85,6.30,6.75,CAMBUCI
CAMB3,27/02/2020,6.85,6.85,6.20,6.39,CAMBUCI
CAMB3,28/02/2020,6.31,6.98,6.06,6.55,CAMBUCI
CAMB3,02/03/2020,6.55,7.00,6.41,6.94,CAMBUCI
CAMB3,03/03/2020,6.95,7.04,6.41,6.45,CAMBUCI
CAMB3,04/03/2020,6.60,6.73,6.45,6.73,CAMBUCI
CAMB3,05/03/2020,6.74,6.95,6.42,6.59,CAMBUCI
CAMB3,06/03/2020,6.87,6.87,6.21,6.67,CAMBUCI
CAMB3,09/03/2020,6.01,6.45,5.60,6.29,CAMBUCI
CAMB3,10/03/2020,6.50,6.85,6.50,6.75,CAMBUCI
CAMB3,11/03/2020,6.60,6.60,6.01,6.50,CAMBUCI
CAMB3,12/03/2020,6.73,6.73,5.70,6.40,CAMBUCI
CAMB3,13/03/2020,6.70,6.70,6.05,6.49,CAMBUCI
CAMB3,16/03/2020,5.61,6.34,5.61,6.34,CAMBUCI
CAMB3,17/03/2020,6.39,6.39,6.00,6.37,CAMBUCI
CAMB3,18/03/2020,6.07,6.07,4.80,5.50,CAMBUCI
CAMB3,19/03/2020,5.05,5.53,5.05,5.40,CAMBUCI
CAMB3,20/03/2020,5.56,6.12,4.80,4.80,CAMBUCI
CAMB3,23/03/2020,5.00,5.00,4.15,4.45,CAMBUCI
CAMB3,24/03/2020,4.88,4.88,4.10,4.10,CAMBUCI
CAMB3,25/03/2020,4.23,4.50,4.10,4.10,CAMBUCI
CAMB3,26/03/2020,4.34,4.35,3.85,4.01,CAMBUCI
CAMB3,27/03/2020,4.00,4.26,3.95,4.26,CAMBUCI
CAMB3,30/03/2020,4.30,4.33,4.15,4.15,CAMBUCI
CAMB3,31/03/2020,4.10,4.45,4.10,4.39,CAMBUCI
CAMB3,01/04/2020,4.39,4.39,3.99,4.29,CAMBUCI
CAMB3,02/04/2020,4.28,4.28,3.95,3.95,CAMBUCI
CAMB3,03/04/2020,4.00,4.00,4.00,4.00,CAMBUCI
CAMB3,06/04/2020,4.00,4.00,3.83,3.99,CAMBUCI
CAMB3,07/04/2020,3.95,4.05,3.45,3.54,CAMBUCI
CAMB3,08/04/2020,3.48,3.51,2.95,3.00,CAMBUCI
CAMB3,09/04/2020,3.07,3.19,2.90,2.90,CAMBUCI
CAMB3,13/04/2020,2.95,2.95,2.50,2.62,CAMBUCI
CAMB3,14/04/2020,2.74,2.89,2.63,2.77,CAMBUCI
CAMB3,15/04/2020,2.69,2.80,2.58,2.67,CAMBUCI
CAMB3,16/04/2020,2.74,2.78,2.64,2.64,CAMBUCI
CAMB3,17/04/2020,2.72,2.74,2.60,2.63,CAMBUCI
CAMB3,20/04/2020,2.57,2.63,2.46,2.62,CAMBUCI
CAMB3,22/04/2020,2.60,2.69,2.50,2.61,CAMBUCI
CAMB3,23/04/2020,2.66,2.69,2.57,2.60,CAMBUCI
CAMB3,24/04/2020,2.60,2.60,2.27,2.33,CAMBUCI
CAMB3,27/04/2020,2.37,2.50,2.30,2.38,CAMBUCI
CAMB3,28/04/2020,2.45,2.54,2.39,2.45,CAMBUCI
CAMB3,29/04/2020,2.51,2.87,2.51,2.79,CAMBUCI
CAMB3,30/04/2020,2.70,2.90,2.65,2.76,CAMBUCI
CAMB3,04/05/2020,2.71,2.71,2.59,2.62,CAMBUCI
CAMB3,05/05/2020,2.71,2.76,2.62,2.68,CAMBUCI
CAMB3,06/05/2020,2.75,3.00,2.70,2.89,CAMBUCI
CAMB3,07/05/2020,3.00,3.01,2.70,2.75,CAMBUCI
CAMB3,08/05/2020,2.76,2.80,2.52,2.60,CAMBUCI
CAMB3,11/05/2020,2.60,2.70,2.49,2.53,CAMBUCI
CAMB3,12/05/2020,2.52,2.62,2.41,2.41,CAMBUCI
CAMB3,13/05/2020,2.44,2.48,2.35,2.40,CAMBUCI
CAMB3,14/05/2020,2.33,2.52,2.33,2.39,CAMBUCI
CAMB3,15/05/2020,2.38,2.40,2.36,2.36,CAMBUCI
CAMB3,18/05/2020,2.50,2.50,2.38,2.43,CAMBUCI
CAMB3,19/05/2020,2.48,2.65,2.45,2.50,CAMBUCI
CAMB3,20/05/2020,2.50,2.64,2.47,2.52,CAMBUCI
CAMB3,21/05/2020,2.58,2.67,2.52,2.57,CAMBUCI
CAMB3,22/05/2020,2.56,2.67,2.53,2.59,CAMBUCI
CAMB3,25/05/2020,2.60,2.74,2.56,2.63,CAMBUCI
CAMB3,26/05/2020,2.71,2.74,2.63,2.71,CAMBUCI
CAMB3,27/05/2020,2.75,2.84,2.71,2.80,CAMBUCI
CAMB3,28/05/2020,2.80,3.08,2.77,3.01,CAMBUCI
CAMB3,29/05/2020,3.01,3.29,3.01,3.10,CAMBUCI
CAMB3,01/06/2020,3.20,3.88,3.19,3.80,CAMBUCI
CAMB3,02/06/2020,3.93,4.60,3.91,3.97,CAMBUCI
CAMB3,03/06/2020,4.15,4.35,3.75,3.77,CAMBUCI
CAMB3,04/06/2020,3.80,3.85,3.45,3.82,CAMBUCI
CAMB3,05/06/2020,4.15,4.20,3.77,3.88,CAMBUCI
CAMB3,08/06/2020,4.26,4.42,4.00,4.25,CAMBUCI
CAMB3,09/06/2020,4.20,4.20,4.02,4.15,CAMBUCI
CAMB3,10/06/2020,4.27,4.27,4.06,4.10,CAMBUCI
CAMB3,12/06/2020,3.93,4.55,3.80,4.30,CAMBUCI
CAMB3,15/06/2020,4.35,4.49,4.05,4.39,CAMBUCI
