Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CCRO3,02/01/2020,19.17,19.26,18.91,19.00,CCR SA
CCRO3,03/01/2020,18.90,19.08,18.72,18.79,CCR SA
CCRO3,06/01/2020,18.75,18.81,18.28,18.31,CCR SA
CCRO3,07/01/2020,18.28,18.90,18.15,18.72,CCR SA
CCRO3,08/01/2020,18.90,18.90,18.30,18.59,CCR SA
CCRO3,09/01/2020,18.51,18.63,18.06,18.14,CCR SA
CCRO3,10/01/2020,18.18,18.45,18.02,18.17,CCR SA
CCRO3,13/01/2020,18.16,18.30,17.94,18.30,CCR SA
CCRO3,14/01/2020,18.36,19.04,18.21,18.91,CCR SA
CCRO3,15/01/2020,18.89,19.09,18.51,18.51,CCR SA
CCRO3,16/01/2020,18.64,18.90,18.42,18.78,CCR SA
CCRO3,17/01/2020,18.84,19.15,18.73,19.03,CCR SA
CCRO3,20/01/2020,19.13,19.50,18.96,19.45,CCR SA
CCRO3,21/01/2020,19.41,19.58,19.28,19.44,CCR SA
CCRO3,22/01/2020,19.60,19.60,19.20,19.30,CCR SA
CCRO3,23/01/2020,19.16,20.08,18.92,20.08,CCR SA
CCRO3,24/01/2020,20.01,20.02,19.70,19.82,CCR SA
CCRO3,27/01/2020,19.60,19.60,19.23,19.42,CCR SA
CCRO3,28/01/2020,19.34,19.70,19.32,19.45,CCR SA
CCRO3,29/01/2020,19.54,19.63,18.81,19.00,CCR SA
CCRO3,30/01/2020,18.63,18.81,18.34,18.80,CCR SA
CCRO3,31/01/2020,18.34,18.71,18.07,18.24,CCR SA
CCRO3,03/02/2020,18.28,18.65,18.12,18.45,CCR SA
CCRO3,04/02/2020,18.56,18.66,18.10,18.10,CCR SA
CCRO3,05/02/2020,18.35,18.49,17.99,18.35,CCR SA
CCRO3,06/02/2020,18.55,18.64,17.70,17.80,CCR SA
CCRO3,07/02/2020,17.79,17.79,17.25,17.28,CCR SA
CCRO3,10/02/2020,17.24,17.46,17.02,17.26,CCR SA
CCRO3,11/02/2020,17.40,18.03,17.38,17.96,CCR SA
CCRO3,12/02/2020,18.01,18.40,17.69,18.16,CCR SA
CCRO3,13/02/2020,17.90,18.12,17.71,18.00,CCR SA
CCRO3,14/02/2020,18.00,18.07,17.83,17.90,CCR SA
CCRO3,17/02/2020,17.94,18.02,17.74,17.94,CCR SA
CCRO3,18/02/2020,17.70,18.12,17.57,18.12,CCR SA
CCRO3,19/02/2020,18.03,18.86,17.93,18.76,CCR SA
CCRO3,20/02/2020,18.68,18.98,18.20,18.41,CCR SA
CCRO3,21/02/2020,18.20,18.28,17.83,18.15,CCR SA
CCRO3,26/02/2020,17.11,17.46,16.34,16.63,CCR SA
CCRO3,27/02/2020,16.37,16.67,15.84,15.84,CCR SA
CCRO3,28/02/2020,15.90,16.33,15.45,16.33,CCR SA
CCRO3,02/03/2020,16.20,16.85,16.03,16.64,CCR SA
CCRO3,03/03/2020,16.40,17.08,16.20,16.44,CCR SA
CCRO3,04/03/2020,16.80,16.90,16.20,16.55,CCR SA
CCRO3,05/03/2020,16.29,16.36,15.24,15.35,CCR SA
CCRO3,06/03/2020,14.45,14.91,14.22,14.41,CCR SA
CCRO3,09/03/2020,13.45,13.58,12.50,12.70,CCR SA
CCRO3,10/03/2020,13.17,15.12,13.17,14.90,CCR SA
CCRO3,11/03/2020,14.05,14.56,13.09,14.11,CCR SA
CCRO3,12/03/2020,12.50,13.58,11.77,11.87,CCR SA
CCRO3,13/03/2020,13.25,14.57,12.01,14.50,CCR SA
CCRO3,16/03/2020,12.50,12.92,11.82,11.90,CCR SA
CCRO3,17/03/2020,12.05,13.19,11.44,12.05,CCR SA
CCRO3,18/03/2020,10.75,11.15,10.03,10.68,CCR SA
CCRO3,19/03/2020,10.30,11.06,9.42,10.52,CCR SA
CCRO3,20/03/2020,11.00,11.40,10.00,10.36,CCR SA
CCRO3,23/03/2020,10.30,10.38,9.06,9.92,CCR SA
CCRO3,24/03/2020,10.51,12.29,10.51,11.88,CCR SA
CCRO3,25/03/2020,11.81,13.70,11.38,13.20,CCR SA
CCRO3,26/03/2020,13.42,14.36,13.11,13.82,CCR SA
CCRO3,27/03/2020,13.15,13.35,12.40,12.73,CCR SA
CCRO3,30/03/2020,12.73,13.03,12.17,12.29,CCR SA
CCRO3,31/03/2020,12.19,12.45,11.64,11.73,CCR SA
CCRO3,01/04/2020,11.26,12.04,11.10,11.63,CCR SA
CCRO3,02/04/2020,11.62,11.95,11.07,11.44,CCR SA
CCRO3,03/04/2020,11.30,11.31,10.42,11.25,CCR SA
CCRO3,06/04/2020,11.83,12.56,11.62,12.04,CCR SA
CCRO3,07/04/2020,12.88,12.97,12.05,12.13,CCR SA
CCRO3,08/04/2020,12.06,12.82,11.84,12.40,CCR SA
CCRO3,09/04/2020,12.50,13.32,12.24,12.81,CCR SA
CCRO3,13/04/2020,12.44,12.70,12.01,12.50,CCR SA
CCRO3,14/04/2020,12.66,13.12,12.53,12.92,CCR SA
CCRO3,15/04/2020,12.74,13.15,12.55,12.77,CCR SA
CCRO3,16/04/2020,12.80,12.92,12.07,12.26,CCR SA
CCRO3,17/04/2020,12.51,12.91,12.30,12.69,CCR SA
CCRO3,20/04/2020,12.40,13.30,12.36,13.14,CCR SA
CCRO3,22/04/2020,13.10,13.80,13.00,13.29,CCR SA
CCRO3,23/04/2020,13.37,13.65,12.64,13.09,CCR SA
CCRO3,24/04/2020,12.62,12.66,11.21,12.04,CCR SA
CCRO3,27/04/2020,12.32,12.60,12.03,12.31,CCR SA
CCRO3,28/04/2020,12.72,13.08,12.52,12.84,CCR SA
CCRO3,29/04/2020,12.93,13.34,12.75,13.08,CCR SA
CCRO3,30/04/2020,12.88,13.06,12.27,12.35,CCR SA
CCRO3,04/05/2020,11.68,12.29,11.67,12.18,CCR SA
CCRO3,05/05/2020,12.35,12.72,12.26,12.50,CCR SA
CCRO3,06/05/2020,12.49,12.62,12.24,12.29,CCR SA
CCRO3,07/05/2020,12.30,12.39,11.42,11.42,CCR SA
CCRO3,08/05/2020,11.71,12.00,11.24,11.42,CCR SA
CCRO3,11/05/2020,11.43,11.73,11.05,11.24,CCR SA
CCRO3,12/05/2020,11.27,11.81,10.99,10.99,CCR SA
CCRO3,13/05/2020,11.14,11.34,10.84,10.91,CCR SA
CCRO3,14/05/2020,10.80,11.46,10.61,11.46,CCR SA
CCRO3,15/05/2020,11.40,11.61,10.97,10.97,CCR SA
CCRO3,18/05/2020,11.45,11.92,11.32,11.83,CCR SA
CCRO3,19/05/2020,11.83,12.73,11.77,12.12,CCR SA
CCRO3,20/05/2020,12.35,12.93,12.21,12.70,CCR SA
CCRO3,21/05/2020,12.71,14.32,12.61,14.18,CCR SA
CCRO3,22/05/2020,14.03,14.11,13.47,13.47,CCR SA
CCRO3,25/05/2020,13.91,14.64,13.91,14.30,CCR SA
CCRO3,26/05/2020,14.95,16.10,14.52,14.69,CCR SA
CCRO3,27/05/2020,15.09,15.09,14.49,14.70,CCR SA
CCRO3,28/05/2020,14.52,15.19,14.34,14.78,CCR SA
CCRO3,29/05/2020,14.75,15.00,14.48,14.70,CCR SA
CCRO3,01/06/2020,14.50,14.74,14.28,14.59,CCR SA
CCRO3,02/06/2020,14.63,14.95,14.42,14.50,CCR SA
CCRO3,03/06/2020,14.81,15.76,14.68,15.15,CCR SA
CCRO3,04/06/2020,15.15,15.61,14.51,14.69,CCR SA
CCRO3,05/06/2020,15.25,15.29,14.60,14.60,CCR SA
CCRO3,08/06/2020,14.85,15.29,14.80,14.94,CCR SA
CCRO3,09/06/2020,14.67,14.91,14.36,14.48,CCR SA
CCRO3,10/06/2020,14.67,14.80,13.85,14.35,CCR SA
CCRO3,12/06/2020,13.82,14.37,13.55,14.36,CCR SA
CCRO3,15/06/2020,13.98,14.40,13.71,14.22,CCR SA
CCRO3,16/06/2020,14.53,14.79,13.91,13.98,CCR SA
