Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CESP3,02/01/2020,32.20,32.90,31.34,31.99,CESP
CESP3,03/01/2020,31.61,32.40,31.61,32.40,CESP
CESP3,06/01/2020,32.40,32.50,31.97,32.30,CESP
CESP3,07/01/2020,32.30,32.30,31.14,31.14,CESP
CESP3,08/01/2020,31.15,31.30,30.69,30.79,CESP
CESP3,09/01/2020,30.61,31.68,29.80,31.28,CESP
CESP3,10/01/2020,31.70,31.74,31.16,31.73,CESP
CESP3,13/01/2020,31.32,31.96,31.21,31.74,CESP
CESP3,14/01/2020,31.70,31.70,31.05,31.54,CESP
CESP3,15/01/2020,31.54,31.90,31.32,31.62,CESP
CESP3,16/01/2020,31.70,31.88,31.21,31.88,CESP
CESP3,17/01/2020,31.53,31.59,31.25,31.55,CESP
CESP3,20/01/2020,31.53,31.69,31.30,31.50,CESP
CESP3,21/01/2020,31.78,31.97,31.09,31.66,CESP
CESP3,22/01/2020,31.66,31.94,31.01,31.01,CESP
CESP3,23/01/2020,31.29,31.55,30.91,31.49,CESP
CESP3,24/01/2020,31.80,31.96,31.73,31.90,CESP
CESP3,27/01/2020,31.69,31.90,31.66,31.89,CESP
CESP3,28/01/2020,31.70,32.65,31.49,32.65,CESP
CESP3,29/01/2020,32.65,32.80,32.46,32.76,CESP
CESP3,30/01/2020,32.34,32.97,31.70,32.97,CESP
CESP3,31/01/2020,32.55,32.55,31.25,32.50,CESP
CESP3,03/02/2020,32.00,32.00,31.40,31.84,CESP
CESP3,04/02/2020,31.94,32.00,31.93,31.99,CESP
CESP3,05/02/2020,32.00,32.19,31.95,32.11,CESP
CESP3,06/02/2020,32.16,32.68,32.00,32.29,CESP
CESP3,07/02/2020,32.29,32.30,32.00,32.28,CESP
CESP3,10/02/2020,31.92,32.19,31.83,32.00,CESP
CESP3,11/02/2020,32.00,32.26,31.99,31.99,CESP
CESP3,12/02/2020,32.00,32.39,31.90,32.00,CESP
CESP3,13/02/2020,32.00,32.20,31.95,32.00,CESP
CESP3,14/02/2020,31.60,32.12,31.60,32.11,CESP
CESP3,17/02/2020,32.18,32.39,32.00,32.00,CESP
CESP3,18/02/2020,32.95,33.98,32.71,33.90,CESP
CESP3,19/02/2020,33.98,34.50,33.98,34.49,CESP
CESP3,20/02/2020,34.77,34.77,33.70,34.60,CESP
CESP3,21/02/2020,34.31,34.67,34.30,34.66,CESP
CESP3,26/02/2020,33.17,34.00,33.17,33.93,CESP
CESP3,27/02/2020,33.15,34.10,32.35,33.90,CESP
CESP3,28/02/2020,33.90,33.90,31.72,32.90,CESP
CESP3,02/03/2020,32.90,34.00,32.69,34.00,CESP
CESP3,03/03/2020,34.45,34.49,33.51,34.00,CESP
CESP3,04/03/2020,34.71,35.00,33.78,35.00,CESP
CESP3,05/03/2020,34.90,34.99,33.88,34.99,CESP
CESP3,06/03/2020,34.24,34.48,33.06,34.00,CESP
CESP3,09/03/2020,33.90,33.90,29.46,32.80,CESP
CESP3,10/03/2020,32.80,32.80,29.71,31.79,CESP
CESP3,11/03/2020,31.00,31.91,29.00,29.70,CESP
CESP3,12/03/2020,28.98,28.98,26.59,28.74,CESP
CESP3,13/03/2020,29.00,29.99,27.23,29.99,CESP
CESP3,16/03/2020,29.36,29.36,27.52,27.58,CESP
CESP3,17/03/2020,27.30,28.40,26.99,28.29,CESP
CESP3,18/03/2020,27.07,28.10,24.73,28.10,CESP
CESP3,19/03/2020,27.40,27.40,25.85,26.90,CESP
CESP3,20/03/2020,28.11,28.11,25.47,25.99,CESP
CESP3,23/03/2020,25.23,25.46,24.35,24.90,CESP
CESP3,24/03/2020,25.64,26.79,25.64,26.30,CESP
CESP3,25/03/2020,25.55,27.97,25.18,26.50,CESP
CESP3,26/03/2020,27.11,27.88,26.66,27.40,CESP
CESP3,27/03/2020,27.10,27.87,27.02,27.86,CESP
CESP3,30/03/2020,27.90,27.90,27.45,27.85,CESP
CESP3,31/03/2020,27.90,28.39,27.48,27.90,CESP
CESP3,01/04/2020,27.80,27.93,27.05,27.93,CESP
CESP3,02/04/2020,29.50,29.50,27.50,27.80,CESP
CESP3,03/04/2020,26.00,26.00,24.12,25.16,CESP
CESP3,06/04/2020,25.26,25.80,25.26,25.52,CESP
CESP3,07/04/2020,26.00,27.00,25.80,25.80,CESP
CESP3,08/04/2020,25.80,26.20,25.43,26.00,CESP
CESP3,09/04/2020,25.65,26.78,25.65,26.48,CESP
CESP3,13/04/2020,26.34,26.78,26.20,26.20,CESP
CESP3,14/04/2020,26.50,26.69,26.10,26.10,CESP
CESP3,15/04/2020,26.10,26.40,25.94,26.10,CESP
CESP3,16/04/2020,26.00,26.19,26.00,26.17,CESP
CESP3,17/04/2020,26.18,26.27,25.98,25.98,CESP
CESP3,20/04/2020,26.14,27.19,25.89,27.00,CESP
CESP3,22/04/2020,27.00,27.00,26.77,27.00,CESP
CESP3,23/04/2020,27.00,27.40,26.86,26.99,CESP
CESP3,24/04/2020,27.00,27.00,24.39,25.78,CESP
CESP3,27/04/2020,27.12,27.12,26.23,26.79,CESP
CESP3,28/04/2020,26.50,28.00,26.50,27.99,CESP
CESP3,29/04/2020,27.94,28.48,27.94,28.44,CESP
CESP3,30/04/2020,28.55,29.25,27.36,28.57,CESP
CESP3,04/05/2020,27.79,28.98,27.78,28.85,CESP
CESP3,05/05/2020,28.86,29.11,28.00,28.00,CESP
CESP3,06/05/2020,27.86,27.93,27.11,27.50,CESP
CESP3,07/05/2020,27.36,27.36,25.95,26.70,CESP
