Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CGAS5,02/01/2020,142.50,144.50,139.00,142.60,COMGAS
CGAS5,03/01/2020,141.05,144.44,141.05,144.44,COMGAS
CGAS5,06/01/2020,142.84,147.00,142.84,145.99,COMGAS
CGAS5,07/01/2020,150.61,166.00,150.58,164.03,COMGAS
CGAS5,08/01/2020,175.48,179.43,158.02,162.97,COMGAS
CGAS5,09/01/2020,166.14,182.39,163.00,180.23,COMGAS
CGAS5,10/01/2020,181.98,220.00,173.00,217.00,COMGAS
CGAS5,13/01/2020,214.99,217.34,194.00,213.50,COMGAS
CGAS5,14/01/2020,213.49,262.50,213.49,245.70,COMGAS
CGAS5,15/01/2020,245.92,259.00,222.99,229.00,COMGAS
CGAS5,16/01/2020,230.00,249.99,227.00,230.00,COMGAS
CGAS5,17/01/2020,232.06,232.06,217.00,220.00,COMGAS
CGAS5,20/01/2020,220.00,220.00,196.11,198.00,COMGAS
CGAS5,21/01/2020,196.99,196.99,175.00,191.99,COMGAS
CGAS5,22/01/2020,186.03,204.00,185.00,200.93,COMGAS
CGAS5,23/01/2020,197.49,214.99,192.02,210.00,COMGAS
CGAS5,24/01/2020,212.99,214.00,208.00,208.30,COMGAS
CGAS5,27/01/2020,200.02,208.48,199.24,203.98,COMGAS
CGAS5,28/01/2020,200.01,207.07,198.10,206.97,COMGAS
CGAS5,29/01/2020,207.35,213.99,205.15,206.00,COMGAS
CGAS5,30/01/2020,205.99,210.98,201.00,207.01,COMGAS
CGAS5,31/01/2020,204.99,204.99,199.00,200.11,COMGAS
CGAS5,03/02/2020,200.00,210.00,194.21,207.50,COMGAS
CGAS5,04/02/2020,211.49,211.50,204.01,208.00,COMGAS
CGAS5,05/02/2020,208.00,208.36,206.13,207.01,COMGAS
CGAS5,06/02/2020,208.04,208.39,204.66,207.59,COMGAS
CGAS5,07/02/2020,204.66,206.75,204.00,206.00,COMGAS
CGAS5,10/02/2020,206.00,206.00,200.29,204.50,COMGAS
CGAS5,11/02/2020,206.99,225.95,205.92,224.00,COMGAS
CGAS5,12/02/2020,225.01,229.00,208.43,211.00,COMGAS
CGAS5,13/02/2020,208.01,214.49,208.01,214.49,COMGAS
CGAS5,14/02/2020,215.46,215.46,199.25,204.00,COMGAS
CGAS5,17/02/2020,207.00,211.17,207.00,207.65,COMGAS
CGAS5,18/02/2020,203.51,208.50,203.51,207.80,COMGAS
CGAS5,19/02/2020,210.00,210.85,203.11,207.19,COMGAS
CGAS5,20/02/2020,209.97,209.97,203.33,205.95,COMGAS
CGAS5,21/02/2020,206.99,206.99,201.04,204.00,COMGAS
CGAS5,26/02/2020,201.00,201.84,191.29,199.99,COMGAS
CGAS5,27/02/2020,190.93,203.98,190.93,203.19,COMGAS
CGAS5,28/02/2020,198.27,209.77,194.88,201.70,COMGAS
CGAS5,02/03/2020,204.84,207.90,204.84,205.00,COMGAS
CGAS5,03/03/2020,207.67,207.67,203.18,204.30,COMGAS
CGAS5,04/03/2020,205.87,207.38,200.10,206.29,COMGAS
CGAS5,05/03/2020,201.52,203.00,185.01,197.00,COMGAS
CGAS5,06/03/2020,195.96,195.98,188.59,194.94,COMGAS
CGAS5,09/03/2020,187.67,187.67,152.00,168.00,COMGAS
CGAS5,10/03/2020,179.49,201.62,172.11,200.99,COMGAS
CGAS5,11/03/2020,193.50,193.50,176.02,190.98,COMGAS
CGAS5,12/03/2020,160.01,172.50,153.01,170.00,COMGAS
CGAS5,13/03/2020,175.27,180.00,164.78,164.78,COMGAS
CGAS5,16/03/2020,157.00,166.27,150.00,150.06,COMGAS
CGAS5,17/03/2020,156.01,171.89,155.00,165.50,COMGAS
CGAS5,18/03/2020,156.01,157.00,147.00,150.00,COMGAS
CGAS5,19/03/2020,140.85,150.01,136.00,150.00,COMGAS
CGAS5,20/03/2020,153.00,171.01,140.00,148.97,COMGAS
CGAS5,23/03/2020,148.01,150.00,137.31,142.00,COMGAS
CGAS5,24/03/2020,156.95,156.95,144.47,148.00,COMGAS
CGAS5,25/03/2020,148.00,154.99,148.00,154.80,COMGAS
