Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CGRA4,02/01/2020,29.60,29.87,29.36,29.87,GRAZZIOTIN
CGRA4,03/01/2020,29.36,30.29,29.36,29.75,GRAZZIOTIN
CGRA4,06/01/2020,29.40,29.48,29.35,29.48,GRAZZIOTIN
CGRA4,07/01/2020,29.36,29.73,29.00,29.32,GRAZZIOTIN
CGRA4,08/01/2020,29.36,29.73,28.31,29.73,GRAZZIOTIN
CGRA4,09/01/2020,29.16,29.16,28.71,28.71,GRAZZIOTIN
CGRA4,10/01/2020,28.90,29.69,28.76,29.22,GRAZZIOTIN
CGRA4,13/01/2020,29.25,29.68,28.75,29.68,GRAZZIOTIN
CGRA4,14/01/2020,29.67,29.68,29.06,29.50,GRAZZIOTIN
CGRA4,15/01/2020,29.31,29.59,29.13,29.51,GRAZZIOTIN
CGRA4,16/01/2020,29.53,29.53,29.10,29.35,GRAZZIOTIN
CGRA4,17/01/2020,29.58,29.73,29.58,29.73,GRAZZIOTIN
CGRA4,20/01/2020,29.72,29.80,29.45,29.80,GRAZZIOTIN
CGRA4,21/01/2020,29.16,30.00,29.16,29.55,GRAZZIOTIN
CGRA4,22/01/2020,30.00,33.32,30.00,32.78,GRAZZIOTIN
CGRA4,23/01/2020,32.69,35.00,32.50,33.40,GRAZZIOTIN
CGRA4,24/01/2020,33.98,33.98,32.99,33.10,GRAZZIOTIN
CGRA4,27/01/2020,31.99,32.60,31.65,32.60,GRAZZIOTIN
CGRA4,28/01/2020,33.00,34.03,32.10,33.58,GRAZZIOTIN
CGRA4,29/01/2020,33.31,34.00,33.30,33.71,GRAZZIOTIN
CGRA4,30/01/2020,33.01,33.33,32.49,33.33,GRAZZIOTIN
CGRA4,31/01/2020,33.29,33.56,32.99,33.00,GRAZZIOTIN
CGRA4,03/02/2020,32.05,33.00,30.99,32.81,GRAZZIOTIN
CGRA4,04/02/2020,33.00,33.83,33.00,33.63,GRAZZIOTIN
CGRA4,05/02/2020,33.63,34.98,33.63,34.50,GRAZZIOTIN
CGRA4,06/02/2020,33.50,34.80,33.01,34.00,GRAZZIOTIN
CGRA4,07/02/2020,34.26,34.26,32.79,32.91,GRAZZIOTIN
CGRA4,10/02/2020,31.95,32.78,30.31,32.02,GRAZZIOTIN
CGRA4,11/02/2020,32.97,33.53,32.94,33.00,GRAZZIOTIN
CGRA4,12/02/2020,33.59,33.74,32.51,32.65,GRAZZIOTIN
CGRA4,13/02/2020,33.22,33.32,32.21,33.00,GRAZZIOTIN
CGRA4,14/02/2020,33.20,33.32,32.63,33.29,GRAZZIOTIN
CGRA4,17/02/2020,33.49,33.99,33.23,33.79,GRAZZIOTIN
CGRA4,18/02/2020,33.78,33.78,33.13,33.69,GRAZZIOTIN
CGRA4,19/02/2020,33.50,34.00,33.31,33.75,GRAZZIOTIN
CGRA4,20/02/2020,32.75,34.29,32.75,33.62,GRAZZIOTIN
CGRA4,21/02/2020,33.41,34.24,33.41,33.50,GRAZZIOTIN
CGRA4,26/02/2020,33.00,33.00,31.21,32.00,GRAZZIOTIN
CGRA4,27/02/2020,32.00,32.08,31.30,32.00,GRAZZIOTIN
CGRA4,28/02/2020,31.34,33.10,29.59,33.00,GRAZZIOTIN
CGRA4,02/03/2020,32.05,34.50,32.01,34.50,GRAZZIOTIN
CGRA4,03/03/2020,34.03,34.49,32.05,32.05,GRAZZIOTIN
CGRA4,04/03/2020,32.58,33.50,32.11,32.50,GRAZZIOTIN
CGRA4,05/03/2020,32.03,32.20,30.00,30.00,GRAZZIOTIN
CGRA4,06/03/2020,29.36,30.69,29.35,29.68,GRAZZIOTIN
CGRA4,09/03/2020,27.74,27.74,26.49,26.74,GRAZZIOTIN
CGRA4,10/03/2020,27.50,29.80,26.23,29.80,GRAZZIOTIN
CGRA4,11/03/2020,29.78,29.78,26.76,26.76,GRAZZIOTIN
CGRA4,12/03/2020,25.99,25.99,21.49,24.00,GRAZZIOTIN
CGRA4,13/03/2020,25.75,25.99,24.86,25.97,GRAZZIOTIN
CGRA4,16/03/2020,23.23,24.00,21.99,23.92,GRAZZIOTIN
CGRA4,17/03/2020,26.00,26.00,23.20,23.55,GRAZZIOTIN
CGRA4,18/03/2020,23.00,23.40,20.90,21.99,GRAZZIOTIN
CGRA4,19/03/2020,20.43,21.49,19.20,21.49,GRAZZIOTIN
CGRA4,20/03/2020,21.45,23.00,19.81,21.44,GRAZZIOTIN
CGRA4,23/03/2020,19.41,20.00,19.07,20.00,GRAZZIOTIN
CGRA4,24/03/2020,20.01,21.50,19.46,21.50,GRAZZIOTIN
CGRA4,25/03/2020,21.90,24.00,21.61,23.80,GRAZZIOTIN
CGRA4,26/03/2020,23.10,26.48,23.10,25.49,GRAZZIOTIN
CGRA4,27/03/2020,25.00,25.01,24.20,25.01,GRAZZIOTIN
CGRA4,30/03/2020,25.30,25.35,23.83,24.73,GRAZZIOTIN
CGRA4,31/03/2020,24.73,26.07,24.35,25.59,GRAZZIOTIN
CGRA4,01/04/2020,24.61,24.61,23.20,23.90,GRAZZIOTIN
CGRA4,02/04/2020,24.40,24.40,22.11,22.80,GRAZZIOTIN
CGRA4,03/04/2020,22.00,22.39,21.65,21.77,GRAZZIOTIN
CGRA4,06/04/2020,21.60,22.51,21.60,21.61,GRAZZIOTIN
CGRA4,07/04/2020,22.62,22.62,20.25,20.50,GRAZZIOTIN
CGRA4,08/04/2020,20.50,21.80,19.60,21.40,GRAZZIOTIN
CGRA4,09/04/2020,21.01,22.14,21.00,22.14,GRAZZIOTIN
CGRA4,13/04/2020,22.32,22.32,21.71,21.80,GRAZZIOTIN
CGRA4,14/04/2020,21.93,23.45,21.93,22.27,GRAZZIOTIN
CGRA4,15/04/2020,22.40,24.30,22.20,24.30,GRAZZIOTIN
CGRA4,16/04/2020,23.99,24.19,23.38,23.98,GRAZZIOTIN
CGRA4,17/04/2020,24.01,24.69,23.40,24.68,GRAZZIOTIN
CGRA4,20/04/2020,24.50,24.59,23.91,24.48,GRAZZIOTIN
CGRA4,22/04/2020,24.00,24.60,24.00,24.29,GRAZZIOTIN
CGRA4,23/04/2020,24.40,25.00,24.06,24.49,GRAZZIOTIN
CGRA4,24/04/2020,24.50,24.96,22.41,24.78,GRAZZIOTIN
CGRA4,27/04/2020,24.99,24.99,23.80,24.50,GRAZZIOTIN
CGRA4,28/04/2020,24.50,24.60,24.26,24.50,GRAZZIOTIN
CGRA4,29/04/2020,25.00,25.00,24.20,24.78,GRAZZIOTIN
CGRA4,30/04/2020,24.49,24.97,24.15,24.97,GRAZZIOTIN
CGRA4,04/05/2020,24.30,24.93,24.20,24.92,GRAZZIOTIN
CGRA4,05/05/2020,24.95,24.95,24.38,24.60,GRAZZIOTIN
CGRA4,06/05/2020,24.55,24.55,23.80,23.82,GRAZZIOTIN
CGRA4,07/05/2020,24.49,24.49,22.67,22.99,GRAZZIOTIN
CGRA4,08/05/2020,22.99,24.00,22.99,23.98,GRAZZIOTIN
CGRA4,11/05/2020,24.05,24.13,23.40,23.54,GRAZZIOTIN
CGRA4,12/05/2020,23.90,23.90,23.10,23.10,GRAZZIOTIN
CGRA4,13/05/2020,23.09,23.25,22.34,22.95,GRAZZIOTIN
CGRA4,14/05/2020,23.10,23.28,22.41,22.41,GRAZZIOTIN
CGRA4,15/05/2020,22.36,23.11,22.20,22.60,GRAZZIOTIN
CGRA4,18/05/2020,23.60,23.60,23.23,23.50,GRAZZIOTIN
CGRA4,19/05/2020,23.58,23.58,22.75,22.80,GRAZZIOTIN
CGRA4,20/05/2020,23.45,23.45,22.81,23.05,GRAZZIOTIN
CGRA4,21/05/2020,23.56,24.21,23.51,24.00,GRAZZIOTIN
CGRA4,22/05/2020,24.00,24.50,23.20,24.00,GRAZZIOTIN
CGRA4,25/05/2020,24.85,24.92,24.52,24.92,GRAZZIOTIN
CGRA4,26/05/2020,24.92,25.01,24.80,25.00,GRAZZIOTIN
CGRA4,27/05/2020,25.00,25.79,24.62,25.10,GRAZZIOTIN
CGRA4,28/05/2020,25.10,25.10,24.50,24.80,GRAZZIOTIN
CGRA4,29/05/2020,24.80,25.99,24.80,25.99,GRAZZIOTIN
CGRA4,01/06/2020,25.99,26.47,25.41,26.20,GRAZZIOTIN
CGRA4,02/06/2020,26.22,26.50,26.00,26.03,GRAZZIOTIN
CGRA4,03/06/2020,26.25,26.50,26.00,26.26,GRAZZIOTIN
CGRA4,04/06/2020,26.19,26.28,26.00,26.12,GRAZZIOTIN
CGRA4,05/06/2020,26.42,27.05,26.15,26.21,GRAZZIOTIN
CGRA4,08/06/2020,26.63,26.94,26.10,26.76,GRAZZIOTIN
CGRA4,09/06/2020,26.70,27.85,26.47,27.30,GRAZZIOTIN
CGRA4,10/06/2020,27.31,27.31,26.70,27.03,GRAZZIOTIN
CGRA4,12/06/2020,25.68,26.40,25.50,25.98,GRAZZIOTIN
CGRA4,15/06/2020,24.81,26.10,24.81,25.90,GRAZZIOTIN
CGRA4,16/06/2020,26.65,26.77,26.04,26.10,GRAZZIOTIN
CGRA4,17/06/2020,26.16,26.70,26.10,26.39,GRAZZIOTIN
