Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CMIG4,02/01/2020,13.82,13.88,13.66,13.88,CEMIG
CMIG4,03/01/2020,13.71,13.92,13.56,13.73,CEMIG
CMIG4,06/01/2020,13.68,13.92,13.44,13.92,CEMIG
CMIG4,07/01/2020,13.94,14.50,13.83,14.43,CEMIG
CMIG4,08/01/2020,14.50,14.95,14.36,14.83,CEMIG
CMIG4,09/01/2020,14.73,14.90,14.44,14.71,CEMIG
CMIG4,10/01/2020,14.76,15.28,14.59,14.93,CEMIG
CMIG4,13/01/2020,15.00,15.40,15.00,15.35,CEMIG
CMIG4,14/01/2020,15.40,15.62,15.26,15.51,CEMIG
CMIG4,15/01/2020,15.45,15.58,15.31,15.41,CEMIG
CMIG4,16/01/2020,15.50,15.52,15.28,15.50,CEMIG
CMIG4,17/01/2020,15.61,15.79,15.53,15.64,CEMIG
CMIG4,20/01/2020,15.53,15.66,15.41,15.41,CEMIG
CMIG4,21/01/2020,15.36,15.48,15.16,15.22,CEMIG
CMIG4,22/01/2020,15.25,15.41,14.92,15.05,CEMIG
CMIG4,23/01/2020,15.03,15.28,14.84,15.28,CEMIG
CMIG4,24/01/2020,15.30,15.44,15.18,15.44,CEMIG
CMIG4,27/01/2020,15.21,15.32,15.04,15.22,CEMIG
CMIG4,28/01/2020,15.31,15.50,15.20,15.50,CEMIG
CMIG4,29/01/2020,15.50,15.70,15.32,15.41,CEMIG
CMIG4,30/01/2020,15.17,15.22,14.74,15.19,CEMIG
CMIG4,31/01/2020,15.17,15.20,14.82,14.95,CEMIG
CMIG4,03/02/2020,15.03,15.24,14.97,15.18,CEMIG
CMIG4,04/02/2020,15.30,15.46,15.23,15.37,CEMIG
CMIG4,05/02/2020,15.50,15.97,15.40,15.97,CEMIG
CMIG4,06/02/2020,16.07,16.21,15.68,15.68,CEMIG
CMIG4,07/02/2020,15.60,15.69,15.14,15.18,CEMIG
CMIG4,10/02/2020,15.19,15.20,14.60,14.63,CEMIG
CMIG4,11/02/2020,14.62,15.06,14.62,15.06,CEMIG
CMIG4,12/02/2020,15.15,15.15,14.91,15.08,CEMIG
CMIG4,13/02/2020,14.90,15.08,14.72,14.78,CEMIG
CMIG4,14/02/2020,14.81,14.93,14.67,14.82,CEMIG
CMIG4,17/02/2020,14.91,15.09,14.78,15.07,CEMIG
CMIG4,18/02/2020,15.05,15.10,14.87,15.06,CEMIG
CMIG4,19/02/2020,14.94,15.10,14.80,14.98,CEMIG
CMIG4,20/02/2020,15.00,15.00,14.57,14.60,CEMIG
CMIG4,21/02/2020,14.59,14.98,14.46,14.96,CEMIG
CMIG4,26/02/2020,14.35,14.37,13.67,13.86,CEMIG
CMIG4,27/02/2020,13.70,14.13,13.56,13.70,CEMIG
CMIG4,28/02/2020,13.68,13.96,13.13,13.96,CEMIG
CMIG4,02/03/2020,13.83,14.39,13.70,14.39,CEMIG
CMIG4,03/03/2020,14.25,14.92,14.17,14.42,CEMIG
CMIG4,04/03/2020,14.69,15.08,14.27,15.08,CEMIG
CMIG4,05/03/2020,14.79,14.96,14.10,14.36,CEMIG
CMIG4,06/03/2020,13.90,13.92,13.41,13.69,CEMIG
CMIG4,09/03/2020,13.20,13.22,12.20,12.30,CEMIG
CMIG4,10/03/2020,12.75,13.00,12.17,12.64,CEMIG
CMIG4,11/03/2020,12.20,12.58,10.93,11.39,CEMIG
CMIG4,12/03/2020,9.60,9.79,8.02,9.19,CEMIG
CMIG4,13/03/2020,10.25,10.64,9.08,10.50,CEMIG
CMIG4,16/03/2020,9.10,10.00,9.10,9.32,CEMIG
CMIG4,17/03/2020,9.66,10.18,9.42,9.92,CEMIG
CMIG4,18/03/2020,9.32,9.67,8.69,9.18,CEMIG
