Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CNTO3,02/01/2020,35.41,37.43,35.29,37.43,CENTAURO
CNTO3,03/01/2020,37.00,38.77,36.53,37.97,CENTAURO
CNTO3,06/01/2020,37.97,38.50,37.16,38.00,CENTAURO
CNTO3,07/01/2020,38.00,38.65,38.00,38.65,CENTAURO
CNTO3,08/01/2020,38.43,39.21,38.25,38.65,CENTAURO
CNTO3,09/01/2020,38.72,39.08,38.34,38.90,CENTAURO
CNTO3,10/01/2020,38.90,39.20,38.82,39.15,CENTAURO
CNTO3,13/01/2020,39.35,40.55,39.19,40.26,CENTAURO
CNTO3,14/01/2020,40.45,42.02,40.26,41.77,CENTAURO
CNTO3,15/01/2020,41.50,43.02,40.90,42.30,CENTAURO
CNTO3,16/01/2020,42.77,43.29,40.13,40.22,CENTAURO
CNTO3,17/01/2020,40.62,41.43,38.38,39.30,CENTAURO
CNTO3,20/01/2020,39.55,41.27,39.50,40.74,CENTAURO
CNTO3,21/01/2020,40.74,41.50,40.35,40.80,CENTAURO
CNTO3,22/01/2020,41.22,41.60,40.56,41.00,CENTAURO
CNTO3,23/01/2020,41.31,41.31,40.12,40.68,CENTAURO
CNTO3,24/01/2020,40.75,41.21,39.80,40.36,CENTAURO
CNTO3,27/01/2020,39.42,40.36,38.24,39.70,CENTAURO
CNTO3,28/01/2020,39.45,41.34,38.91,41.34,CENTAURO
CNTO3,29/01/2020,41.90,42.33,41.01,41.62,CENTAURO
CNTO3,30/01/2020,40.63,41.15,39.00,40.00,CENTAURO
CNTO3,31/01/2020,39.41,40.26,39.10,39.45,CENTAURO
CNTO3,03/02/2020,39.45,42.30,39.45,42.20,CENTAURO
CNTO3,04/02/2020,42.84,44.49,42.80,44.00,CENTAURO
CNTO3,05/02/2020,43.50,43.94,42.52,43.34,CENTAURO
CNTO3,06/02/2020,45.21,49.71,45.21,49.71,CENTAURO
CNTO3,07/02/2020,51.01,54.09,46.70,46.73,CENTAURO
CNTO3,10/02/2020,46.72,49.19,46.51,47.99,CENTAURO
CNTO3,11/02/2020,49.00,49.75,48.08,48.23,CENTAURO
CNTO3,12/02/2020,48.73,49.14,47.05,47.99,CENTAURO
CNTO3,13/02/2020,47.04,48.82,45.88,47.00,CENTAURO
CNTO3,14/02/2020,47.68,47.81,46.26,47.40,CENTAURO
CNTO3,17/02/2020,47.46,49.00,46.97,49.00,CENTAURO
CNTO3,18/02/2020,48.70,49.60,48.10,49.01,CENTAURO
CNTO3,19/02/2020,49.45,50.94,49.14,50.93,CENTAURO
CNTO3,20/02/2020,51.18,51.69,50.21,50.21,CENTAURO
CNTO3,21/02/2020,49.66,51.32,48.56,50.51,CENTAURO
CNTO3,26/02/2020,47.15,48.45,46.01,47.90,CENTAURO
CNTO3,27/02/2020,47.00,47.57,44.50,44.70,CENTAURO
CNTO3,28/02/2020,43.51,44.48,40.56,43.59,CENTAURO
CNTO3,02/03/2020,44.10,47.45,44.10,47.00,CENTAURO
CNTO3,03/03/2020,47.88,49.75,46.30,48.39,CENTAURO
CNTO3,04/03/2020,49.84,50.44,47.31,48.15,CENTAURO
CNTO3,05/03/2020,47.99,47.99,43.20,44.59,CENTAURO
CNTO3,06/03/2020,41.00,43.95,39.80,43.28,CENTAURO
CNTO3,09/03/2020,38.00,39.71,35.16,35.16,CENTAURO
CNTO3,10/03/2020,39.29,40.48,36.57,40.00,CENTAURO
CNTO3,11/03/2020,37.81,39.10,32.61,35.32,CENTAURO
CNTO3,12/03/2020,28.89,32.89,23.50,31.27,CENTAURO
CNTO3,13/03/2020,36.00,36.93,30.50,33.56,CENTAURO
CNTO3,16/03/2020,27.80,31.80,27.46,27.46,CENTAURO
CNTO3,17/03/2020,28.19,28.43,24.31,27.00,CENTAURO
CNTO3,18/03/2020,25.00,25.00,15.70,18.00,CENTAURO
CNTO3,19/03/2020,15.97,22.20,14.73,20.44,CENTAURO
CNTO3,20/03/2020,23.00,26.99,21.05,22.35,CENTAURO
CNTO3,23/03/2020,22.00,23.86,20.00,21.67,CENTAURO
CNTO3,24/03/2020,23.71,24.80,21.70,23.81,CENTAURO
CNTO3,25/03/2020,23.86,27.50,23.30,26.42,CENTAURO
CNTO3,26/03/2020,26.00,30.05,25.54,29.38,CENTAURO
CNTO3,27/03/2020,28.20,28.86,26.30,26.32,CENTAURO
CNTO3,30/03/2020,26.52,27.87,25.71,26.16,CENTAURO
CNTO3,31/03/2020,26.37,26.46,23.33,24.06,CENTAURO
CNTO3,01/04/2020,22.40,22.62,21.00,21.00,CENTAURO
CNTO3,02/04/2020,21.35,21.95,20.05,21.05,CENTAURO
CNTO3,03/04/2020,21.22,21.22,19.00,19.50,CENTAURO
CNTO3,06/04/2020,21.59,24.47,20.86,23.01,CENTAURO
CNTO3,07/04/2020,25.50,26.39,25.00,25.20,CENTAURO
CNTO3,08/04/2020,25.20,26.21,24.71,25.62,CENTAURO
CNTO3,09/04/2020,26.24,26.75,25.25,25.62,CENTAURO
CNTO3,13/04/2020,25.50,26.15,24.50,24.50,CENTAURO
CNTO3,14/04/2020,25.10,25.95,24.68,25.00,CENTAURO
CNTO3,15/04/2020,24.01,25.58,23.50,24.40,CENTAURO
CNTO3,16/04/2020,25.29,25.57,23.76,23.76,CENTAURO
CNTO3,17/04/2020,24.77,25.63,24.24,25.03,CENTAURO
CNTO3,20/04/2020,24.10,27.21,24.05,26.97,CENTAURO
CNTO3,22/04/2020,27.50,31.14,27.49,30.62,CENTAURO
CNTO3,23/04/2020,32.00,33.60,29.04,29.35,CENTAURO
CNTO3,24/04/2020,28.58,29.23,25.90,27.43,CENTAURO
CNTO3,27/04/2020,28.90,29.64,27.45,28.54,CENTAURO
CNTO3,28/04/2020,29.52,33.09,29.26,32.40,CENTAURO
CNTO3,29/04/2020,33.30,34.70,31.68,33.00,CENTAURO
CNTO3,30/04/2020,32.00,33.16,30.98,31.60,CENTAURO
CNTO3,04/05/2020,29.99,31.75,29.20,31.60,CENTAURO
CNTO3,05/05/2020,32.50,33.04,30.02,30.26,CENTAURO
CNTO3,06/05/2020,30.80,31.24,28.64,29.75,CENTAURO
CNTO3,07/05/2020,31.02,31.08,27.73,27.73,CENTAURO
CNTO3,08/05/2020,28.20,28.56,25.44,25.95,CENTAURO
CNTO3,11/05/2020,25.28,25.64,24.38,25.02,CENTAURO
CNTO3,12/05/2020,25.30,25.95,23.33,23.50,CENTAURO
CNTO3,13/05/2020,23.80,24.16,22.35,23.20,CENTAURO
CNTO3,14/05/2020,22.39,23.28,21.87,23.00,CENTAURO
CNTO3,15/05/2020,22.99,24.89,22.77,24.67,CENTAURO
CNTO3,18/05/2020,25.70,26.10,24.01,25.82,CENTAURO
CNTO3,19/05/2020,25.65,27.80,25.12,27.23,CENTAURO
