Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
COCE5,02/01/2020,63.47,64.25,62.21,62.50,COELCE
COCE5,03/01/2020,61.25,63.00,61.00,63.00,COELCE
COCE5,06/01/2020,62.00,62.70,62.00,62.31,COELCE
COCE5,07/01/2020,62.25,62.90,62.02,62.80,COELCE
COCE5,08/01/2020,62.99,62.99,62.01,62.80,COELCE
COCE5,09/01/2020,63.37,64.84,63.36,63.79,COELCE
COCE5,10/01/2020,64.43,64.43,63.99,64.00,COELCE
COCE5,13/01/2020,64.00,64.35,63.87,63.87,COELCE
COCE5,14/01/2020,63.80,63.95,62.99,63.85,COELCE
COCE5,15/01/2020,63.21,64.24,62.50,64.00,COELCE
COCE5,16/01/2020,63.74,63.75,61.00,63.00,COELCE
COCE5,17/01/2020,63.20,63.65,62.55,63.65,COELCE
COCE5,20/01/2020,62.91,62.92,62.00,62.45,COELCE
COCE5,21/01/2020,62.39,62.78,61.75,62.39,COELCE
COCE5,22/01/2020,63.01,63.50,62.27,63.50,COELCE
COCE5,23/01/2020,63.64,63.70,63.20,63.50,COELCE
COCE5,24/01/2020,63.56,63.80,63.36,63.80,COELCE
COCE5,27/01/2020,62.82,63.49,61.52,63.49,COELCE
COCE5,28/01/2020,63.04,63.30,62.91,63.30,COELCE
COCE5,29/01/2020,62.92,63.85,62.74,63.85,COELCE
COCE5,30/01/2020,63.62,63.84,61.95,62.32,COELCE
COCE5,31/01/2020,62.00,62.72,62.00,62.40,COELCE
COCE5,03/02/2020,62.38,63.30,62.10,62.60,COELCE
COCE5,04/02/2020,62.50,63.00,62.27,62.60,COELCE
COCE5,05/02/2020,61.77,63.70,61.76,63.00,COELCE
COCE5,06/02/2020,63.24,63.39,62.40,62.94,COELCE
COCE5,07/02/2020,63.19,63.21,62.40,63.21,COELCE
COCE5,10/02/2020,62.95,62.95,62.67,62.87,COELCE
COCE5,11/02/2020,63.00,63.00,61.52,63.00,COELCE
COCE5,12/02/2020,62.99,63.50,62.50,63.50,COELCE
COCE5,13/02/2020,63.29,63.30,62.06,62.06,COELCE
COCE5,14/02/2020,62.64,63.10,61.91,63.00,COELCE
COCE5,17/02/2020,62.59,63.49,62.58,63.27,COELCE
COCE5,18/02/2020,63.00,63.23,62.84,63.23,COELCE
COCE5,19/02/2020,63.20,63.50,63.15,63.15,COELCE
COCE5,20/02/2020,63.50,63.50,62.63,63.30,COELCE
COCE5,21/02/2020,63.49,63.88,63.00,63.15,COELCE
COCE5,26/02/2020,62.88,62.88,61.00,62.80,COELCE
COCE5,27/02/2020,62.51,63.20,61.50,62.79,COELCE
COCE5,28/02/2020,62.21,62.79,61.50,62.79,COELCE
COCE5,02/03/2020,62.38,62.60,61.30,61.90,COELCE
COCE5,03/03/2020,62.29,62.79,60.00,61.21,COELCE
COCE5,04/03/2020,61.90,63.90,61.18,63.90,COELCE
COCE5,05/03/2020,63.72,63.79,61.07,62.40,COELCE
COCE5,06/03/2020,61.39,62.00,59.78,61.98,COELCE
COCE5,09/03/2020,59.47,60.00,57.18,58.60,COELCE
COCE5,10/03/2020,59.83,60.21,58.91,60.21,COELCE
COCE5,11/03/2020,59.14,61.70,57.98,59.30,COELCE
COCE5,12/03/2020,54.40,54.40,50.00,54.20,COELCE
COCE5,13/03/2020,58.27,58.27,52.98,55.80,COELCE
COCE5,16/03/2020,52.01,52.08,50.89,52.00,COELCE
COCE5,17/03/2020,51.84,52.50,49.99,51.79,COELCE
COCE5,18/03/2020,49.65,50.25,46.50,48.00,COELCE
COCE5,19/03/2020,49.00,49.01,45.30,47.00,COELCE
COCE5,20/03/2020,48.33,48.50,45.32,47.00,COELCE
COCE5,23/03/2020,47.10,47.10,40.10,42.00,COELCE
COCE5,24/03/2020,43.10,44.00,41.10,42.89,COELCE
COCE5,25/03/2020,43.48,44.52,41.00,41.00,COELCE
COCE5,26/03/2020,42.93,44.01,41.55,43.50,COELCE
COCE5,27/03/2020,43.00,48.87,43.00,47.00,COELCE
COCE5,30/03/2020,46.20,48.89,45.81,48.89,COELCE
COCE5,31/03/2020,47.51,48.90,46.79,48.30,COELCE
COCE5,01/04/2020,47.77,48.21,46.64,48.00,COELCE
COCE5,02/04/2020,47.41,48.55,47.18,47.87,COELCE
COCE5,03/04/2020,47.84,48.06,46.37,47.80,COELCE
COCE5,06/04/2020,48.70,48.70,47.00,47.00,COELCE
COCE5,07/04/2020,47.69,48.59,47.33,47.80,COELCE
COCE5,08/04/2020,48.00,48.26,47.57,47.57,COELCE
COCE5,09/04/2020,47.57,47.99,47.24,47.81,COELCE
COCE5,13/04/2020,47.77,48.61,47.23,47.80,COELCE
COCE5,14/04/2020,48.01,49.09,45.00,49.00,COELCE
COCE5,15/04/2020,49.00,50.50,48.34,49.34,COELCE
COCE5,16/04/2020,49.78,50.50,48.98,50.50,COELCE
COCE5,17/04/2020,50.50,52.09,48.12,50.00,COELCE
COCE5,20/04/2020,49.10,50.00,48.04,49.99,COELCE
COCE5,22/04/2020,49.99,51.20,49.67,49.74,COELCE
COCE5,23/04/2020,49.82,50.00,49.17,49.99,COELCE
COCE5,24/04/2020,50.12,50.12,47.04,48.19,COELCE
COCE5,27/04/2020,48.61,48.75,47.38,48.00,COELCE
COCE5,28/04/2020,47.85,50.01,47.01,50.01,COELCE
COCE5,29/04/2020,49.26,49.26,47.80,48.78,COELCE
COCE5,30/04/2020,48.78,49.36,45.26,49.36,COELCE
COCE5,04/05/2020,48.90,50.37,47.90,49.22,COELCE
COCE5,05/05/2020,49.92,51.24,49.31,50.25,COELCE
COCE5,06/05/2020,51.01,51.01,49.15,50.59,COELCE
COCE5,07/05/2020,50.50,50.50,48.66,49.78,COELCE
COCE5,08/05/2020,49.50,52.95,49.50,52.95,COELCE
COCE5,11/05/2020,52.57,53.47,51.99,51.99,COELCE
COCE5,12/05/2020,52.79,52.79,51.06,52.29,COELCE
COCE5,13/05/2020,51.80,53.38,51.54,52.79,COELCE
COCE5,14/05/2020,52.79,52.89,51.90,51.99,COELCE
COCE5,15/05/2020,52.04,52.20,51.26,51.98,COELCE
COCE5,18/05/2020,52.50,52.50,51.93,52.19,COELCE
COCE5,19/05/2020,51.78,52.97,51.35,51.99,COELCE
COCE5,20/05/2020,51.88,52.85,51.88,52.00,COELCE
COCE5,21/05/2020,51.77,52.14,50.52,51.75,COELCE
COCE5,22/05/2020,50.97,52.18,50.97,52.10,COELCE
COCE5,25/05/2020,52.79,53.40,51.80,53.08,COELCE
COCE5,26/05/2020,53.50,55.35,52.99,53.12,COELCE
COCE5,27/05/2020,53.11,53.68,52.89,52.89,COELCE
COCE5,28/05/2020,53.10,54.45,52.20,53.35,COELCE
COCE5,29/05/2020,52.82,52.93,51.50,51.50,COELCE
COCE5,01/06/2020,51.50,53.94,51.50,51.90,COELCE
COCE5,02/06/2020,52.58,53.19,51.90,52.36,COELCE
COCE5,03/06/2020,53.28,53.38,52.12,52.88,COELCE
COCE5,04/06/2020,52.59,53.34,50.66,51.50,COELCE
COCE5,05/06/2020,52.03,53.49,51.50,52.23,COELCE
