Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
COGN3,02/01/2020,11.55,12.20,11.46,12.20,COGNA ON
COGN3,03/01/2020,11.87,12.37,11.82,12.15,COGNA ON
COGN3,06/01/2020,12.00,12.07,11.70,11.99,COGNA ON
COGN3,07/01/2020,11.99,12.21,11.75,12.08,COGNA ON
COGN3,08/01/2020,12.18,12.27,11.90,12.00,COGNA ON
COGN3,09/01/2020,12.10,12.19,11.93,12.10,COGNA ON
COGN3,10/01/2020,12.15,12.50,12.07,12.20,COGNA ON
COGN3,13/01/2020,12.20,12.70,12.12,12.55,COGNA ON
COGN3,14/01/2020,12.59,12.79,12.44,12.79,COGNA ON
COGN3,15/01/2020,12.78,12.80,12.31,12.35,COGNA ON
COGN3,16/01/2020,12.50,12.57,11.78,12.02,COGNA ON
COGN3,17/01/2020,12.03,12.19,11.60,11.67,COGNA ON
COGN3,20/01/2020,11.69,11.69,11.43,11.53,COGNA ON
COGN3,21/01/2020,11.45,11.65,11.18,11.18,COGNA ON
COGN3,22/01/2020,11.26,11.35,11.12,11.30,COGNA ON
COGN3,23/01/2020,11.40,11.83,11.36,11.69,COGNA ON
COGN3,24/01/2020,11.80,11.85,11.51,11.67,COGNA ON
COGN3,27/01/2020,11.38,11.47,11.05,11.28,COGNA ON
COGN3,28/01/2020,11.60,11.89,11.43,11.70,COGNA ON
COGN3,29/01/2020,11.85,11.94,11.51,11.70,COGNA ON
COGN3,30/01/2020,11.49,11.59,11.06,11.49,COGNA ON
COGN3,31/01/2020,11.27,11.73,11.21,11.62,COGNA ON
COGN3,03/02/2020,11.28,11.96,11.20,11.65,COGNA ON
COGN3,04/02/2020,11.88,12.49,11.77,12.30,COGNA ON
COGN3,05/02/2020,12.18,12.67,12.07,12.18,COGNA ON
COGN3,06/02/2020,12.19,12.34,11.76,11.85,COGNA ON
COGN3,07/02/2020,11.84,11.86,11.23,11.29,COGNA ON
COGN3,10/02/2020,11.32,11.38,10.84,11.09,COGNA ON
COGN3,11/02/2020,11.14,11.49,11.05,11.15,COGNA ON
COGN3,12/02/2020,11.40,11.86,11.21,11.60,COGNA ON
COGN3,13/02/2020,11.60,12.08,11.43,11.80,COGNA ON
COGN3,14/02/2020,12.00,12.00,11.66,11.71,COGNA ON
COGN3,17/02/2020,11.79,11.99,11.51,11.71,COGNA ON
COGN3,18/02/2020,11.60,11.65,11.19,11.40,COGNA ON
COGN3,19/02/2020,11.33,11.44,11.11,11.15,COGNA ON
COGN3,20/02/2020,11.17,11.42,11.00,11.05,COGNA ON
COGN3,21/02/2020,11.00,11.08,10.96,11.05,COGNA ON
