Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CPFE3,02/01/2020,35.69,35.96,35.10,35.21,CPFL ENERGIA
CPFE3,03/01/2020,35.21,35.23,34.61,34.99,CPFL ENERGIA
CPFE3,06/01/2020,34.78,35.67,34.31,35.32,CPFL ENERGIA
CPFE3,07/01/2020,35.46,35.46,34.50,34.91,CPFL ENERGIA
CPFE3,08/01/2020,35.00,35.05,34.46,34.69,CPFL ENERGIA
CPFE3,09/01/2020,34.82,35.53,34.62,35.32,CPFL ENERGIA
CPFE3,10/01/2020,35.46,36.08,35.34,35.99,CPFL ENERGIA
CPFE3,13/01/2020,35.96,36.25,35.72,35.86,CPFL ENERGIA
CPFE3,14/01/2020,36.00,36.00,35.18,35.59,CPFL ENERGIA
CPFE3,15/01/2020,35.47,36.27,35.24,35.85,CPFL ENERGIA
CPFE3,16/01/2020,35.90,36.68,35.68,36.50,CPFL ENERGIA
CPFE3,17/01/2020,36.75,37.30,36.42,37.30,CPFL ENERGIA
CPFE3,20/01/2020,37.38,38.00,37.08,38.00,CPFL ENERGIA
CPFE3,21/01/2020,37.88,38.08,37.65,37.76,CPFL ENERGIA
CPFE3,22/01/2020,37.91,38.18,37.56,37.69,CPFL ENERGIA
CPFE3,23/01/2020,37.72,38.35,36.99,38.30,CPFL ENERGIA
CPFE3,24/01/2020,38.30,38.30,37.86,37.93,CPFL ENERGIA
CPFE3,27/01/2020,37.40,37.72,37.00,37.00,CPFL ENERGIA
CPFE3,28/01/2020,37.39,37.54,37.17,37.21,CPFL ENERGIA
CPFE3,29/01/2020,37.36,38.69,37.36,38.23,CPFL ENERGIA
CPFE3,30/01/2020,37.51,38.46,37.36,38.46,CPFL ENERGIA
CPFE3,31/01/2020,38.00,38.46,37.78,38.27,CPFL ENERGIA
CPFE3,03/02/2020,38.31,39.51,38.21,39.00,CPFL ENERGIA
CPFE3,04/02/2020,39.18,39.61,38.30,38.35,CPFL ENERGIA
CPFE3,05/02/2020,38.63,39.52,38.01,39.20,CPFL ENERGIA
CPFE3,06/02/2020,39.36,39.48,38.25,38.25,CPFL ENERGIA
CPFE3,07/02/2020,38.30,38.62,37.60,37.80,CPFL ENERGIA
CPFE3,10/02/2020,37.72,37.73,36.71,36.87,CPFL ENERGIA
CPFE3,11/02/2020,37.06,37.89,36.94,37.68,CPFL ENERGIA
CPFE3,12/02/2020,37.83,38.35,37.48,37.96,CPFL ENERGIA
CPFE3,13/02/2020,37.81,38.10,37.44,37.54,CPFL ENERGIA
CPFE3,14/02/2020,37.58,37.82,37.01,37.57,CPFL ENERGIA
CPFE3,17/02/2020,37.62,38.29,37.62,38.15,CPFL ENERGIA
CPFE3,18/02/2020,38.00,38.20,37.55,38.00,CPFL ENERGIA
CPFE3,19/02/2020,38.05,38.46,37.78,38.45,CPFL ENERGIA
CPFE3,20/02/2020,38.21,38.36,37.59,37.80,CPFL ENERGIA
CPFE3,21/02/2020,37.70,37.76,37.29,37.74,CPFL ENERGIA
CPFE3,26/02/2020,36.26,36.63,35.95,36.33,CPFL ENERGIA
CPFE3,27/02/2020,35.95,36.60,35.23,35.64,CPFL ENERGIA
CPFE3,28/02/2020,35.34,35.53,33.82,35.53,CPFL ENERGIA
CPFE3,02/03/2020,35.53,37.11,35.32,37.08,CPFL ENERGIA
CPFE3,03/03/2020,37.20,37.76,36.27,37.07,CPFL ENERGIA
CPFE3,04/03/2020,37.22,39.10,37.16,39.10,CPFL ENERGIA
CPFE3,05/03/2020,38.61,38.89,37.28,37.80,CPFL ENERGIA
CPFE3,06/03/2020,36.76,37.00,35.38,37.00,CPFL ENERGIA
CPFE3,09/03/2020,35.22,35.22,33.15,34.00,CPFL ENERGIA
CPFE3,10/03/2020,36.05,36.20,33.39,34.46,CPFL ENERGIA
CPFE3,11/03/2020,33.73,34.20,30.08,32.10,CPFL ENERGIA
CPFE3,12/03/2020,28.20,28.69,24.51,27.87,CPFL ENERGIA
CPFE3,13/03/2020,30.83,30.83,28.18,30.32,CPFL ENERGIA
CPFE3,16/03/2020,27.50,29.01,25.90,28.10,CPFL ENERGIA
CPFE3,17/03/2020,28.60,30.30,28.40,29.19,CPFL ENERGIA
CPFE3,18/03/2020,28.22,28.22,22.84,25.20,CPFL ENERGIA
CPFE3,19/03/2020,24.35,25.57,23.41,24.50,CPFL ENERGIA
CPFE3,20/03/2020,25.50,26.38,24.62,25.25,CPFL ENERGIA
CPFE3,23/03/2020,25.10,25.18,22.18,23.50,CPFL ENERGIA
CPFE3,24/03/2020,25.01,25.98,23.80,25.30,CPFL ENERGIA
CPFE3,25/03/2020,25.49,26.78,24.95,26.03,CPFL ENERGIA
CPFE3,26/03/2020,25.87,29.00,25.62,28.07,CPFL ENERGIA
CPFE3,27/03/2020,26.50,27.80,26.41,26.99,CPFL ENERGIA
CPFE3,30/03/2020,27.21,28.11,26.76,27.06,CPFL ENERGIA
CPFE3,31/03/2020,27.22,28.35,26.30,26.87,CPFL ENERGIA
CPFE3,01/04/2020,25.99,26.86,25.80,26.29,CPFL ENERGIA
CPFE3,02/04/2020,26.30,26.85,25.63,25.90,CPFL ENERGIA
CPFE3,03/04/2020,25.90,26.41,25.13,25.83,CPFL ENERGIA
CPFE3,06/04/2020,26.83,27.19,25.76,26.54,CPFL ENERGIA
CPFE3,07/04/2020,27.11,29.18,27.00,27.32,CPFL ENERGIA
CPFE3,08/04/2020,27.35,27.77,26.61,27.60,CPFL ENERGIA
CPFE3,09/04/2020,27.89,28.07,27.40,27.80,CPFL ENERGIA
CPFE3,13/04/2020,27.82,28.79,27.22,28.79,CPFL ENERGIA
CPFE3,14/04/2020,29.22,30.06,28.92,29.50,CPFL ENERGIA
CPFE3,15/04/2020,29.03,30.38,29.02,29.62,CPFL ENERGIA
CPFE3,16/04/2020,29.64,30.19,29.16,29.77,CPFL ENERGIA
CPFE3,17/04/2020,30.13,30.44,29.45,29.59,CPFL ENERGIA
CPFE3,20/04/2020,29.07,30.43,28.97,30.02,CPFL ENERGIA
CPFE3,22/04/2020,29.70,30.96,29.70,30.10,CPFL ENERGIA
CPFE3,23/04/2020,30.23,30.66,29.60,29.94,CPFL ENERGIA
CPFE3,24/04/2020,29.63,29.85,27.00,27.95,CPFL ENERGIA
CPFE3,27/04/2020,28.15,29.89,28.15,29.67,CPFL ENERGIA
CPFE3,28/04/2020,30.25,30.95,29.85,30.70,CPFL ENERGIA
CPFE3,29/04/2020,31.00,31.30,29.74,30.04,CPFL ENERGIA
CPFE3,30/04/2020,29.97,30.93,29.04,29.04,CPFL ENERGIA
CPFE3,04/05/2020,28.20,29.53,27.95,29.45,CPFL ENERGIA
CPFE3,05/05/2020,29.30,30.85,29.12,30.39,CPFL ENERGIA
CPFE3,06/05/2020,30.50,30.77,29.75,30.10,CPFL ENERGIA
CPFE3,07/05/2020,30.53,30.56,28.19,28.19,CPFL ENERGIA
CPFE3,08/05/2020,28.78,29.87,28.03,29.65,CPFL ENERGIA
CPFE3,11/05/2020,29.52,29.62,28.57,29.17,CPFL ENERGIA
CPFE3,12/05/2020,29.45,29.94,28.99,28.99,CPFL ENERGIA
CPFE3,13/05/2020,29.24,29.97,27.94,28.20,CPFL ENERGIA
CPFE3,14/05/2020,28.10,29.38,27.62,29.35,CPFL ENERGIA
CPFE3,15/05/2020,29.83,30.11,29.38,29.69,CPFL ENERGIA
CPFE3,18/05/2020,30.70,30.70,30.02,30.25,CPFL ENERGIA
CPFE3,19/05/2020,30.50,30.62,29.11,29.40,CPFL ENERGIA
CPFE3,20/05/2020,29.50,29.85,28.52,28.63,CPFL ENERGIA
CPFE3,21/05/2020,28.91,30.31,28.67,29.82,CPFL ENERGIA
CPFE3,22/05/2020,29.82,30.73,29.74,30.57,CPFL ENERGIA
CPFE3,25/05/2020,31.34,32.03,31.34,31.82,CPFL ENERGIA
CPFE3,26/05/2020,31.96,32.70,31.31,31.55,CPFL ENERGIA
CPFE3,27/05/2020,31.40,33.61,31.40,33.61,CPFL ENERGIA
CPFE3,28/05/2020,33.55,33.55,32.76,32.78,CPFL ENERGIA
CPFE3,29/05/2020,32.98,33.20,31.75,32.25,CPFL ENERGIA
CPFE3,01/06/2020,32.00,32.28,31.36,31.72,CPFL ENERGIA
CPFE3,02/06/2020,31.90,32.00,31.44,32.00,CPFL ENERGIA
CPFE3,03/06/2020,32.25,32.78,31.33,32.10,CPFL ENERGIA
CPFE3,04/06/2020,31.96,32.39,31.52,32.05,CPFL ENERGIA
CPFE3,05/06/2020,32.32,32.64,32.02,32.40,CPFL ENERGIA
CPFE3,08/06/2020,32.34,33.22,32.23,33.21,CPFL ENERGIA
CPFE3,09/06/2020,32.78,33.77,32.67,33.45,CPFL ENERGIA
CPFE3,10/06/2020,33.45,34.10,32.68,33.06,CPFL ENERGIA
CPFE3,12/06/2020,32.40,32.85,31.51,32.31,CPFL ENERGIA
CPFE3,15/06/2020,31.93,32.35,31.59,31.60,CPFL ENERGIA
