Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CPLE3,02/01/2020,69.03,69.24,67.74,68.15,COPEL
CPLE3,03/01/2020,68.20,72.00,67.26,72.00,COPEL
CPLE3,06/01/2020,70.95,71.49,69.50,71.26,COPEL
CPLE3,07/01/2020,71.21,71.75,70.37,71.70,COPEL
CPLE3,08/01/2020,71.50,71.85,70.18,70.95,COPEL
CPLE3,09/01/2020,70.66,73.49,70.40,73.45,COPEL
CPLE3,10/01/2020,73.29,75.15,73.29,74.75,COPEL
CPLE3,13/01/2020,75.25,76.67,74.72,76.60,COPEL
CPLE3,14/01/2020,76.99,77.48,76.13,77.30,COPEL
CPLE3,15/01/2020,76.66,77.97,76.58,77.80,COPEL
CPLE3,16/01/2020,77.69,77.94,75.87,76.31,COPEL
CPLE3,17/01/2020,76.41,77.40,75.97,77.15,COPEL
CPLE3,20/01/2020,77.17,79.05,77.00,79.00,COPEL
CPLE3,21/01/2020,79.46,79.46,77.45,78.40,COPEL
CPLE3,22/01/2020,78.99,79.24,77.96,78.40,COPEL
CPLE3,23/01/2020,78.22,79.23,77.50,78.80,COPEL
CPLE3,24/01/2020,78.79,79.24,78.02,78.30,COPEL
CPLE3,27/01/2020,77.10,78.09,76.67,77.96,COPEL
CPLE3,28/01/2020,77.75,79.48,77.75,79.30,COPEL
CPLE3,29/01/2020,79.29,79.66,78.44,79.30,COPEL
CPLE3,30/01/2020,78.65,78.89,76.80,78.45,COPEL
CPLE3,31/01/2020,78.45,79.40,77.36,78.50,COPEL
CPLE3,03/02/2020,78.41,80.74,78.40,80.00,COPEL
CPLE3,04/02/2020,80.49,81.90,79.87,80.60,COPEL
CPLE3,05/02/2020,81.79,82.11,79.50,80.60,COPEL
CPLE3,06/02/2020,81.22,81.22,78.84,79.91,COPEL
CPLE3,07/02/2020,79.15,80.79,78.92,79.45,COPEL
CPLE3,10/02/2020,79.64,79.64,76.10,77.70,COPEL
CPLE3,11/02/2020,77.90,79.42,77.43,79.36,COPEL
CPLE3,12/02/2020,79.42,82.38,79.31,82.10,COPEL
CPLE3,13/02/2020,81.42,83.88,80.53,83.10,COPEL
CPLE3,14/02/2020,83.60,83.78,80.79,82.59,COPEL
CPLE3,17/02/2020,83.09,84.44,82.06,84.00,COPEL
CPLE3,18/02/2020,83.49,84.11,83.07,84.04,COPEL
CPLE3,19/02/2020,84.04,86.03,83.74,85.63,COPEL
CPLE3,20/02/2020,85.67,85.67,83.12,84.00,COPEL
CPLE3,21/02/2020,83.96,85.72,83.07,85.14,COPEL
CPLE3,26/02/2020,83.00,83.00,79.11,80.15,COPEL
CPLE3,27/02/2020,79.31,80.91,77.66,78.73,COPEL
CPLE3,28/02/2020,77.68,78.43,74.72,78.43,COPEL
CPLE3,02/03/2020,78.43,81.44,78.29,81.00,COPEL
CPLE3,03/03/2020,81.83,83.78,79.60,80.34,COPEL
CPLE3,04/03/2020,80.60,84.91,80.60,83.54,COPEL
CPLE3,05/03/2020,82.33,83.72,78.44,79.81,COPEL
CPLE3,06/03/2020,78.31,78.31,73.66,75.85,COPEL
CPLE3,09/03/2020,74.00,74.00,68.55,69.70,COPEL
CPLE3,10/03/2020,72.00,75.09,69.75,73.20,COPEL
CPLE3,11/03/2020,72.83,72.83,63.53,66.99,COPEL
CPLE3,12/03/2020,60.05,60.60,54.59,57.38,COPEL
CPLE3,13/03/2020,65.80,66.45,57.72,64.40,COPEL
CPLE3,16/03/2020,58.83,61.04,56.63,59.38,COPEL
CPLE3,17/03/2020,60.02,62.90,57.96,61.50,COPEL
CPLE3,18/03/2020,58.19,58.46,49.61,52.65,COPEL
CPLE3,19/03/2020,51.62,55.71,49.76,55.18,COPEL
CPLE3,20/03/2020,55.50,58.32,50.00,50.19,COPEL
CPLE3,23/03/2020,49.60,50.22,44.72,47.00,COPEL
CPLE3,24/03/2020,50.49,51.44,47.39,49.45,COPEL
CPLE3,25/03/2020,49.50,52.84,46.77,52.27,COPEL
CPLE3,26/03/2020,52.77,62.49,52.77,59.04,COPEL
CPLE3,27/03/2020,59.35,59.35,55.53,55.53,COPEL
CPLE3,30/03/2020,56.14,57.76,55.70,57.69,COPEL
CPLE3,31/03/2020,57.69,60.37,57.25,58.38,COPEL
CPLE3,01/04/2020,55.58,57.23,52.14,54.98,COPEL
CPLE3,02/04/2020,55.51,56.30,53.71,55.90,COPEL
CPLE3,03/04/2020,57.37,57.37,52.33,53.10,COPEL
CPLE3,06/04/2020,54.16,58.18,54.16,56.78,COPEL
CPLE3,07/04/2020,59.02,61.49,57.52,57.62,COPEL
CPLE3,08/04/2020,57.80,58.23,50.80,53.75,COPEL
CPLE3,09/04/2020,54.48,55.44,52.91,55.14,COPEL
CPLE3,13/04/2020,55.15,56.04,53.15,55.19,COPEL
CPLE3,14/04/2020,56.40,57.00,55.44,57.00,COPEL
CPLE3,15/04/2020,55.51,57.40,55.14,55.79,COPEL
CPLE3,16/04/2020,56.49,56.88,54.00,55.44,COPEL
CPLE3,17/04/2020,56.20,56.50,54.58,55.02,COPEL
CPLE3,20/04/2020,53.99,55.11,53.47,55.08,COPEL
CPLE3,22/04/2020,54.65,58.10,54.62,57.45,COPEL
CPLE3,23/04/2020,58.19,58.70,55.42,56.40,COPEL
CPLE3,24/04/2020,55.87,55.87,50.84,51.20,COPEL
CPLE3,27/04/2020,51.72,53.83,51.60,52.91,COPEL
CPLE3,28/04/2020,53.77,55.38,53.58,54.43,COPEL
CPLE3,29/04/2020,54.75,55.40,53.29,54.37,COPEL
CPLE3,30/04/2020,53.29,53.95,52.33,53.20,COPEL
CPLE3,04/05/2020,52.58,53.44,51.40,52.52,COPEL
CPLE3,05/05/2020,53.17,54.93,53.17,53.66,COPEL
CPLE3,06/05/2020,54.18,55.26,51.97,52.85,COPEL
CPLE3,07/05/2020,53.80,53.80,50.42,51.25,COPEL
CPLE3,08/05/2020,51.76,52.61,50.70,52.55,COPEL
CPLE3,11/05/2020,52.39,52.39,49.82,51.31,COPEL
CPLE3,12/05/2020,51.37,53.52,50.59,50.79,COPEL
CPLE3,13/05/2020,51.11,51.86,49.49,50.33,COPEL
CPLE3,14/05/2020,49.80,52.65,48.00,52.65,COPEL
