Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CSAN3,02/01/2020,70.50,72.39,70.01,71.71,COSAN
CSAN3,03/01/2020,72.00,74.18,71.58,73.10,COSAN
CSAN3,06/01/2020,73.10,73.17,71.72,72.67,COSAN
CSAN3,07/01/2020,72.31,74.41,72.23,73.98,COSAN
CSAN3,08/01/2020,74.60,74.60,72.03,72.76,COSAN
CSAN3,09/01/2020,72.81,73.34,71.31,71.98,COSAN
CSAN3,10/01/2020,71.99,73.05,71.62,73.05,COSAN
CSAN3,13/01/2020,72.88,74.92,72.88,74.92,COSAN
CSAN3,14/01/2020,74.81,77.31,74.33,77.31,COSAN
CSAN3,15/01/2020,76.65,77.36,75.56,76.04,COSAN
CSAN3,16/01/2020,76.75,77.32,76.10,77.20,COSAN
CSAN3,17/01/2020,77.20,78.11,77.01,78.00,COSAN
CSAN3,20/01/2020,78.01,79.64,78.01,79.56,COSAN
CSAN3,21/01/2020,79.47,79.62,78.07,78.07,COSAN
CSAN3,22/01/2020,78.62,80.39,78.35,80.39,COSAN
CSAN3,23/01/2020,80.40,81.76,78.35,80.71,COSAN
CSAN3,24/01/2020,80.64,81.69,80.05,80.57,COSAN
CSAN3,27/01/2020,80.00,80.00,78.32,78.81,COSAN
CSAN3,28/01/2020,78.90,80.59,78.65,80.35,COSAN
CSAN3,29/01/2020,80.32,81.00,79.31,79.99,COSAN
CSAN3,30/01/2020,79.98,81.40,78.07,80.68,COSAN
CSAN3,31/01/2020,80.56,80.59,79.42,79.70,COSAN
CSAN3,03/02/2020,81.43,83.00,80.06,82.24,COSAN
CSAN3,04/02/2020,83.60,84.19,80.44,81.40,COSAN
CSAN3,05/02/2020,81.97,83.35,81.89,82.30,COSAN
CSAN3,06/02/2020,83.15,83.99,80.67,80.96,COSAN
CSAN3,07/02/2020,80.90,81.71,78.90,78.90,COSAN
CSAN3,10/02/2020,78.70,80.43,76.77,78.90,COSAN
CSAN3,11/02/2020,79.47,84.52,79.47,83.70,COSAN
CSAN3,12/02/2020,84.05,85.49,83.18,84.20,COSAN
CSAN3,13/02/2020,83.18,83.66,82.28,83.27,COSAN
CSAN3,14/02/2020,83.30,83.64,81.89,82.70,COSAN
CSAN3,17/02/2020,82.83,82.83,78.44,81.06,COSAN
CSAN3,18/02/2020,81.00,82.60,79.23,79.54,COSAN
