Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
CYRE3,02/01/2020,29.80,31.11,29.74,31.11,CYRELA REALT
CYRE3,03/01/2020,30.95,32.80,30.36,32.80,CYRELA REALT
CYRE3,06/01/2020,32.47,32.95,32.16,32.50,CYRELA REALT
CYRE3,07/01/2020,32.20,32.80,31.85,32.60,CYRELA REALT
CYRE3,08/01/2020,32.70,32.70,31.58,31.59,CYRELA REALT
CYRE3,09/01/2020,31.70,31.97,31.11,31.43,CYRELA REALT
CYRE3,10/01/2020,31.44,31.80,31.31,31.65,CYRELA REALT
CYRE3,13/01/2020,31.78,32.40,31.57,32.25,CYRELA REALT
CYRE3,14/01/2020,32.07,32.89,31.98,32.50,CYRELA REALT
CYRE3,15/01/2020,32.50,32.50,31.85,32.00,CYRELA REALT
CYRE3,16/01/2020,32.15,32.29,31.60,32.12,CYRELA REALT
CYRE3,17/01/2020,32.30,33.13,31.75,33.13,CYRELA REALT
CYRE3,20/01/2020,33.38,33.92,32.53,33.85,CYRELA REALT
CYRE3,21/01/2020,33.30,33.95,32.93,33.52,CYRELA REALT
CYRE3,22/01/2020,33.64,34.08,33.08,34.03,CYRELA REALT
CYRE3,23/01/2020,33.62,34.38,33.46,34.38,CYRELA REALT
CYRE3,24/01/2020,34.35,34.40,33.13,33.34,CYRELA REALT
CYRE3,27/01/2020,32.50,32.92,31.74,32.20,CYRELA REALT
CYRE3,28/01/2020,32.30,33.26,32.30,33.08,CYRELA REALT
CYRE3,29/01/2020,33.29,33.43,32.49,32.74,CYRELA REALT
CYRE3,30/01/2020,31.90,32.47,30.60,32.47,CYRELA REALT
CYRE3,31/01/2020,32.03,32.09,31.26,31.80,CYRELA REALT
CYRE3,03/02/2020,32.27,32.98,31.80,32.45,CYRELA REALT
CYRE3,04/02/2020,33.01,33.33,32.64,32.85,CYRELA REALT
CYRE3,05/02/2020,33.28,34.08,32.63,33.00,CYRELA REALT
CYRE3,06/02/2020,33.05,33.40,32.40,33.00,CYRELA REALT
CYRE3,07/02/2020,32.58,32.92,31.78,32.73,CYRELA REALT
