Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
DIRR3,02/01/2020,15.01,15.67,14.98,15.51,DIRECIONAL
DIRR3,03/01/2020,15.30,15.67,15.10,15.50,DIRECIONAL
DIRR3,06/01/2020,15.51,15.69,15.20,15.30,DIRECIONAL
DIRR3,07/01/2020,15.56,15.56,15.20,15.39,DIRECIONAL
DIRR3,08/01/2020,15.49,15.71,15.25,15.48,DIRECIONAL
DIRR3,09/01/2020,15.59,15.78,15.39,15.50,DIRECIONAL
DIRR3,10/01/2020,15.50,15.99,15.45,15.83,DIRECIONAL
DIRR3,13/01/2020,15.98,16.16,15.70,16.07,DIRECIONAL
DIRR3,14/01/2020,16.19,16.62,15.95,16.46,DIRECIONAL
DIRR3,15/01/2020,16.57,16.97,16.19,16.97,DIRECIONAL
DIRR3,16/01/2020,17.02,17.41,16.76,17.18,DIRECIONAL
DIRR3,17/01/2020,17.18,17.30,16.57,16.76,DIRECIONAL
DIRR3,20/01/2020,16.84,17.59,16.74,17.29,DIRECIONAL
DIRR3,21/01/2020,17.38,18.47,17.28,17.82,DIRECIONAL
DIRR3,22/01/2020,17.84,18.19,17.36,17.42,DIRECIONAL
DIRR3,23/01/2020,17.24,18.39,17.22,18.39,DIRECIONAL
DIRR3,24/01/2020,18.40,18.45,17.72,17.77,DIRECIONAL
DIRR3,27/01/2020,17.50,17.74,17.06,17.10,DIRECIONAL
DIRR3,28/01/2020,17.11,17.57,16.87,17.08,DIRECIONAL
DIRR3,29/01/2020,17.02,17.57,17.01,17.38,DIRECIONAL
DIRR3,30/01/2020,17.31,17.31,16.07,16.80,DIRECIONAL
DIRR3,31/01/2020,16.79,16.79,16.27,16.32,DIRECIONAL
DIRR3,03/02/2020,16.30,17.19,16.23,17.01,DIRECIONAL
DIRR3,04/02/2020,17.25,17.43,16.84,16.92,DIRECIONAL
DIRR3,05/02/2020,17.25,17.25,16.63,17.00,DIRECIONAL
DIRR3,06/02/2020,17.00,17.12,16.52,16.99,DIRECIONAL
DIRR3,07/02/2020,16.95,17.00,16.02,16.13,DIRECIONAL
DIRR3,10/02/2020,16.13,16.32,15.32,15.32,DIRECIONAL
DIRR3,11/02/2020,15.40,15.89,15.40,15.59,DIRECIONAL
DIRR3,12/02/2020,15.70,16.08,15.68,16.08,DIRECIONAL
DIRR3,13/02/2020,15.75,16.05,15.62,15.96,DIRECIONAL
DIRR3,14/02/2020,15.85,16.01,15.62,15.82,DIRECIONAL
DIRR3,17/02/2020,15.90,16.16,15.72,16.16,DIRECIONAL
DIRR3,18/02/2020,16.23,16.24,15.81,16.12,DIRECIONAL
DIRR3,19/02/2020,16.24,16.63,15.96,16.50,DIRECIONAL
DIRR3,20/02/2020,16.55,16.89,16.23,16.80,DIRECIONAL
DIRR3,21/02/2020,16.50,17.15,16.40,17.09,DIRECIONAL
DIRR3,26/02/2020,16.29,16.29,15.55,16.26,DIRECIONAL
DIRR3,27/02/2020,16.00,16.00,15.03,15.12,DIRECIONAL
DIRR3,28/02/2020,14.80,15.07,14.36,15.01,DIRECIONAL
