Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
DIVO11,02/01/2020,69.65,70.13,69.50,70.12,IT NOW IDIV
DIVO11,03/01/2020,69.80,70.22,69.63,69.70,IT NOW IDIV
DIVO11,06/01/2020,69.80,70.39,68.65,69.25,IT NOW IDIV
DIVO11,07/01/2020,69.84,69.84,68.78,69.18,IT NOW IDIV
DIVO11,08/01/2020,69.30,69.78,68.50,68.85,IT NOW IDIV
DIVO11,09/01/2020,68.65,69.75,68.16,68.30,IT NOW IDIV
DIVO11,10/01/2020,68.28,69.23,68.28,68.90,IT NOW IDIV
DIVO11,13/01/2020,68.99,69.70,68.99,69.48,IT NOW IDIV
DIVO11,14/01/2020,69.65,70.50,69.54,70.50,IT NOW IDIV
DIVO11,15/01/2020,70.50,70.99,69.67,69.87,IT NOW IDIV
DIVO11,16/01/2020,70.00,70.30,69.31,70.10,IT NOW IDIV
DIVO11,17/01/2020,70.90,70.90,70.00,70.39,IT NOW IDIV
DIVO11,20/01/2020,70.48,71.20,70.42,71.00,IT NOW IDIV
DIVO11,21/01/2020,70.99,71.00,70.31,70.31,IT NOW IDIV
DIVO11,22/01/2020,70.47,71.10,70.45,71.10,IT NOW IDIV
DIVO11,23/01/2020,71.00,71.50,70.36,71.50,IT NOW IDIV
DIVO11,24/01/2020,71.51,71.58,70.89,70.95,IT NOW IDIV
DIVO11,27/01/2020,70.49,70.49,69.15,69.15,IT NOW IDIV
DIVO11,28/01/2020,69.13,70.50,69.13,70.15,IT NOW IDIV
DIVO11,29/01/2020,70.00,71.34,69.50,69.64,IT NOW IDIV
DIVO11,30/01/2020,69.98,69.98,67.76,69.50,IT NOW IDIV
DIVO11,31/01/2020,69.39,69.39,68.00,68.00,IT NOW IDIV
DIVO11,03/02/2020,68.06,69.28,68.06,68.90,IT NOW IDIV
DIVO11,04/02/2020,69.50,70.50,69.15,69.15,IT NOW IDIV
DIVO11,05/02/2020,69.70,70.30,69.60,69.72,IT NOW IDIV
DIVO11,06/02/2020,70.28,70.30,68.74,68.94,IT NOW IDIV
DIVO11,07/02/2020,68.50,68.94,68.12,68.20,IT NOW IDIV
DIVO11,10/02/2020,68.12,68.30,66.50,67.40,IT NOW IDIV
DIVO11,11/02/2020,67.94,68.81,67.85,68.75,IT NOW IDIV
DIVO11,12/02/2020,69.03,70.03,69.03,69.50,IT NOW IDIV
DIVO11,13/02/2020,69.13,69.50,68.70,68.70,IT NOW IDIV
DIVO11,14/02/2020,68.71,69.80,68.42,69.09,IT NOW IDIV
DIVO11,17/02/2020,69.36,69.70,68.61,68.93,IT NOW IDIV
DIVO11,18/02/2020,68.93,68.93,68.10,68.50,IT NOW IDIV
DIVO11,19/02/2020,68.69,69.71,68.51,69.43,IT NOW IDIV
DIVO11,20/02/2020,69.53,70.10,68.63,69.03,IT NOW IDIV
DIVO11,21/02/2020,68.84,69.89,68.00,69.10,IT NOW IDIV
DIVO11,26/02/2020,65.60,67.60,64.42,65.00,IT NOW IDIV
DIVO11,27/02/2020,64.33,65.04,63.10,63.10,IT NOW IDIV
DIVO11,28/02/2020,62.87,64.40,61.17,63.60,IT NOW IDIV
DIVO11,02/03/2020,63.60,66.05,63.50,65.50,IT NOW IDIV
DIVO11,03/03/2020,65.51,67.08,64.75,66.00,IT NOW IDIV
DIVO11,04/03/2020,66.83,67.95,65.97,67.40,IT NOW IDIV
DIVO11,05/03/2020,67.24,67.24,64.30,64.75,IT NOW IDIV
DIVO11,06/03/2020,62.75,63.40,61.46,63.00,IT NOW IDIV
DIVO11,09/03/2020,59.84,59.84,57.21,58.00,IT NOW IDIV
DIVO11,10/03/2020,60.01,60.58,57.80,59.80,IT NOW IDIV
DIVO11,11/03/2020,59.41,59.80,54.10,57.80,IT NOW IDIV
