Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ECOR3,02/01/2020,16.55,16.65,16.27,16.30,ECORODOVIAS
ECOR3,03/01/2020,16.20,16.52,16.09,16.17,ECORODOVIAS
ECOR3,06/01/2020,16.16,16.26,15.91,16.08,ECORODOVIAS
ECOR3,07/01/2020,16.15,16.70,15.90,16.44,ECORODOVIAS
ECOR3,08/01/2020,16.51,16.88,16.27,16.48,ECORODOVIAS
ECOR3,09/01/2020,16.44,16.60,16.30,16.43,ECORODOVIAS
ECOR3,10/01/2020,16.45,16.78,16.20,16.37,ECORODOVIAS
ECOR3,13/01/2020,16.41,16.79,16.30,16.65,ECORODOVIAS
ECOR3,14/01/2020,16.74,17.36,16.71,17.36,ECORODOVIAS
ECOR3,15/01/2020,17.37,17.51,17.18,17.50,ECORODOVIAS
ECOR3,16/01/2020,17.51,18.07,17.31,17.99,ECORODOVIAS
ECOR3,17/01/2020,18.07,18.20,17.72,18.20,ECORODOVIAS
ECOR3,20/01/2020,18.12,18.46,17.94,18.40,ECORODOVIAS
ECOR3,21/01/2020,18.39,18.74,18.18,18.58,ECORODOVIAS
ECOR3,22/01/2020,18.58,18.67,18.28,18.39,ECORODOVIAS
ECOR3,23/01/2020,18.31,19.08,18.02,18.96,ECORODOVIAS
ECOR3,24/01/2020,18.96,19.17,18.78,18.90,ECORODOVIAS
ECOR3,27/01/2020,18.80,19.02,18.31,19.02,ECORODOVIAS
ECOR3,28/01/2020,19.02,19.21,18.71,19.10,ECORODOVIAS
ECOR3,29/01/2020,19.18,19.22,18.77,18.87,ECORODOVIAS
ECOR3,30/01/2020,18.60,18.64,18.11,18.36,ECORODOVIAS
ECOR3,31/01/2020,18.30,18.37,17.73,17.73,ECORODOVIAS
ECOR3,03/02/2020,17.70,18.16,17.37,18.00,ECORODOVIAS
ECOR3,04/02/2020,18.20,18.41,17.69,17.75,ECORODOVIAS
ECOR3,05/02/2020,17.93,18.10,17.59,17.86,ECORODOVIAS
ECOR3,06/02/2020,17.93,18.02,17.20,17.43,ECORODOVIAS
ECOR3,07/02/2020,17.36,17.37,16.68,16.82,ECORODOVIAS
ECOR3,10/02/2020,16.75,16.84,16.26,16.76,ECORODOVIAS
ECOR3,11/02/2020,16.85,17.35,16.79,17.27,ECORODOVIAS
ECOR3,12/02/2020,17.33,17.74,16.93,17.60,ECORODOVIAS
ECOR3,13/02/2020,17.37,17.37,16.98,17.20,ECORODOVIAS
ECOR3,14/02/2020,17.25,17.27,16.70,17.03,ECORODOVIAS
