Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ELET6,02/01/2020,38.39,38.74,38.24,38.71,ELETROBRAS
ELET6,03/01/2020,38.30,38.78,38.01,38.55,ELETROBRAS
ELET6,06/01/2020,38.34,39.31,37.72,38.61,ELETROBRAS
ELET6,07/01/2020,38.53,39.20,38.14,39.20,ELETROBRAS
ELET6,08/01/2020,39.23,39.77,38.93,39.53,ELETROBRAS
ELET6,09/01/2020,39.42,40.27,39.32,40.11,ELETROBRAS
ELET6,10/01/2020,40.02,40.82,39.80,40.65,ELETROBRAS
ELET6,13/01/2020,40.51,41.20,40.44,40.79,ELETROBRAS
ELET6,14/01/2020,40.68,40.85,38.99,40.15,ELETROBRAS
ELET6,15/01/2020,40.15,40.38,39.73,40.02,ELETROBRAS
ELET6,16/01/2020,40.16,40.95,40.13,40.86,ELETROBRAS
ELET6,17/01/2020,41.07,41.48,40.87,41.17,ELETROBRAS
ELET6,20/01/2020,41.17,41.38,40.51,41.13,ELETROBRAS
ELET6,21/01/2020,40.84,41.10,40.37,40.68,ELETROBRAS
ELET6,22/01/2020,42.00,42.78,41.12,42.42,ELETROBRAS
ELET6,23/01/2020,41.60,42.63,41.12,42.51,ELETROBRAS
ELET6,24/01/2020,42.65,42.87,42.16,42.38,ELETROBRAS
ELET6,27/01/2020,41.75,41.75,40.41,41.22,ELETROBRAS
ELET6,28/01/2020,41.22,42.83,41.01,42.66,ELETROBRAS
ELET6,29/01/2020,42.67,43.37,41.94,42.53,ELETROBRAS
ELET6,30/01/2020,41.95,42.38,40.63,41.40,ELETROBRAS
ELET6,31/01/2020,41.20,41.20,40.31,40.87,ELETROBRAS
ELET6,03/02/2020,40.91,41.26,40.03,40.23,ELETROBRAS
ELET6,04/02/2020,40.43,40.95,40.14,40.63,ELETROBRAS
ELET6,05/02/2020,40.85,41.42,40.14,40.28,ELETROBRAS
ELET6,06/02/2020,40.44,40.88,38.58,39.26,ELETROBRAS
ELET6,07/02/2020,38.98,39.10,38.06,38.37,ELETROBRAS
ELET6,10/02/2020,38.25,38.32,36.70,37.32,ELETROBRAS
ELET6,11/02/2020,37.47,37.80,36.78,37.61,ELETROBRAS
ELET6,12/02/2020,38.44,38.58,36.92,38.05,ELETROBRAS
ELET6,13/02/2020,37.70,38.05,37.12,37.90,ELETROBRAS
ELET6,14/02/2020,38.05,38.68,37.57,38.38,ELETROBRAS
ELET6,17/02/2020,38.57,38.89,38.30,38.63,ELETROBRAS
ELET6,18/02/2020,38.50,40.65,38.50,40.65,ELETROBRAS
ELET6,19/02/2020,40.65,41.52,40.00,41.14,ELETROBRAS
ELET6,20/02/2020,40.95,40.95,39.56,40.37,ELETROBRAS
ELET6,21/02/2020,39.80,40.03,39.28,39.73,ELETROBRAS
ELET6,26/02/2020,38.03,38.30,36.74,36.99,ELETROBRAS
ELET6,27/02/2020,36.28,37.10,35.60,35.60,ELETROBRAS
ELET6,28/02/2020,35.61,35.90,33.61,35.85,ELETROBRAS
ELET6,02/03/2020,35.98,36.65,35.25,35.91,ELETROBRAS
ELET6,03/03/2020,35.83,37.13,35.06,35.72,ELETROBRAS
ELET6,04/03/2020,35.94,37.00,35.86,36.45,ELETROBRAS
ELET6,05/03/2020,36.45,37.03,35.52,36.05,ELETROBRAS
ELET6,06/03/2020,34.09,35.25,33.62,34.40,ELETROBRAS
ELET6,09/03/2020,30.60,31.55,29.23,29.83,ELETROBRAS
ELET6,10/03/2020,31.32,32.39,29.96,32.39,ELETROBRAS
ELET6,11/03/2020,32.27,33.35,27.93,30.84,ELETROBRAS
ELET6,12/03/2020,26.51,26.51,21.94,24.88,ELETROBRAS
ELET6,13/03/2020,28.28,29.26,24.34,28.92,ELETROBRAS
ELET6,16/03/2020,24.00,25.65,21.90,24.59,ELETROBRAS
ELET6,17/03/2020,24.90,26.70,23.85,25.46,ELETROBRAS
ELET6,18/03/2020,23.01,23.85,19.18,21.36,ELETROBRAS
ELET6,19/03/2020,21.14,21.14,18.06,19.41,ELETROBRAS
ELET6,20/03/2020,20.12,20.50,18.33,18.91,ELETROBRAS
ELET6,23/03/2020,19.06,19.25,16.12,18.48,ELETROBRAS
ELET6,24/03/2020,19.74,20.49,18.79,20.49,ELETROBRAS
ELET6,25/03/2020,19.89,24.48,19.89,23.95,ELETROBRAS
ELET6,26/03/2020,22.88,25.42,22.88,25.31,ELETROBRAS
ELET6,27/03/2020,23.41,25.53,23.40,24.81,ELETROBRAS
ELET6,30/03/2020,25.30,26.64,25.30,26.44,ELETROBRAS
ELET6,31/03/2020,26.60,28.13,25.49,26.03,ELETROBRAS
ELET6,01/04/2020,24.81,25.64,24.07,24.94,ELETROBRAS
ELET6,02/04/2020,25.20,25.80,24.49,25.24,ELETROBRAS
ELET6,03/04/2020,25.22,25.25,22.74,24.95,ELETROBRAS
ELET6,06/04/2020,25.80,26.78,24.37,24.85,ELETROBRAS
ELET6,07/04/2020,26.36,27.46,25.46,25.62,ELETROBRAS
ELET6,08/04/2020,25.84,27.33,24.91,26.95,ELETROBRAS
ELET6,09/04/2020,27.00,29.24,26.83,28.34,ELETROBRAS
ELET6,13/04/2020,28.19,29.38,27.30,29.19,ELETROBRAS
ELET6,14/04/2020,29.63,31.23,29.54,30.19,ELETROBRAS
ELET6,15/04/2020,29.10,30.69,28.65,29.96,ELETROBRAS
ELET6,16/04/2020,30.45,30.58,28.93,29.08,ELETROBRAS
ELET6,17/04/2020,29.75,29.79,28.60,29.34,ELETROBRAS
ELET6,20/04/2020,28.60,29.83,27.16,29.21,ELETROBRAS
ELET6,22/04/2020,29.15,30.56,28.92,29.97,ELETROBRAS
ELET6,23/04/2020,30.33,30.55,27.66,28.71,ELETROBRAS
ELET6,24/04/2020,27.70,27.70,22.90,24.93,ELETROBRAS
ELET6,27/04/2020,25.60,26.50,25.05,25.79,ELETROBRAS
ELET6,28/04/2020,27.36,27.88,26.53,27.32,ELETROBRAS
ELET6,29/04/2020,27.60,28.10,26.78,27.74,ELETROBRAS
ELET6,30/04/2020,26.68,27.84,26.08,27.84,ELETROBRAS
ELET6,04/05/2020,26.18,26.75,25.49,26.30,ELETROBRAS
ELET6,05/05/2020,26.74,27.00,26.01,26.20,ELETROBRAS
ELET6,06/05/2020,26.19,26.35,25.15,25.86,ELETROBRAS
ELET6,07/05/2020,26.21,26.21,24.16,24.33,ELETROBRAS
ELET6,08/05/2020,25.00,25.49,24.57,25.40,ELETROBRAS
ELET6,11/05/2020,25.15,25.82,24.44,24.70,ELETROBRAS
ELET6,12/05/2020,25.15,25.58,23.25,23.25,ELETROBRAS
ELET6,13/05/2020,23.80,23.98,22.00,23.35,ELETROBRAS
ELET6,14/05/2020,22.80,25.17,22.43,25.17,ELETROBRAS
ELET6,15/05/2020,24.89,25.53,23.84,25.22,ELETROBRAS
ELET6,18/05/2020,25.99,26.79,25.46,26.57,ELETROBRAS
ELET6,19/05/2020,26.76,26.83,25.80,25.92,ELETROBRAS
