Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EMAE4,02/01/2020,36.94,37.00,36.05,37.00,EMAE
EMAE4,03/01/2020,36.99,37.00,36.24,37.00,EMAE
EMAE4,06/01/2020,36.99,36.99,36.45,36.61,EMAE
EMAE4,07/01/2020,36.91,37.00,36.64,36.72,EMAE
EMAE4,08/01/2020,36.98,36.98,36.16,36.32,EMAE
EMAE4,09/01/2020,36.32,36.86,36.32,36.79,EMAE
EMAE4,10/01/2020,36.88,36.94,36.62,36.94,EMAE
EMAE4,13/01/2020,36.93,36.94,36.79,36.94,EMAE
EMAE4,14/01/2020,36.94,38.50,36.58,38.00,EMAE
EMAE4,15/01/2020,38.06,39.75,38.01,38.50,EMAE
EMAE4,16/01/2020,38.99,38.99,38.00,38.49,EMAE
EMAE4,17/01/2020,38.84,38.86,38.50,38.51,EMAE
EMAE4,20/01/2020,38.52,39.00,38.27,39.00,EMAE
EMAE4,21/01/2020,39.00,39.43,39.00,39.43,EMAE
EMAE4,22/01/2020,39.43,39.80,39.25,39.59,EMAE
EMAE4,23/01/2020,39.59,39.79,39.34,39.57,EMAE
EMAE4,24/01/2020,39.57,39.74,39.25,39.25,EMAE
EMAE4,27/01/2020,39.25,39.25,38.47,38.80,EMAE
EMAE4,28/01/2020,39.00,39.35,37.40,39.35,EMAE
EMAE4,29/01/2020,39.60,39.80,39.30,39.69,EMAE
EMAE4,30/01/2020,39.58,39.58,38.85,39.15,EMAE
EMAE4,31/01/2020,39.30,39.30,38.59,39.11,EMAE
EMAE4,03/02/2020,39.36,39.39,39.10,39.39,EMAE
EMAE4,04/02/2020,39.39,39.75,39.36,39.47,EMAE
EMAE4,05/02/2020,38.61,39.60,38.61,39.45,EMAE
EMAE4,06/02/2020,39.39,39.60,39.25,39.35,EMAE
EMAE4,07/02/2020,39.59,39.60,38.51,38.51,EMAE
EMAE4,10/02/2020,38.17,38.23,36.24,37.06,EMAE
EMAE4,11/02/2020,37.73,38.50,37.30,38.25,EMAE
EMAE4,12/02/2020,38.92,39.54,38.80,39.19,EMAE
EMAE4,13/02/2020,37.81,39.38,37.81,38.99,EMAE
EMAE4,14/02/2020,39.39,39.40,38.80,39.00,EMAE
EMAE4,17/02/2020,39.39,39.39,39.00,39.18,EMAE
EMAE4,18/02/2020,38.60,39.00,38.60,39.00,EMAE
EMAE4,19/02/2020,39.00,39.29,38.90,39.26,EMAE
EMAE4,20/02/2020,39.26,39.27,38.68,38.98,EMAE
EMAE4,21/02/2020,38.30,39.03,38.30,39.03,EMAE
EMAE4,26/02/2020,37.03,38.58,36.55,37.00,EMAE
EMAE4,27/02/2020,37.35,37.88,35.01,37.70,EMAE
EMAE4,28/02/2020,37.10,37.47,35.49,36.39,EMAE
EMAE4,02/03/2020,36.02,38.40,36.02,38.39,EMAE
EMAE4,03/03/2020,38.39,38.89,37.62,37.80,EMAE
EMAE4,04/03/2020,38.63,38.63,38.00,38.50,EMAE
EMAE4,05/03/2020,37.50,38.17,37.50,37.70,EMAE
EMAE4,06/03/2020,36.00,37.04,33.51,34.00,EMAE
EMAE4,09/03/2020,31.75,31.75,28.50,29.80,EMAE
EMAE4,10/03/2020,34.69,34.69,30.00,31.49,EMAE
EMAE4,11/03/2020,31.49,31.49,28.65,29.99,EMAE
EMAE4,12/03/2020,28.00,28.00,23.50,26.35,EMAE
EMAE4,13/03/2020,27.99,28.91,26.36,28.55,EMAE
EMAE4,16/03/2020,28.47,28.47,23.50,26.99,EMAE
EMAE4,17/03/2020,28.00,28.80,25.05,25.80,EMAE
EMAE4,18/03/2020,25.05,25.05,20.50,23.30,EMAE
EMAE4,19/03/2020,21.45,25.95,19.57,25.95,EMAE
