Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EMBR3,02/01/2020,19.95,20.30,19.95,20.20,EMBRAER
EMBR3,03/01/2020,20.10,20.47,19.99,20.41,EMBRAER
EMBR3,06/01/2020,20.43,20.59,20.14,20.38,EMBRAER
EMBR3,07/01/2020,20.42,20.57,20.07,20.50,EMBRAER
EMBR3,08/01/2020,20.50,20.59,20.29,20.33,EMBRAER
EMBR3,09/01/2020,20.32,20.43,20.01,20.19,EMBRAER
EMBR3,10/01/2020,20.29,20.32,20.06,20.11,EMBRAER
EMBR3,13/01/2020,20.11,20.53,20.08,20.46,EMBRAER
EMBR3,14/01/2020,20.47,20.47,20.15,20.37,EMBRAER
EMBR3,15/01/2020,20.27,20.31,19.79,20.00,EMBRAER
EMBR3,16/01/2020,20.11,20.11,19.57,19.65,EMBRAER
EMBR3,17/01/2020,19.73,19.77,19.46,19.55,EMBRAER
EMBR3,20/01/2020,19.60,19.60,19.24,19.39,EMBRAER
EMBR3,21/01/2020,19.33,19.41,18.90,18.93,EMBRAER
EMBR3,22/01/2020,19.02,19.25,18.83,19.20,EMBRAER
EMBR3,23/01/2020,19.23,19.23,18.73,18.99,EMBRAER
EMBR3,24/01/2020,18.99,19.05,18.55,18.55,EMBRAER
EMBR3,27/01/2020,18.40,18.40,18.11,18.14,EMBRAER
EMBR3,28/01/2020,18.61,18.78,18.20,18.20,EMBRAER
EMBR3,29/01/2020,18.24,18.44,18.15,18.18,EMBRAER
EMBR3,30/01/2020,18.10,18.17,17.73,18.10,EMBRAER
EMBR3,31/01/2020,18.10,18.24,17.80,18.14,EMBRAER
EMBR3,03/02/2020,18.07,18.41,17.98,18.04,EMBRAER
EMBR3,04/02/2020,18.13,18.37,18.06,18.25,EMBRAER
EMBR3,05/02/2020,18.41,18.74,18.32,18.41,EMBRAER
EMBR3,06/02/2020,18.58,18.74,18.41,18.65,EMBRAER
EMBR3,07/02/2020,18.53,18.62,18.23,18.39,EMBRAER
EMBR3,10/02/2020,18.40,18.85,18.24,18.51,EMBRAER
EMBR3,11/02/2020,18.70,18.94,18.45,18.94,EMBRAER
EMBR3,12/02/2020,18.97,19.33,18.79,19.13,EMBRAER
EMBR3,13/02/2020,18.66,19.17,18.61,19.17,EMBRAER
EMBR3,14/02/2020,19.05,19.18,18.56,18.56,EMBRAER
EMBR3,17/02/2020,18.51,18.94,18.15,18.87,EMBRAER
EMBR3,18/02/2020,18.80,18.90,18.44,18.77,EMBRAER
EMBR3,19/02/2020,18.54,19.19,18.45,19.04,EMBRAER
EMBR3,20/02/2020,19.06,20.04,19.06,19.68,EMBRAER
EMBR3,21/02/2020,19.53,19.66,19.32,19.54,EMBRAER
EMBR3,26/02/2020,18.35,18.48,17.63,17.84,EMBRAER
EMBR3,27/02/2020,17.70,17.83,17.17,17.18,EMBRAER
EMBR3,28/02/2020,17.20,17.20,16.28,16.96,EMBRAER
EMBR3,02/03/2020,16.80,17.16,16.53,17.15,EMBRAER
EMBR3,03/03/2020,16.92,17.55,16.67,16.91,EMBRAER
EMBR3,04/03/2020,17.26,17.36,16.70,17.24,EMBRAER
EMBR3,05/03/2020,17.00,17.21,16.35,16.55,EMBRAER
EMBR3,06/03/2020,16.03,16.30,15.76,15.92,EMBRAER
EMBR3,09/03/2020,15.26,15.28,14.68,14.96,EMBRAER
EMBR3,10/03/2020,15.05,15.40,14.51,15.17,EMBRAER
EMBR3,11/03/2020,14.59,14.88,13.64,14.22,EMBRAER
EMBR3,12/03/2020,10.99,11.56,10.46,10.46,EMBRAER
EMBR3,13/03/2020,12.07,12.14,10.55,11.68,EMBRAER
EMBR3,16/03/2020,10.35,11.17,10.00,10.00,EMBRAER
EMBR3,17/03/2020,10.00,10.77,9.61,10.48,EMBRAER
EMBR3,18/03/2020,9.47,9.90,8.53,9.03,EMBRAER
EMBR3,19/03/2020,8.91,10.01,8.43,9.65,EMBRAER
EMBR3,20/03/2020,10.00,10.00,8.40,8.40,EMBRAER
EMBR3,23/03/2020,8.53,8.53,7.34,7.74,EMBRAER
EMBR3,24/03/2020,8.10,10.63,7.79,9.05,EMBRAER
EMBR3,25/03/2020,8.98,10.92,8.97,10.57,EMBRAER
EMBR3,26/03/2020,10.50,11.04,10.00,10.13,EMBRAER
EMBR3,27/03/2020,9.93,9.99,8.97,8.97,EMBRAER
EMBR3,30/03/2020,9.03,9.48,8.71,9.32,EMBRAER
EMBR3,31/03/2020,9.50,9.97,9.37,9.54,EMBRAER
EMBR3,01/04/2020,9.18,9.48,9.02,9.44,EMBRAER
EMBR3,02/04/2020,9.48,9.72,9.10,9.25,EMBRAER
EMBR3,03/04/2020,9.20,9.29,8.30,8.48,EMBRAER
EMBR3,06/04/2020,8.90,9.42,8.80,8.86,EMBRAER
EMBR3,07/04/2020,9.55,10.05,8.74,8.75,EMBRAER
EMBR3,08/04/2020,8.90,9.40,8.82,9.34,EMBRAER
EMBR3,09/04/2020,9.39,9.74,9.27,9.63,EMBRAER
EMBR3,13/04/2020,9.65,9.76,9.25,9.76,EMBRAER
EMBR3,14/04/2020,9.93,9.93,9.51,9.62,EMBRAER
EMBR3,15/04/2020,9.50,9.56,9.16,9.28,EMBRAER
EMBR3,16/04/2020,9.38,9.52,8.99,9.25,EMBRAER
EMBR3,17/04/2020,9.40,9.67,9.11,9.55,EMBRAER
EMBR3,20/04/2020,9.29,9.35,9.09,9.20,EMBRAER
EMBR3,22/04/2020,9.07,9.13,8.83,8.97,EMBRAER
EMBR3,23/04/2020,8.95,9.34,8.90,9.27,EMBRAER
EMBR3,24/04/2020,9.20,9.20,8.18,8.28,EMBRAER
EMBR3,27/04/2020,7.26,7.89,6.91,7.66,EMBRAER
EMBR3,28/04/2020,7.93,8.35,7.73,8.17,EMBRAER
EMBR3,29/04/2020,8.28,9.00,8.20,8.82,EMBRAER
EMBR3,30/04/2020,8.66,8.75,8.32,8.65,EMBRAER
EMBR3,04/05/2020,8.20,8.23,7.62,7.72,EMBRAER
EMBR3,05/05/2020,7.91,7.96,7.36,7.50,EMBRAER
EMBR3,06/05/2020,7.59,7.59,7.14,7.16,EMBRAER
EMBR3,07/05/2020,7.24,7.53,6.99,7.01,EMBRAER
EMBR3,08/05/2020,7.16,7.57,7.06,7.54,EMBRAER
EMBR3,11/05/2020,7.45,7.69,7.16,7.19,EMBRAER
EMBR3,12/05/2020,7.22,7.33,6.73,6.78,EMBRAER
EMBR3,13/05/2020,6.78,6.78,6.17,6.19,EMBRAER
EMBR3,14/05/2020,5.91,6.62,5.89,6.57,EMBRAER
EMBR3,15/05/2020,6.50,6.79,6.23,6.23,EMBRAER
EMBR3,18/05/2020,6.51,6.69,6.33,6.59,EMBRAER
EMBR3,19/05/2020,6.65,6.85,6.44,6.44,EMBRAER
EMBR3,20/05/2020,6.54,6.76,6.48,6.58,EMBRAER
EMBR3,21/05/2020,6.61,6.71,6.48,6.59,EMBRAER
EMBR3,22/05/2020,6.56,6.82,6.45,6.47,EMBRAER
EMBR3,25/05/2020,6.57,7.00,6.56,6.86,EMBRAER
EMBR3,26/05/2020,6.97,7.17,6.59,6.64,EMBRAER
EMBR3,27/05/2020,6.81,7.30,6.77,7.27,EMBRAER
EMBR3,28/05/2020,7.27,7.52,6.98,6.98,EMBRAER
EMBR3,29/05/2020,6.98,8.28,6.78,7.15,EMBRAER
EMBR3,01/06/2020,7.29,7.49,7.05,7.41,EMBRAER
EMBR3,02/06/2020,7.53,8.24,7.50,8.24,EMBRAER
EMBR3,03/06/2020,8.53,9.17,8.52,8.52,EMBRAER
EMBR3,04/06/2020,8.68,9.17,8.24,8.93,EMBRAER
EMBR3,05/06/2020,9.46,9.48,8.85,9.04,EMBRAER
EMBR3,08/06/2020,9.50,10.70,9.37,10.70,EMBRAER
EMBR3,09/06/2020,10.50,10.53,10.13,10.31,EMBRAER
EMBR3,10/06/2020,10.50,10.60,9.33,9.33,EMBRAER
