Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ENAT3,02/01/2020,16.06,17.14,15.97,17.09,ENAUTA PART
ENAT3,03/01/2020,17.41,17.55,16.91,17.43,ENAUTA PART
ENAT3,06/01/2020,17.39,17.80,17.06,17.20,ENAUTA PART
ENAT3,07/01/2020,17.21,17.52,17.14,17.28,ENAUTA PART
ENAT3,08/01/2020,17.29,17.44,16.78,17.08,ENAUTA PART
ENAT3,09/01/2020,17.10,17.17,16.30,16.30,ENAUTA PART
ENAT3,10/01/2020,16.35,17.40,16.13,16.73,ENAUTA PART
ENAT3,13/01/2020,16.80,17.51,16.80,17.39,ENAUTA PART
ENAT3,14/01/2020,17.32,17.44,17.08,17.40,ENAUTA PART
ENAT3,15/01/2020,17.44,18.39,17.44,18.20,ENAUTA PART
ENAT3,16/01/2020,18.35,18.35,17.51,17.80,ENAUTA PART
ENAT3,17/01/2020,17.80,18.26,17.45,18.26,ENAUTA PART
ENAT3,20/01/2020,18.25,18.49,17.82,18.49,ENAUTA PART
ENAT3,21/01/2020,18.25,18.66,18.18,18.54,ENAUTA PART
ENAT3,22/01/2020,18.62,18.69,18.12,18.49,ENAUTA PART
ENAT3,23/01/2020,18.47,18.54,17.85,18.40,ENAUTA PART
ENAT3,24/01/2020,18.48,18.52,17.97,18.13,ENAUTA PART
ENAT3,27/01/2020,17.70,17.81,16.86,17.25,ENAUTA PART
ENAT3,28/01/2020,17.31,17.69,17.13,17.45,ENAUTA PART
ENAT3,29/01/2020,17.50,17.65,16.80,16.80,ENAUTA PART
ENAT3,30/01/2020,16.41,17.03,16.21,17.03,ENAUTA PART
ENAT3,31/01/2020,17.00,17.00,16.25,16.30,ENAUTA PART
ENAT3,03/02/2020,16.37,16.93,16.32,16.40,ENAUTA PART
ENAT3,04/02/2020,16.80,17.15,16.50,16.72,ENAUTA PART
ENAT3,05/02/2020,16.92,17.12,16.36,16.65,ENAUTA PART
ENAT3,06/02/2020,16.65,16.80,15.90,16.12,ENAUTA PART
ENAT3,07/02/2020,16.00,16.10,15.26,15.26,ENAUTA PART
ENAT3,10/02/2020,15.27,15.82,14.91,15.28,ENAUTA PART
ENAT3,11/02/2020,15.51,15.99,15.28,15.84,ENAUTA PART
ENAT3,12/02/2020,16.00,16.29,15.56,16.09,ENAUTA PART
ENAT3,13/02/2020,15.70,16.07,15.44,15.71,ENAUTA PART
ENAT3,14/02/2020,15.73,16.04,15.33,15.35,ENAUTA PART
ENAT3,17/02/2020,15.36,16.43,15.36,16.27,ENAUTA PART
ENAT3,18/02/2020,16.18,16.22,15.68,15.97,ENAUTA PART
ENAT3,19/02/2020,16.01,16.20,15.82,16.01,ENAUTA PART
ENAT3,20/02/2020,16.15,16.80,15.98,16.53,ENAUTA PART
ENAT3,21/02/2020,16.39,16.86,16.08,16.60,ENAUTA PART
ENAT3,26/02/2020,15.85,15.85,13.84,13.99,ENAUTA PART
ENAT3,27/02/2020,13.76,14.19,13.43,13.53,ENAUTA PART
ENAT3,28/02/2020,13.30,13.43,12.88,13.29,ENAUTA PART
ENAT3,02/03/2020,13.41,13.98,13.36,13.61,ENAUTA PART
ENAT3,03/03/2020,13.85,14.15,13.16,13.58,ENAUTA PART
ENAT3,04/03/2020,13.85,13.90,12.91,13.00,ENAUTA PART
ENAT3,05/03/2020,12.96,13.55,12.58,13.11,ENAUTA PART
ENAT3,06/03/2020,12.60,12.80,12.30,12.41,ENAUTA PART
ENAT3,09/03/2020,10.40,10.86,9.48,9.65,ENAUTA PART
ENAT3,10/03/2020,11.05,11.17,9.62,10.30,ENAUTA PART
ENAT3,11/03/2020,10.25,10.39,9.26,9.70,ENAUTA PART
ENAT3,12/03/2020,7.61,8.60,7.61,8.05,ENAUTA PART
ENAT3,13/03/2020,9.25,9.32,8.07,9.16,ENAUTA PART
ENAT3,16/03/2020,8.40,9.64,8.16,9.49,ENAUTA PART
ENAT3,17/03/2020,9.56,9.68,8.51,8.71,ENAUTA PART
ENAT3,18/03/2020,8.45,8.47,6.44,6.44,ENAUTA PART
ENAT3,19/03/2020,6.50,8.09,6.04,7.50,ENAUTA PART
ENAT3,20/03/2020,7.96,9.21,7.80,7.80,ENAUTA PART
ENAT3,23/03/2020,7.67,8.20,7.61,8.10,ENAUTA PART
ENAT3,24/03/2020,8.53,9.01,8.12,8.12,ENAUTA PART
ENAT3,25/03/2020,8.13,9.23,8.13,8.88,ENAUTA PART
ENAT3,26/03/2020,8.88,9.99,8.78,9.01,ENAUTA PART
ENAT3,27/03/2020,8.73,9.21,8.56,9.05,ENAUTA PART
ENAT3,30/03/2020,9.00,9.18,8.61,8.82,ENAUTA PART
ENAT3,31/03/2020,9.01,9.38,8.75,9.15,ENAUTA PART
ENAT3,01/04/2020,8.75,8.85,8.23,8.42,ENAUTA PART
ENAT3,02/04/2020,8.95,9.60,8.61,8.90,ENAUTA PART
ENAT3,03/04/2020,9.10,9.50,8.51,8.80,ENAUTA PART
ENAT3,06/04/2020,9.00,9.11,8.67,8.88,ENAUTA PART
ENAT3,07/04/2020,9.13,10.45,9.13,9.91,ENAUTA PART
ENAT3,08/04/2020,9.90,10.83,9.74,10.40,ENAUTA PART
ENAT3,09/04/2020,10.70,10.97,9.59,9.62,ENAUTA PART
ENAT3,13/04/2020,9.67,10.20,9.40,10.20,ENAUTA PART
ENAT3,14/04/2020,10.30,10.64,9.91,10.09,ENAUTA PART
ENAT3,15/04/2020,9.78,10.17,9.58,10.00,ENAUTA PART
ENAT3,16/04/2020,10.15,10.30,9.80,9.92,ENAUTA PART
ENAT3,17/04/2020,9.06,9.32,8.82,8.98,ENAUTA PART
ENAT3,20/04/2020,8.65,9.08,8.50,8.50,ENAUTA PART
ENAT3,22/04/2020,8.25,8.93,8.00,8.84,ENAUTA PART
ENAT3,23/04/2020,9.00,9.24,8.56,9.19,ENAUTA PART
ENAT3,24/04/2020,9.04,9.04,8.02,8.37,ENAUTA PART
