Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
ENBR3,02/01/2020,22.00,22.14,21.77,21.91,ENERGIAS BR
ENBR3,03/01/2020,21.78,22.05,21.40,22.05,ENERGIAS BR
ENBR3,06/01/2020,21.94,21.94,21.56,21.88,ENERGIAS BR
ENBR3,07/01/2020,21.94,21.94,21.44,21.75,ENERGIAS BR
ENBR3,08/01/2020,21.84,21.84,21.46,21.72,ENERGIAS BR
ENBR3,09/01/2020,21.81,22.26,21.62,22.26,ENERGIAS BR
ENBR3,10/01/2020,22.26,22.92,22.18,22.67,ENERGIAS BR
ENBR3,13/01/2020,22.68,22.98,22.46,22.67,ENERGIAS BR
ENBR3,14/01/2020,22.67,22.71,22.46,22.67,ENERGIAS BR
ENBR3,15/01/2020,22.66,22.66,22.18,22.20,ENERGIAS BR
ENBR3,16/01/2020,22.23,22.40,22.01,22.40,ENERGIAS BR
ENBR3,17/01/2020,22.48,22.55,22.23,22.40,ENERGIAS BR
ENBR3,20/01/2020,22.43,22.89,22.35,22.89,ENERGIAS BR
ENBR3,21/01/2020,22.85,22.94,22.63,22.88,ENERGIAS BR
ENBR3,22/01/2020,22.92,23.00,22.50,22.88,ENERGIAS BR
ENBR3,23/01/2020,22.65,23.20,22.50,23.20,ENERGIAS BR
ENBR3,24/01/2020,23.25,23.30,23.01,23.08,ENERGIAS BR
ENBR3,27/01/2020,22.96,22.96,22.40,22.89,ENERGIAS BR
ENBR3,28/01/2020,22.85,23.32,22.76,23.15,ENERGIAS BR
ENBR3,29/01/2020,23.08,23.14,22.51,22.51,ENERGIAS BR
ENBR3,30/01/2020,22.39,22.45,21.87,22.23,ENERGIAS BR
ENBR3,31/01/2020,22.06,22.80,21.98,22.35,ENERGIAS BR
ENBR3,03/02/2020,22.38,23.16,22.26,22.96,ENERGIAS BR
ENBR3,04/02/2020,23.10,23.18,22.45,22.51,ENERGIAS BR
ENBR3,05/02/2020,22.70,22.79,22.33,22.45,ENERGIAS BR
ENBR3,06/02/2020,22.54,22.66,22.01,22.23,ENERGIAS BR
ENBR3,07/02/2020,22.21,22.21,21.50,21.50,ENERGIAS BR
ENBR3,10/02/2020,21.51,21.78,20.96,21.26,ENERGIAS BR
ENBR3,11/02/2020,21.28,21.48,20.99,21.36,ENERGIAS BR
ENBR3,12/02/2020,21.45,21.74,21.45,21.59,ENERGIAS BR
ENBR3,13/02/2020,21.45,21.92,21.40,21.62,ENERGIAS BR
ENBR3,14/02/2020,21.46,21.83,21.40,21.52,ENERGIAS BR
ENBR3,17/02/2020,21.61,21.71,21.45,21.54,ENERGIAS BR
ENBR3,18/02/2020,21.66,21.83,21.49,21.60,ENERGIAS BR
ENBR3,19/02/2020,21.70,22.09,21.70,22.09,ENERGIAS BR
ENBR3,20/02/2020,22.08,22.08,21.41,21.45,ENERGIAS BR
ENBR3,21/02/2020,21.46,21.66,21.18,21.66,ENERGIAS BR
ENBR3,26/02/2020,20.80,20.99,20.40,20.80,ENERGIAS BR
ENBR3,27/02/2020,20.58,20.75,20.09,20.09,ENERGIAS BR
ENBR3,28/02/2020,20.03,20.43,19.41,20.43,ENERGIAS BR
ENBR3,02/03/2020,20.43,20.92,20.22,20.84,ENERGIAS BR
ENBR3,03/03/2020,20.89,21.44,20.40,20.41,ENERGIAS BR
ENBR3,04/03/2020,20.71,21.81,20.63,21.48,ENERGIAS BR
ENBR3,05/03/2020,21.21,21.31,20.19,20.81,ENERGIAS BR
ENBR3,06/03/2020,20.38,20.59,19.91,20.17,ENERGIAS BR
ENBR3,09/03/2020,18.10,19.31,18.10,19.07,ENERGIAS BR
ENBR3,10/03/2020,19.97,20.08,18.87,19.43,ENERGIAS BR
ENBR3,11/03/2020,18.86,19.11,17.49,18.64,ENERGIAS BR
ENBR3,12/03/2020,17.00,17.08,15.70,16.26,ENERGIAS BR
ENBR3,13/03/2020,19.21,19.21,16.35,18.01,ENERGIAS BR
ENBR3,16/03/2020,16.37,16.71,15.83,16.15,ENERGIAS BR
ENBR3,17/03/2020,16.39,17.30,16.14,16.90,ENERGIAS BR
ENBR3,18/03/2020,16.00,16.71,14.45,15.36,ENERGIAS BR
ENBR3,19/03/2020,15.00,15.20,14.10,14.78,ENERGIAS BR
ENBR3,20/03/2020,14.97,15.12,14.07,14.33,ENERGIAS BR
ENBR3,23/03/2020,14.30,14.43,13.19,13.79,ENERGIAS BR
ENBR3,24/03/2020,14.40,14.82,14.00,14.08,ENERGIAS BR
ENBR3,25/03/2020,14.11,15.09,13.93,14.61,ENERGIAS BR
ENBR3,26/03/2020,14.79,16.51,14.79,16.10,ENERGIAS BR
ENBR3,27/03/2020,15.50,15.84,15.30,15.50,ENERGIAS BR
ENBR3,30/03/2020,15.45,16.32,15.36,16.29,ENERGIAS BR
ENBR3,31/03/2020,16.16,16.99,15.94,16.28,ENERGIAS BR
ENBR3,01/04/2020,15.40,15.84,15.31,15.50,ENERGIAS BR
ENBR3,02/04/2020,15.49,16.10,14.99,15.22,ENERGIAS BR
ENBR3,03/04/2020,15.30,15.31,14.50,14.61,ENERGIAS BR
ENBR3,06/04/2020,15.24,16.06,15.24,15.71,ENERGIAS BR
