Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
EQPA3,02/01/2020,3.46,3.50,3.37,3.50,EQTL PARA
EQPA3,03/01/2020,3.48,3.65,3.46,3.59,EQTL PARA
EQPA3,06/01/2020,3.68,3.70,3.59,3.61,EQTL PARA
EQPA3,07/01/2020,3.70,3.70,3.60,3.68,EQTL PARA
EQPA3,08/01/2020,3.70,3.74,3.60,3.60,EQTL PARA
EQPA3,09/01/2020,3.66,3.68,3.48,3.48,EQTL PARA
EQPA3,10/01/2020,3.58,3.59,3.48,3.48,EQTL PARA
EQPA3,13/01/2020,3.47,3.65,3.47,3.64,EQTL PARA
EQPA3,14/01/2020,3.71,4.20,3.66,4.00,EQTL PARA
EQPA3,15/01/2020,4.05,4.18,3.91,3.99,EQTL PARA
EQPA3,16/01/2020,3.98,4.16,3.98,4.09,EQTL PARA
EQPA3,17/01/2020,4.12,5.08,4.12,5.01,EQTL PARA
EQPA3,20/01/2020,5.25,6.15,5.15,5.35,EQTL PARA
EQPA3,21/01/2020,5.15,5.60,4.76,4.78,EQTL PARA
EQPA3,22/01/2020,4.99,5.20,4.77,5.00,EQTL PARA
EQPA3,23/01/2020,5.08,5.12,4.91,4.99,EQTL PARA
EQPA3,24/01/2020,4.96,5.03,4.83,4.83,EQTL PARA
EQPA3,27/01/2020,4.78,4.94,4.56,4.80,EQTL PARA
EQPA3,28/01/2020,4.86,5.31,4.86,5.03,EQTL PARA
EQPA3,29/01/2020,5.10,5.26,5.05,5.17,EQTL PARA
EQPA3,30/01/2020,5.00,5.05,4.80,5.02,EQTL PARA
EQPA3,31/01/2020,5.04,5.10,4.88,4.88,EQTL PARA
EQPA3,03/02/2020,5.03,5.03,4.87,5.02,EQTL PARA
EQPA3,04/02/2020,5.09,5.19,5.02,5.06,EQTL PARA
EQPA3,05/02/2020,5.09,5.11,4.95,5.02,EQTL PARA
EQPA3,06/02/2020,5.02,5.04,4.90,4.94,EQTL PARA
EQPA3,07/02/2020,4.95,4.99,4.56,4.78,EQTL PARA
EQPA3,10/02/2020,4.90,4.90,4.66,4.74,EQTL PARA
EQPA3,11/02/2020,4.80,4.90,4.76,4.89,EQTL PARA
EQPA3,12/02/2020,4.90,4.90,4.80,4.83,EQTL PARA
EQPA3,13/02/2020,4.74,4.85,4.72,4.79,EQTL PARA
EQPA3,14/02/2020,4.78,4.78,4.63,4.65,EQTL PARA
EQPA3,17/02/2020,4.67,4.70,4.52,4.54,EQTL PARA
